utc_time;AUT;BEL;BGR;BIH;CHE;CYP;CZE;DEU;DNK;ESP;EST;FIN;FRA;GBR;GRC;HRV;HUN;IRL;ITA;LTU;LUX;LVA;NLD;NOR;POL;PRT;ROU;SRB;SVK;SVN;SWE
2015-01-01T00:00:00Z;6908.000000;9094.000000;4773.000000;1519.000000;7643.000000;395.000000;6064.000000;44546.000000;3210.980000;24382.000000;793.000000;9190.000000;71077.000000;29059.000000;5552.730000;1954.000000;3966.000000;2651.000000;25056.000000;1039.000000;478.000000;678.000000;11338.000000;15471.000000;13726.000000;5283.000000;6180.000000;6132.000000;2860.000000;1194.000000;14845.000000
2015-01-01T01:00:00Z;6601.000000;8691.000000;4585.000000;1423.000000;7394.000000;361.000000;5958.000000;42967.000000;3100.020000;22734.000000;765.000000;9072.000000;68774.000000;28663.000000;5226.830000;1818.000000;3653.000000;2412.000000;23342.000000;992.000000;457.000000;645.000000;10917.000000;15105.000000;13036.000000;5002.000000;5904.000000;5773.000000;2728.000000;1153.000000;14554.000000
2015-01-01T02:00:00Z;6311.000000;8354.000000;4440.000000;1367.000000;7335.000000;333.000000;5879.000000;41582.000000;2980.390000;21286.000000;750.000000;8996.000000;65695.000000;26626.000000;4987.340000;1813.000000;3406.000000;2256.000000;21868.000000;963.000000;445.000000;629.000000;10473.000000;14883.000000;12555.000000;4632.000000;5706.000000;5471.000000;2626.000000;1113.000000;14267.000000
2015-01-01T03:00:00Z;6230.000000;8080.000000;4418.000000;1330.000000;7004.000000;319.000000;5828.000000;40964.000000;2933.490000;20264.000000;746.000000;9026.000000;64020.000000;24778.000000;4879.480000;1776.000000;3324.000000;2170.000000;20985.000000;947.000000;438.000000;631.000000;10200.000000;14755.000000;12427.000000;4348.000000;5541.000000;5199.000000;2618.000000;1091.000000;14224.000000
2015-01-01T04:00:00Z;6321.000000;7965.000000;4393.000000;1321.000000;7045.000000;313.000000;5731.000000;40247.000000;2941.540000;19905.000000;755.000000;9217.000000;64195.000000;23212.000000;4909.530000;1787.000000;3334.000000;2136.000000;20976.000000;965.000000;436.000000;644.000000;10182.000000;14903.000000;12306.000000;4178.000000;5545.000000;5060.000000;2626.000000;1107.000000;14370.000000
2015-01-01T05:00:00Z;6377.000000;8005.000000;4441.000000;1362.000000;6839.000000;299.000000;5669.000000;38808.000000;2999.890000;20010.000000;771.000000;9220.000000;64429.000000;22751.000000;4950.780000;1814.000000;3399.000000;2169.000000;21805.000000;981.000000;435.000000;652.000000;10317.000000;15131.000000;12304.000000;4084.000000;5472.000000;4987.000000;2641.000000;1155.000000;14780.000000
2015-01-01T06:00:00Z;6677.000000;7749.000000;4637.000000;1397.000000;6619.000000;302.000000;5601.000000;39045.000000;3176.800000;20377.000000;788.000000;9369.000000;64772.000000;23292.000000;5132.310000;1796.000000;3449.000000;2223.000000;22177.000000;988.000000;449.000000;655.000000;10616.000000;15415.000000;12181.000000;4051.000000;5376.000000;4944.000000;2622.000000;1193.000000;15098.000000
2015-01-01T07:00:00Z;7035.000000;7769.000000;4834.000000;1513.000000;6563.000000;319.000000;5651.000000;39721.000000;3292.270000;20094.000000;791.000000;9319.000000;64284.000000;23712.000000;5738.700000;1852.000000;3579.000000;2234.000000;22770.000000;1019.000000;452.000000;657.000000;10875.000000;15567.000000;12114.000000;3789.000000;5326.000000;5163.000000;2691.000000;1250.000000;15231.000000
2015-01-01T08:00:00Z;7394.000000;7860.000000;4983.000000;1631.000000;6812.000000;336.000000;6115.000000;42031.000000;3378.640000;20637.000000;827.000000;9375.000000;65369.000000;24529.000000;6471.000000;1957.000000;3789.000000;2343.000000;25248.000000;1079.000000;452.000000;688.000000;11225.000000;15852.000000;12590.000000;3981.000000;5448.000000;5453.000000;2794.000000;1315.000000;15453.000000
2015-01-01T09:00:00Z;7770.000000;8092.000000;5020.000000;1692.000000;6840.000000;353.000000;6481.000000;44661.000000;3562.900000;22250.000000;862.000000;9534.000000;66182.000000;27103.000000;7046.000000;2119.000000;3976.000000;2623.000000;27811.000000;1125.000000;468.000000;719.000000;11768.000000;16041.000000;13183.000000;4382.000000;5490.000000;5647.000000;2932.000000;1368.000000;15856.000000
2015-01-01T10:00:00Z;7820.000000;8346.000000;5000.000000;1727.000000;6613.000000;372.000000;6609.000000;47702.000000;3736.050000;23547.000000;881.000000;9625.000000;66927.000000;30054.000000;7237.590000;2196.000000;4130.000000;2901.000000;29897.000000;1153.000000;487.000000;742.000000;12241.000000;16263.000000;13769.000000;4766.000000;5461.000000;5779.000000;2998.000000;1402.000000;16179.000000
2015-01-01T11:00:00Z;7694.000000;8533.000000;4891.000000;1726.000000;7138.000000;372.000000;6694.000000;48784.000000;3837.810000;24133.000000;892.000000;9655.000000;68576.000000;32383.000000;6912.520000;2174.000000;4190.000000;3146.000000;30188.000000;1163.000000;502.000000;741.000000;12375.000000;16628.000000;14207.000000;5094.000000;5442.000000;5688.000000;2931.000000;1392.000000;16435.000000
2015-01-01T12:00:00Z;7565.000000;8483.000000;4760.000000;1779.000000;7072.000000;360.000000;6754.000000;48064.000000;3878.280000;24713.000000;898.000000;9775.000000;65129.000000;33930.000000;6268.750000;2062.000000;4125.000000;3234.000000;28348.000000;1165.000000;494.000000;750.000000;12433.000000;16827.000000;14607.000000;5146.000000;5442.000000;5715.000000;2982.000000;1382.000000;16582.000000
2015-01-01T13:00:00Z;7469.000000;8365.000000;4838.000000;1757.000000;7081.000000;351.000000;6864.000000;47094.000000;3856.400000;24672.000000;931.000000;10150.000000;62252.000000;34249.000000;6330.410000;1982.000000;4137.000000;3146.000000;26710.000000;1178.000000;489.000000;772.000000;12492.000000;16895.000000;14654.000000;4802.000000;5442.000000;5641.000000;2976.000000;1350.000000;16816.000000
2015-01-01T14:00:00Z;7581.000000;8424.000000;5072.000000;1738.000000;7077.000000;371.000000;6933.000000;47165.000000;3985.150000;23528.000000;996.000000;10481.000000;61256.000000;34244.000000;6452.480000;1967.000000;4185.000000;3122.000000;26158.000000;1263.000000;489.000000;836.000000;12467.000000;17204.000000;14821.000000;4660.000000;5490.000000;5640.000000;2960.000000;1353.000000;17281.000000
2015-01-01T15:00:00Z;8157.000000;8595.000000;5573.000000;1830.000000;7324.000000;408.000000;7085.000000;49669.000000;4262.070000;23118.000000;999.000000;10501.000000;62409.000000;34916.000000;6621.230000;2120.000000;4483.000000;3264.000000;26959.000000;1326.000000;501.000000;865.000000;12907.000000;17483.000000;16083.000000;4622.000000;5744.000000;6088.000000;3069.000000;1399.000000;17587.000000
2015-01-01T16:00:00Z;8458.000000;9265.000000;5816.000000;1941.000000;7618.000000;484.000000;7205.000000;54197.000000;4495.760000;23606.000000;992.000000;10540.000000;68873.000000;37424.000000;7120.620000;2333.000000;4569.000000;3497.000000;31081.000000;1323.000000;544.000000;863.000000;14056.000000;17222.000000;16531.000000;4754.000000;6424.000000;6412.000000;3156.000000;1479.000000;17613.000000
2015-01-01T17:00:00Z;8391.000000;9505.000000;5764.000000;1908.000000;7802.000000;508.000000;7164.000000;54914.000000;4491.800000;26447.000000;976.000000;10530.000000;71733.000000;38506.000000;7204.240000;2363.000000;4533.000000;3464.000000;32295.000000;1305.000000;558.000000;856.000000;14127.000000;17014.000000;16461.000000;5760.000000;6654.000000;6332.000000;3142.000000;1496.000000;17368.000000
2015-01-01T18:00:00Z;8078.000000;9457.000000;5667.000000;1903.000000;7707.000000;512.000000;7008.000000;53908.000000;4290.820000;28020.000000;956.000000;10373.000000;72126.000000;37202.000000;7167.500000;2380.000000;4508.000000;3353.000000;32872.000000;1274.000000;555.000000;843.000000;13959.000000;16827.000000;16459.000000;6110.000000;6645.000000;6369.000000;3131.000000;1498.000000;17012.000000
2015-01-01T19:00:00Z;7635.000000;9229.000000;5486.000000;1855.000000;7446.000000;505.000000;6932.000000;51779.000000;4047.510000;29014.000000;931.000000;10085.000000;70420.000000;35424.000000;6928.060000;2363.000000;4414.000000;3203.000000;32201.000000;1221.000000;533.000000;817.000000;13598.000000;16536.000000;16183.000000;6272.000000;6539.000000;6329.000000;3108.000000;1507.000000;16523.000000
2015-01-01T20:00:00Z;7219.000000;9085.000000;5442.000000;1782.000000;7359.000000;497.000000;6587.000000;50575.000000;3857.010000;29571.000000;885.000000;10301.000000;68039.000000;33504.000000;6494.620000;2417.000000;4286.000000;3070.000000;30981.000000;1150.000000;507.000000;763.000000;13055.000000;16275.000000;15515.000000;6278.000000;6320.000000;6239.000000;3021.000000;1432.000000;15965.000000
2015-01-01T21:00:00Z;7234.000000;9544.000000;5196.000000;1708.000000;7450.000000;472.000000;6370.000000;50384.000000;3588.330000;29031.000000;840.000000;10112.000000;71474.000000;30940.000000;6215.310000;2317.000000;4109.000000;2901.000000;28713.000000;1070.000000;520.000000;710.000000;12404.000000;15770.000000;14840.000000;6156.000000;6031.000000;6202.000000;2919.000000;1318.000000;15344.000000
2015-01-01T22:00:00Z;6778.000000;9688.000000;4811.000000;1572.000000;7235.000000;436.000000;6078.000000;47620.000000;3412.590000;26798.000000;785.000000;9643.000000;70438.000000;28706.000000;5696.300000;2067.000000;3903.000000;2891.000000;25718.000000;999.000000;501.000000;653.000000;11642.000000;15194.000000;13759.000000;5884.000000;5688.000000;6065.000000;2791.000000;1234.000000;14707.000000
2015-01-01T23:00:00Z;6459.000000;9147.000000;4544.000000;1396.000000;7065.000000;385.000000;5920.000000;44909.000000;3212.100000;24298.000000;746.000000;9256.000000;66405.000000;25986.000000;5213.720000;1856.000000;3655.000000;2708.000000;23878.000000;944.000000;474.000000;618.000000;11000.000000;14735.000000;12945.000000;5331.000000;5338.000000;5945.000000;2715.000000;1166.000000;14218.000000
2015-01-02T00:00:00Z;6210.000000;8660.000000;4356.000000;1314.000000;7044.000000;342.000000;5963.000000;43001.000000;2996.220000;21881.000000;717.000000;8993.000000;65826.000000;25285.000000;5132.990000;1835.000000;3530.000000;2452.000000;21880.000000;909.000000;450.000000;589.000000;10515.000000;14290.000000;12457.000000;4855.000000;5157.000000;5614.000000;2618.000000;1117.000000;13963.000000
2015-01-02T01:00:00Z;6101.000000;8212.000000;4317.000000;1259.000000;7185.000000;319.000000;5890.000000;41999.000000;2942.880000;20495.000000;708.000000;8928.000000;63801.000000;24619.000000;4942.680000;1811.000000;3351.000000;2266.000000;20745.000000;896.000000;435.000000;577.000000;10219.000000;14120.000000;12226.000000;4488.000000;5098.000000;5287.000000;2576.000000;1091.000000;13834.000000
2015-01-02T02:00:00Z;6018.000000;7958.000000;4315.000000;1233.000000;7104.000000;307.000000;5742.000000;41796.000000;2944.180000;19730.000000;711.000000;9030.000000;61680.000000;23635.000000;4787.060000;1777.000000;3251.000000;2167.000000;20346.000000;900.000000;432.000000;577.000000;10119.000000;13966.000000;12209.000000;4262.000000;5070.000000;5042.000000;2575.000000;1099.000000;13819.000000
2015-01-02T03:00:00Z;6218.000000;7908.000000;4350.000000;1240.000000;6972.000000;309.000000;5759.000000;42736.000000;3019.460000;19500.000000;736.000000;9324.000000;61425.000000;22659.000000;4757.970000;1787.000000;3284.000000;2118.000000;20541.000000;935.000000;435.000000;598.000000;10176.000000;14023.000000;12385.000000;4156.000000;5061.000000;4912.000000;2629.000000;1119.000000;13899.000000
2015-01-02T04:00:00Z;6915.000000;8145.000000;4444.000000;1272.000000;6786.000000;321.000000;5977.000000;44305.000000;3104.170000;20113.000000;792.000000;9939.000000;63606.000000;21989.000000;4934.660000;1857.000000;3446.000000;2138.000000;21919.000000;1045.000000;455.000000;647.000000;10510.000000;14465.000000;13019.000000;4113.000000;5123.000000;4827.000000;2732.000000;1180.000000;14451.000000
2015-01-02T05:00:00Z;7604.000000;8607.000000;4682.000000;1372.000000;6780.000000;334.000000;6395.000000;46731.000000;3523.940000;22153.000000;865.000000;10327.000000;66565.000000;22617.000000;5291.600000;1955.000000;3741.000000;2260.000000;25383.000000;1166.000000;492.000000;709.000000;11332.000000;15195.000000;14560.000000;4215.000000;5202.000000;4996.000000;2916.000000;1295.000000;15429.000000
2015-01-02T06:00:00Z;8360.000000;8834.000000;5118.000000;1485.000000;6692.000000;378.000000;6707.000000;50523.000000;3868.580000;24970.000000;945.000000;10666.000000;69214.000000;25345.000000;5727.200000;2027.000000;3987.000000;2475.000000;28891.000000;1255.000000;550.000000;779.000000;12454.000000;16244.000000;15758.000000;4482.000000;5379.000000;5174.000000;3021.000000;1386.000000;16477.000000
2015-01-02T07:00:00Z;8795.000000;9346.000000;5513.000000;1654.000000;6817.000000;419.000000;7029.000000;54246.000000;4190.570000;27964.000000;976.000000;10816.000000;70408.000000;28573.000000;6385.610000;2213.000000;4232.000000;2692.000000;32304.000000;1312.000000;590.000000;817.000000;13594.000000;17084.000000;16551.000000;4616.000000;5478.000000;5475.000000;3181.000000;1485.000000;17134.000000
2015-01-02T08:00:00Z;9053.000000;9805.000000;5653.000000;1758.000000;7098.000000;440.000000;7426.000000;57321.000000;4337.330000;30714.000000;1010.000000;10758.000000;72246.000000;31410.000000;6911.150000;2326.000000;4495.000000;2937.000000;35439.000000;1375.000000;612.000000;869.000000;14469.000000;17377.000000;17515.000000;5284.000000;5724.000000;5793.000000;3311.000000;1560.000000;17453.000000
2015-01-02T09:00:00Z;9131.000000;10147.000000;5704.000000;1802.000000;7205.000000;448.000000;7755.000000;59405.000000;4515.600000;32383.000000;1032.000000;10717.000000;72934.000000;34047.000000;7095.880000;2334.000000;4640.000000;3191.000000;36465.000000;1412.000000;685.000000;900.000000;14906.000000;17722.000000;18086.000000;5896.000000;5907.000000;5970.000000;3385.000000;1570.000000;17754.000000
2015-01-02T10:00:00Z;9060.000000;10375.000000;5612.000000;1793.000000;7120.000000;459.000000;7926.000000;61014.000000;4523.410000;32358.000000;1042.000000;10708.000000;73696.000000;34946.000000;7179.540000;2326.000000;4743.000000;3340.000000;36908.000000;1428.000000;712.000000;903.000000;14953.000000;17851.000000;18494.000000;6100.000000;5933.000000;5988.000000;3417.000000;1572.000000;17929.000000
2015-01-02T11:00:00Z;8836.000000;10371.000000;5461.000000;1762.000000;7517.000000;468.000000;7972.000000;61406.000000;4474.240000;31822.000000;1049.000000;10756.000000;74507.000000;35371.000000;7181.970000;2304.000000;4790.000000;3387.000000;36084.000000;1428.000000;720.000000;911.000000;14766.000000;17973.000000;18732.000000;6260.000000;5913.000000;5929.000000;3320.000000;1554.000000;17926.000000
2015-01-02T12:00:00Z;8840.000000;10170.000000;5350.000000;1777.000000;7446.000000;473.000000;8049.000000;60400.000000;4449.320000;31938.000000;1060.000000;10933.000000;71305.000000;35366.000000;6933.150000;2246.000000;4690.000000;3372.000000;34311.000000;1421.000000;725.000000;914.000000;14636.000000;17857.000000;19224.000000;6296.000000;5820.000000;5852.000000;3365.000000;1565.000000;17905.000000
2015-01-02T13:00:00Z;8830.000000;9799.000000;5328.000000;1771.000000;7307.000000;470.000000;8052.000000;59251.000000;4396.410000;31182.000000;1082.000000;11221.000000;68610.000000;35281.000000;7050.340000;2189.000000;4639.000000;3300.000000;34121.000000;1425.000000;726.000000;932.000000;14585.000000;18009.000000;19131.000000;6091.000000;5750.000000;5732.000000;3379.000000;1555.000000;18046.000000
2015-01-02T14:00:00Z;8996.000000;9730.000000;5520.000000;1743.000000;7277.000000;478.000000;8164.000000;58771.000000;4429.720000;30184.000000;1111.000000;11402.000000;66735.000000;35831.000000;7015.880000;2167.000000;4656.000000;3301.000000;34439.000000;1482.000000;702.000000;974.000000;14556.000000;18175.000000;19160.000000;6044.000000;5790.000000;5749.000000;3362.000000;1538.000000;18551.000000
2015-01-02T15:00:00Z;9576.000000;9982.000000;5995.000000;1828.000000;7505.000000;500.000000;8132.000000;60446.000000;4741.130000;29877.000000;1102.000000;11334.000000;67243.000000;37185.000000;7295.860000;2331.000000;4953.000000;3558.000000;36066.000000;1505.000000;717.000000;983.000000;14871.000000;18417.000000;20104.000000;5932.000000;6047.000000;6111.000000;3481.000000;1589.000000;19046.000000
2015-01-02T16:00:00Z;9766.000000;10771.000000;6217.000000;1946.000000;8061.000000;588.000000;8154.000000;63764.000000;5178.700000;30409.000000;1080.000000;11338.000000;72970.000000;41869.000000;7897.360000;2573.000000;5036.000000;4014.000000;40528.000000;1474.000000;756.000000;967.000000;16174.000000;18335.000000;20195.000000;6057.000000;6690.000000;6345.000000;3531.000000;1688.000000;19140.000000
2015-01-02T17:00:00Z;9378.000000;10962.000000;6099.000000;1907.000000;8157.000000;612.000000;8010.000000;63786.000000;5091.420000;32927.000000;1055.000000;11278.000000;75274.000000;44677.000000;7895.720000;2575.000000;4964.000000;4003.000000;41075.000000;1429.000000;770.000000;936.000000;15822.000000;18173.000000;19893.000000;7008.000000;6891.000000;6334.000000;3480.000000;1685.000000;18840.000000
