utc_time;AUT;BEL;BGR;BIH;CHE;CYP;CZE;DEU;DNK;ESP;EST;FIN;FRA;GBR;GRC;HRV;HUN;IRL;ITA;LTU;LUX;LVA;MLT;NLD;NOR;POL;PRT;ROU;SRB;SVK;SVN;SWE
2015-01-01T00:00:00Z;20961.820663;27214.529060;9557.271706;5802.000422;22406.543570;524.491338;19157.792011;180625.945439;9093.028295;42712.525231;1753.548515;10643.081154;146334.978592;64062.547877;17703.277051;11482.620697;25856.797235;4375.713949;75352.157670;2848.804674;1953.251098;2805.818563;260.982252;30208.769643;10571.136121;54690.276902;5660.792497;30778.108110;13286.642543;9434.082656;4316.620246;13570.110651
2015-01-01T01:00:00Z;20871.006432;26788.813360;9448.623418;5649.404857;22081.449925;505.630883;18737.823354;178427.827741;9162.106574;44524.392604;1696.995349;10414.718839;144442.360532;65383.397149;16830.557590;11282.599059;25856.704137;4245.265903;73030.697330;2783.516597;1881.280792;2729.180269;263.747251;30178.483595;10288.967783;53154.122336;5750.503464;30542.452444;13851.906859;9307.579164;4231.292117;13431.844610
2015-01-01T02:00:00Z;20748.416733;27063.240579;9630.134991;5780.385060;23306.711559;513.167060;18532.672515;178982.269989;9041.271380;43403.248013;1707.072274;10428.120855;144954.802965;62689.532460;17059.294848;11961.429115;25952.409137;4252.621996;73457.885368;2768.886745;1854.557165;2709.716216;261.106897;30656.801254;10076.952731;52742.330573;5855.582487;30610.667641;13748.321353;9193.766993;4370.850004;13491.804101
2015-01-01T03:00:00Z;20385.069727;27298.755873;9782.353062;5931.723469;24407.008805;514.012734;18357.704766;180332.252013;8929.419452;43816.601126;1721.579292;10441.337984;145085.240733;60457.750833;17254.815238;11999.316625;25890.021555;4208.089044;73753.657778;2758.065476;1847.225719;2692.273090;258.392820;31221.195229;9986.971077;52493.651552;6003.425327;30560.614680;13691.597024;9107.959948;4448.476801;13509.215346
2015-01-01T04:00:00Z;20138.764098;27436.868386;9810.305559;5999.905805;24802.340951;526.657424;18205.796374;180568.730027;8784.376068;44398.898079;1735.765201;10479.199988;145598.458405;58777.369771;17375.600066;12166.061508;25915.206385;4089.857785;73897.383413;2754.903936;1855.481455;2683.725788;253.013308;31682.524876;9952.692608;52092.848479;6089.968020;30302.306395;14106.934829;9040.810140;4444.434025;13426.265672
2015-01-01T05:00:00Z;19814.986180;27565.091208;9863.371056;6019.086233;24948.582998;533.489410;18067.921524;181596.767523;8631.762143;44945.090876;1746.445493;10526.310825;146439.770796;57278.189050;17498.873038;12140.752442;25917.431577;4019.662990;74004.146608;2755.567404;1883.305218;2683.336318;253.909387;32110.755932;10086.983928;51698.930146;6139.549542;30037.241886;14286.358031;8962.308810;4412.248243;13313.514014
2015-01-01T06:00:00Z;19509.083931;27701.667607;9898.154091;5942.529677;24983.125174;440.733538;17923.088939;183019.679249;8490.556553;45525.399059;1757.632901;10577.297131;147261.054438;56050.991784;17634.362621;11887.710814;25757.037448;3903.536134;74043.305802;2762.733629;1916.987562;2697.832174;248.355827;32570.153653;10015.976068;51273.773571;6166.771898;29633.295293;14150.329554;8875.235268;4340.100654;13103.280096
2015-01-01T07:00:00Z;19087.124305;27163.951675;9282.317238;5519.416302;23856.090199;305.297257;17769.061771;183568.154112;8374.324758;46479.018884;1728.575675;10447.989437;146505.526699;57307.345051;16846.305612;10916.508432;25114.484616;3816.911721;73280.283556;2796.695944;1975.113112;2710.495976;210.376230;33303.794876;10096.854914;50917.624818;6367.452114;27964.647110;13070.895983;8711.805702;4256.470339;13050.018357
2015-01-01T08:00:00Z;17817.200058;27123.893561;8520.341240;4910.960899;21650.808056;246.445917;17493.257271;181940.746545;8209.945087;45080.865837;1747.290013;10519.571358;145193.515529;55977.351224;16756.543413;10335.576439;24371.781957;3511.586214;68989.454910;2800.059438;1996.686001;2739.950567;184.798847;33467.518026;9933.838663;50496.088930;6369.139860;25586.219016;12120.584764;8454.090150;3861.064537;12835.997109
2015-01-01T09:00:00Z;16384.660039;26624.261953;8058.966161;4610.278539;17248.361037;231.812021;17140.935918;175534.251177;8097.393189;37575.276661;1772.197569;10583.600043;134221.067827;54506.185738;16621.539571;9875.139771;23501.599985;3109.626493;63145.735876;2806.496510;1986.013384;2756.513804;171.998375;32776.225316;9739.494716;49991.281039;5283.152404;24252.756753;11574.850170;8183.260010;3614.202079;12580.257432
2015-01-01T10:00:00Z;15485.762578;25429.032420;7678.203148;4338.428434;16159.433006;232.409604;16749.288443;170299.969756;7964.295527;30970.861830;1789.891002;10619.832212;122522.673087;52423.301047;16346.593495;9365.853538;22512.742692;2805.744696;58486.727282;2812.558788;1924.614715;2753.835680;168.635990;31477.960492;9562.731816;49511.504229;4113.441811;23103.766708;11031.615718;7903.437504;3341.548049;12285.637323
2015-01-01T11:00:00Z;14903.780900;24266.589925;7440.173182;4166.916528;15391.000900;248.756623;16487.063189;166710.241229;7838.931558;27096.686772;1793.485701;10690.662602;113819.615243;50412.516526;16163.708279;8971.735509;21780.373570;2582.351460;55307.696353;2820.528651;1880.536947;2755.788993;164.924750;30265.592259;9431.290493;49231.080260;3439.708661;22379.102783;10663.235029;7670.394450;3127.066597;12045.529467
