Year,Month,Day,Inflow [GWh]
2003,1,1,78.8361
2003,1,2,81.3688
2003,1,3,83.6755
2003,1,4,85.5390
2003,1,5,86.9047
2003,1,6,87.8270
2003,1,7,88.0707
2003,1,8,87.8030
2003,1,9,87.2048
2003,1,10,86.3573
2003,1,11,85.2917
2003,1,12,84.0440
2003,1,13,82.6545
2003,1,14,81.4000
2003,1,15,79.7035
2003,1,16,78.3081
2003,1,17,76.9405
2003,1,18,75.5609
2003,1,19,74.1821
2003,1,20,72.8069
2003,1,21,71.4353
2003,1,22,70.0964
2003,1,23,68.8648
2003,1,24,67.8662
2003,1,25,67.1166
2003,1,26,66.4513
2003,1,27,65.7731
2003,1,28,65.2754
2003,1,29,65.6829
2003,1,30,66.1061
2003,1,31,66.1645
2003,2,1,65.9143
2003,2,2,65.4280
2003,2,3,64.7735
2003,2,4,64.0416
2003,2,5,63.2702
2003,2,6,62.4430
2003,2,7,61.5716
2003,2,8,60.6735
2003,2,9,59.7607
2003,2,10,58.8223
2003,2,11,57.8654
2003,2,12,56.9113
2003,2,13,55.9116
2003,2,14,54.9005
2003,2,15,53.8786
2003,2,16,52.8535
2003,2,17,51.8391
2003,2,18,50.8099
2003,2,19,49.8358
2003,2,20,48.8430
2003,2,21,47.8606
2003,2,22,46.9231
2003,2,23,46.0118
2003,2,24,45.1415
2003,2,25,44.2992
2003,2,26,43.5135
2003,2,27,42.7945
2003,2,28,42.1665
2003,3,1,41.6553
2003,3,2,41.3610
2003,3,3,41.3142
2003,3,4,41.6493
2003,3,5,42.2686
2003,3,6,42.9911
2003,3,7,43.5654
2003,3,8,44.0337
2003,3,9,44.4464
2003,3,10,44.7667
2003,3,11,45.1751
2003,3,12,45.8792
2003,3,13,47.3271
2003,3,14,48.8751
2003,3,15,49.9771
2003,3,16,50.6485
2003,3,17,51.0422
2003,3,18,51.4278
2003,3,19,51.8692
2003,3,20,52.4922
2003,3,21,53.3316
2003,3,22,53.9673
2003,3,23,54.2043
2003,3,24,54.1529
2003,3,25,54.3615
2003,3,26,55.2777
2003,3,27,57.1909
2003,3,28,59.9642
2003,3,29,63.9120
2003,3,30,69.7723
2003,3,31,77.8503
2003,4,1,87.1216
2003,4,2,94.5732
2003,4,3,99.4107
2003,4,4,101.632
2003,4,5,102.089
2003,4,6,101.847
2003,4,7,101.174
2003,4,8,99.8428
2003,4,9,97.9771
2003,4,10,95.9945
2003,4,11,94.2984
2003,4,12,93.2863
2003,4,13,93.2797
2003,4,14,94.6876
2003,4,15,98.1178
2003,4,16,104.279
2003,4,17,113.476
2003,4,18,122.922
2003,4,19,130.218
2003,4,20,136.274
2003,4,21,141.982
2003,4,22,146.647
2003,4,23,152.860
2003,4,24,158.252
2003,4,25,160.429
2003,4,26,157.425
2003,4,27,152.579
2003,4,28,148.847
2003,4,29,144.618
2003,4,30,139.689
2003,5,1,134.614
2003,5,2,129.730
2003,5,3,124.817
2003,5,4,120.645
2003,5,5,116.070
2003,5,6,110.821
2003,5,7,105.062
2003,5,8,99.1619
2003,5,9,93.6876
2003,5,10,89.6722
2003,5,11,88.1359
2003,5,12,89.0854
2003,5,13,90.5656
2003,5,14,94.7211
2003,5,15,99.7534
2003,5,16,101.897
2003,5,17,102.009
2003,5,18,101.069
2003,5,19,99.3277
2003,5,20,97.5084
2003,5,21,97.6168
2003,5,22,98.2990
2003,5,23,97.8888
2003,5,24,96.1916
2003,5,25,93.5623
2003,5,26,90.9211
2003,5,27,89.2740
2003,5,28,88.5397
2003,5,29,88.2606
2003,5,30,88.0542
2003,5,31,87.7425
2003,6,1,87.2902
2003,6,2,86.7340
2003,6,3,86.2383
2003,6,4,85.5523
2003,6,5,84.3213
2003,6,6,82.9206
2003,6,7,81.9428
2003,6,8,81.7081
2003,6,9,82.2384
2003,6,10,84.2308
2003,6,11,85.1443
2003,6,12,84.6625
2003,6,13,83.8391
2003,6,14,85.5882
2003,6,15,92.1768
2003,6,16,97.6402
2003,6,17,99.5847
2003,6,18,99.9946
2003,6,19,100.247
2003,6,20,98.9279
2003,6,21,96.2598
2003,6,22,92.9984
2003,6,23,89.4015
2003,6,24,85.8058
2003,6,25,82.0937
2003,6,26,78.6117
2003,6,27,76.1956
2003,6,28,81.9818
2003,6,29,91.5138
2003,6,30,94.0863
2003,7,1,92.2226
2003,7,2,90.2672
2003,7,3,90.0505
2003,7,4,91.6647
2003,7,5,94.8876
2003,7,6,96.8651
2003,7,7,96.3051
2003,7,8,95.7010
2003,7,9,94.7652
2003,7,10,92.7330
2003,7,11,91.3038
2003,7,12,89.5444
2003,7,13,88.6944
2003,7,14,88.1948
2003,7,15,88.5940
2003,7,16,88.0977
2003,7,17,90.4959
2003,7,18,93.9276
2003,7,19,98.9957
2003,7,20,99.2476
2003,7,21,95.6323
2003,7,22,93.0597
2003,7,23,91.4363
2003,7,24,93.1879
2003,7,25,112.815
2003,7,26,126.906
2003,7,27,123.933
2003,7,28,121.680
2003,7,29,127.653
2003,7,30,128.238
2003,7,31,123.986
2003,8,1,118.507
2003,8,2,111.201
2003,8,3,102.939
2003,8,4,94.8751
2003,8,5,87.6725
2003,8,6,82.8645
2003,8,7,79.7662
2003,8,8,78.1082
2003,8,9,76.6452
2003,8,10,76.5456
2003,8,11,76.1742
2003,8,12,74.3225
2003,8,13,71.6917
2003,8,14,68.6325
2003,8,15,65.7133
2003,8,16,63.7924
2003,8,17,62.4186
2003,8,18,62.8439
2003,8,19,69.5018
2003,8,20,80.2188
2003,8,21,83.6138
2003,8,22,83.5902
2003,8,23,85.4006
2003,8,24,86.6545
2003,8,25,85.6799
2003,8,26,84.4795
2003,8,27,81.8107
2003,8,28,78.1621
2003,8,29,74.7900
2003,8,30,73.8366
2003,8,31,80.6102
2003,9,1,100.283
2003,9,2,108.811
2003,9,3,110.478
2003,9,4,108.690
2003,9,5,104.953
2003,9,6,100.292
2003,9,7,95.7133
2003,9,8,92.0017
2003,9,9,88.6923
2003,9,10,86.4281
2003,9,11,86.8244
2003,9,12,89.6867
2003,9,13,93.3714
2003,9,14,95.3784
2003,9,15,96.5489
2003,9,16,97.6040
2003,9,17,96.5466
