Year,Month,Day,Inflow [GWh]
2003,1,1,37.5984
2003,1,2,38.9520
2003,1,3,39.4534
2003,1,4,40.4017
2003,1,5,41.5291
2003,1,6,43.9747
2003,1,7,48.5580
2003,1,8,58.8519
2003,1,9,68.9706
2003,1,10,86.4382
2003,1,11,91.8132
2003,1,12,87.4354
2003,1,13,80.3607
2003,1,14,72.7483
2003,1,15,65.6075
2003,1,16,59.4056
2003,1,17,54.1942
2003,1,18,49.9007
2003,1,19,46.9104
2003,1,20,44.6679
2003,1,21,42.6079
2003,1,22,40.9357
2003,1,23,40.6727
2003,1,24,41.4547
2003,1,25,41.6496
2003,1,26,41.2194
2003,1,27,40.3753
2003,1,28,39.2427
2003,1,29,38.3355
2003,1,30,38.0255
2003,1,31,37.9815
2003,2,1,38.1846
2003,2,2,37.9858
2003,2,3,37.3342
2003,2,4,36.5685
2003,2,5,38.8837
2003,2,6,41.7845
2003,2,7,42.1348
2003,2,8,41.5234
2003,2,9,40.4479
2003,2,10,39.0517
2003,2,11,37.4611
2003,2,12,35.7768
2003,2,13,34.0805
2003,2,14,32.4113
2003,2,15,30.7966
2003,2,16,29.2549
2003,2,17,27.7996
2003,2,18,26.4325
2003,2,19,25.1589
2003,2,20,23.9671
2003,2,21,22.8702
2003,2,22,21.8650
2003,2,23,20.9553
2003,2,24,20.1333
2003,2,25,19.3878
2003,2,26,18.6981
2003,2,27,18.0949
2003,2,28,17.6087
2003,3,1,17.2900
2003,3,2,17.2480
2003,3,3,17.4868
2003,3,4,18.0679
2003,3,5,18.7981
2003,3,6,19.4859
2003,3,7,20.1046
2003,3,8,20.6256
2003,3,9,21.0336
2003,3,10,21.5228
2003,3,11,22.2348
2003,3,12,23.3072
2003,3,13,24.7702
2003,3,14,25.7682
2003,3,15,25.8254
2003,3,16,25.5679
2003,3,17,25.2950
2003,3,18,25.1703
2003,3,19,25.2269
2003,3,20,25.3453
2003,3,21,25.5276
2003,3,22,25.4835
2003,3,23,25.1268
2003,3,24,24.5913
2003,3,25,24.0154
2003,3,26,23.4436
2003,3,27,22.8447
2003,3,28,22.2594
2003,3,29,21.6976
2003,3,30,21.1609
2003,3,31,20.7590
2003,4,1,20.4299
2003,4,2,20.1775
2003,4,3,19.8600
2003,4,4,19.6108
2003,4,5,19.4353
2003,4,6,19.2272
2003,4,7,18.9880
2003,4,8,18.6991
2003,4,9,18.3764
2003,4,10,18.1309
2003,4,11,18.4637
2003,4,12,19.4744
2003,4,13,20.4032
2003,4,14,21.3282
2003,4,15,21.8409
2003,4,16,22.0569
2003,4,17,22.1388
2003,4,18,22.1028
2003,4,19,21.9781
2003,4,20,21.7461
2003,4,21,21.3937
2003,4,22,21.2518
2003,4,23,21.6063
2003,4,24,21.9462
2003,4,25,22.0616
2003,4,26,21.9106
2003,4,27,21.5928
2003,4,28,21.2593
2003,4,29,20.8698
2003,4,30,20.3136
2003,5,1,19.6145
2003,5,2,18.7825
2003,5,3,17.9333
2003,5,4,17.0906
2003,5,5,16.2628
2003,5,6,15.4375
2003,5,7,14.6757
2003,5,8,13.9524
2003,5,9,13.2787
2003,5,10,12.7081
2003,5,11,12.2214
2003,5,12,11.8253
2003,5,13,11.4360
2003,5,14,11.0474
2003,5,15,10.6921
2003,5,16,10.3770
2003,5,17,10.0847
2003,5,18,9.80125
2003,5,19,9.52703
2003,5,20,9.24679
2003,5,21,9.02553
2003,5,22,8.97817
2003,5,23,9.09860
2003,5,24,9.25585
2003,5,25,9.33387
2003,5,26,9.33413
2003,5,27,9.35784
2003,5,28,9.41155
2003,5,29,9.51884
2003,5,30,9.60265
2003,5,31,9.65269
2003,6,1,9.62503
2003,6,2,9.54946
2003,6,3,9.47092
2003,6,4,9.45133
2003,6,5,9.42706
2003,6,6,9.38001
2003,6,7,9.29641
2003,6,8,9.18701
2003,6,9,9.06371
2003,6,10,8.93313
2003,6,11,8.74554
2003,6,12,8.58036
2003,6,13,8.38960
2003,6,14,8.19179
2003,6,15,7.99892
2003,6,16,7.80947
2003,6,17,7.62932
