Year,Month,Day,Inflow [GWh]
2003,1,1,3.40820
2003,1,2,3.85493
2003,1,3,4.67596
2003,1,4,5.31818
2003,1,5,5.58060
2003,1,6,5.61001
2003,1,7,5.54092
2003,1,8,5.41555
2003,1,9,5.25250
2003,1,10,5.06685
2003,1,11,4.86899
2003,1,12,4.66609
2003,1,13,4.46638
2003,1,14,4.33995
2003,1,15,4.11299
2003,1,16,3.95921
2003,1,17,3.81708
2003,1,18,3.68152
2003,1,19,3.55009
2003,1,20,3.42546
2003,1,21,3.31672
2003,1,22,3.23330
2003,1,23,3.16343
2003,1,24,3.10408
2003,1,25,3.04563
2003,1,26,2.98419
2003,1,27,2.92708
2003,1,28,2.87958
2003,1,29,2.84289
2003,1,30,2.82455
2003,1,31,2.81470
2003,2,1,2.80034
2003,2,2,2.78066
2003,2,3,2.79128
2003,2,4,2.88561
2003,2,5,2.97939
2003,2,6,3.05653
2003,2,7,3.11470
2003,2,8,3.15235
2003,2,9,3.16963
2003,2,10,3.16001
2003,2,11,3.13486
2003,2,12,3.09529
2003,2,13,3.04370
2003,2,14,2.98321
2003,2,15,2.91456
2003,2,16,2.84154
2003,2,17,2.76557
2003,2,18,2.68494
2003,2,19,2.60154
2003,2,20,2.51827
2003,2,21,2.43345
2003,2,22,2.34946
2003,2,23,2.26651
2003,2,24,2.18475
2003,2,25,2.10136
2003,2,26,2.01836
2003,2,27,1.93959
2003,2,28,1.86246
2003,3,1,1.79103
2003,3,2,1.73150
2003,3,3,1.68468
2003,3,4,1.65248
2003,3,5,1.62390
2003,3,6,1.59782
2003,3,7,1.57332
2003,3,8,1.55123
2003,3,9,1.52857
2003,3,10,1.50529
2003,3,11,1.48063
2003,3,12,1.45816
2003,3,13,1.43882
2003,3,14,1.41976
2003,3,15,1.39834
2003,3,16,1.37139
2003,3,17,1.34365
2003,3,18,1.30900
2003,3,19,1.27593
2003,3,20,1.23929
2003,3,21,1.20296
2003,3,22,1.16773
2003,3,23,1.12785
2003,3,24,1.08294
2003,3,25,1.03796
2003,3,26,0.994665
2003,3,27,0.952368
2003,3,28,0.911489
2003,3,29,0.871977
2003,3,30,0.834461
2003,3,31,0.801007
2003,4,1,0.768965
2003,4,2,0.740078
2003,4,3,0.714050
2003,4,4,0.696696
2003,4,5,0.678976
2003,4,6,0.663272
2003,4,7,0.648194
2003,4,8,0.633881
2003,4,9,0.618803
2003,4,10,0.604612
2003,4,11,0.591063
2003,4,12,0.577514
2003,4,13,0.562437
2003,4,14,0.546473
2003,4,15,0.527866
2003,4,16,0.507260
2003,4,17,0.485917
2003,4,18,0.464425
2003,4,19,0.443542
2003,4,20,0.427395
2003,4,21,0.412489
2003,4,22,0.397915
2003,4,23,0.383875
2003,4,24,0.371503
2003,4,25,0.358791
2003,4,26,0.349230
2003,4,27,0.340548
2003,4,28,0.332704
2003,4,29,0.325417
2003,4,30,0.320359
2003,5,1,0.317108
2003,5,2,0.313762
2003,5,3,0.312083
2003,5,4,0.311623
2003,5,5,0.310415
2003,5,6,0.308559
2003,5,7,0.309024
2003,5,8,0.307955
2003,5,9,0.306885
2003,5,10,0.304746
2003,5,11,0.301966
2003,5,12,0.300620
2003,5,13,0.300010
2003,5,14,0.299828
2003,5,15,0.298941
2003,5,16,0.298481
2003,5,17,0.298203
2003,5,18,0.300103
2003,5,19,0.298524
2003,5,20,0.301121
2003,5,21,0.307291
2003,5,22,0.314737
2003,5,23,0.325147
2003,5,24,0.334480
2003,5,25,0.346958
2003,5,26,0.362460
2003,5,27,0.377819
2003,5,28,0.389511
2003,5,29,0.400694
2003,5,30,0.406543
2003,5,31,0.410489
2003,6,1,0.412252
2003,6,2,0.412252
2003,6,3,0.411183
2003,6,4,0.412667
2003,6,5,0.414207
2003,6,6,0.414527
2003,6,7,0.415136
2003,6,8,0.411381
2003,6,9,0.411381
2003,6,10,0.411381
2003,6,11,0.407017
2003,6,12,0.410406
2003,6,13,0.410224
2003,6,14,0.408651
2003,6,15,0.404801
2003,6,16,0.402619
2003,6,17,0.398586
2003,6,18,0.395197
2003,6,19,0.393198
2003,6,20,0.391293
2003,6,21,0.387904
2003,6,22,0.384663
2003,6,23,0.378814
2003,6,24,0.373243
2003,6,25,0.367117
2003,6,26,0.361877
2003,6,27,0.357418
2003,6,28,0.350789
2003,6,29,0.346235
2003,6,30,0.340481
2003,7,1,0.334538
2003,7,2,0.329575
2003,7,3,0.326186
2003,7,4,0.322199
2003,7,5,0.319313
2003,7,6,0.315420
2003,7,7,0.312994
2003,7,8,0.312342
2003,7,9,0.309928
2003,7,10,0.308206
2003,7,11,0.304816
2003,7,12,0.302817
2003,7,13,0.299245
2003,7,14,0.294188
2003,7,15,0.288671
2003,7,16,0.280972
2003,7,17,0.274054
2003,7,18,0.269066
2003,7,19,0.262505
2003,7,20,0.256101
2003,7,21,0.250070
2003,7,22,0.243761
2003,7,23,0.237634
2003,7,24,0.233507
2003,7,25,0.228866
2003,7,26,0.224739
2003,7,27,0.220889
2003,7,28,0.217223
2003,7,29,0.214248
2003,7,30,0.210914
2003,7,31,0.207524
2003,8,1,0.205342
2003,8,2,0.202551
2003,8,3,0.199216
2003,8,4,0.194852
2003,8,5,0.190260
2003,8,6,0.186319
2003,8,7,0.182234
2003,8,8,0.177680
2003,8,9,0.173980
2003,8,10,0.169338
2003,8,11,0.165306
2003,8,12,0.160996
2003,8,13,0.156094
2003,8,14,0.152709
2003,8,15,0.149159
2003,8,16,0.146699
2003,8,17,0.143459
2003,8,18,0.141320
2003,8,19,0.138262
2003,8,20,0.135711
2003,8,21,0.133252
2003,8,22,0.130792
2003,8,23,0.128424
2003,8,24,0.126270
2003,8,25,0.124115
2003,8,26,0.123045
2003,8,27,0.121046
2003,8,28,0.118309
2003,8,29,0.116736
2003,8,30,0.115529
2003,8,31,0.115806
2003,9,1,0.116544
2003,9,2,0.115614
2003,9,3,0.116074
2003,9,4,0.115144
2003,9,5,0.115652
2003,9,6,0.115882
2003,9,7,0.114952
2003,9,8,0.114952
2003,9,9,0.114022
2003,9,10,0.114252
2003,9,11,0.114483
2003,9,12,0.114943
2003,9,13,0.115126
2003,9,14,0.114899
2003,9,15,0.112900
2003,9,16,0.112900
2003,9,17,0.113692
2003,9,18,0.113509
2003,9,19,0.111510
2003,9,20,0.111233
2003,9,21,0.109660
2003,9,22,0.108773
2003,9,23,0.106923
2003,9,24,0.106923
2003,9,25,0.106036
2003,9,26,0.104186
2003,9,27,0.104186
2003,9,28,0.101727
2003,9,29,0.101727
2003,9,30,0.100497
2003,10,1,0.0992671
2003,10,2,0.0988069
2003,10,3,0.0989898
2003,10,4,0.0989898
2003,10,5,0.0988069
2003,10,6,0.0978770
2003,10,7,0.0997273
2003,10,8,0.0983373
2003,10,9,0.0987202
2003,10,10,0.100571
2003,10,11,0.101917
2003,10,12,0.102774
2003,10,13,0.103890
2003,10,14,0.104794
2003,10,15,0.104473
2003,10,16,0.106750
2003,10,17,0.106246
2003,10,18,0.108096
2003,10,19,0.108096
2003,10,20,0.108983
2003,10,21,0.109166
2003,10,22,0.109609
2003,10,23,0.109748
2003,10,24,0.110052
2003,10,25,0.110052
2003,10,26,0.110448
2003,10,27,0.110052
2003,10,28,0.110662
2003,10,29,0.110892
2003,10,30,0.110892
2003,10,31,0.110892
2003,11,1,0.111288
2003,11,2,0.111426
2003,11,3,0.111961
2003,11,4,0.112283
2003,11,5,0.114047
2003,11,6,0.114812
2003,11,7,0.116363
2003,11,8,0.116823
2003,11,9,0.117893
2003,11,10,0.118502
2003,11,11,0.120535
2003,11,12,0.120535
2003,11,13,0.121605
2003,11,14,0.121787
2003,11,15,0.123455
2003,11,16,0.123942
2003,11,17,0.124707
2003,11,18,0.125777
2003,11,19,0.128236
2003,11,20,0.131156
2003,11,21,0.132151
2003,11,22,0.135145
2003,11,23,0.138065
2003,11,24,0.140242
2003,11,25,0.142741
2003,11,26,0.146838
2003,11,27,0.150493
2003,11,28,0.154590
2003,11,29,0.158715
2003,11,30,0.162278
2003,12,1,0.167070
2003,12,2,0.171628
2003,12,3,0.177111
2003,12,4,0.182760
2003,12,5,0.188104
2003,12,6,0.193014
2003,12,7,0.198244
2003,12,8,0.201026
2003,12,9,0.205092
2003,12,10,0.209128
2003,12,11,0.213070
2003,12,12,0.216771
2003,12,13,0.219736
2003,12,14,0.231875
2003,12,15,0.250159
2003,12,16,0.270669
2003,12,17,0.291777
2003,12,18,0.308757
2003,12,19,0.324358
2003,12,20,0.338313
2003,12,21,0.350481
2003,12,22,0.366350
2003,12,23,0.382541
2003,12,24,0.400295
2003,12,25,0.418937
2003,12,26,0.436638
2003,12,27,0.454028
2003,12,28,0.478492
2003,12,29,0.519391
2003,12,30,0.563304
2003,12,31,0.600709
2004,1,1,0.631600
2004,1,2,0.657698
2004,1,3,0.678986
2004,1,4,0.697176
2004,1,5,0.711569
2004,1,6,0.727186
2004,1,7,0.745019
2004,1,8,0.767093
2004,1,9,0.795315
2004,1,10,0.840223
2004,1,11,0.897542
2004,1,12,1.02583
2004,1,13,1.25874
2004,1,14,1.52658
2004,1,15,1.76144
2004,1,16,1.96923
2004,1,17,2.15940
2004,1,18,2.30075
2004,1,19,2.39249
2004,1,20,2.52427
2004,1,21,2.71504
2004,1,22,2.84363
2004,1,23,2.90827
2004,1,24,2.92896
2004,1,25,2.92952
2004,1,26,2.92464
2004,1,27,2.91115
2004,1,28,2.88833
2004,1,29,2.85905
2004,1,30,2.82392
2004,1,31,2.78633
2004,2,1,2.76391
2004,2,2,2.86299
2004,2,3,3.17014
2004,2,4,3.39122
2004,2,5,3.48584
2004,2,6,3.50187
2004,2,7,3.48110
2004,2,8,3.45663
2004,2,9,3.43638
2004,2,10,3.41309
2004,2,11,3.38110
2004,2,12,3.34754
2004,2,13,3.30826
2004,2,14,3.25956
2004,2,15,3.20402
2004,2,16,3.13855
2004,2,17,3.06898
2004,2,18,2.99453
2004,2,19,2.91933
2004,2,20,2.84524
2004,2,21,2.77156
2004,2,22,2.69504
2004,2,23,2.61770
2004,2,24,2.54294
2004,2,25,2.47110
2004,2,26,2.40461
2004,2,27,2.34322
2004,2,28,2.28581
2004,2,29,2.23164
2004,3,1,2.18172
2004,3,2,2.13564
2004,3,3,2.09228
2004,3,4,2.05197
2004,3,5,2.01852
2004,3,6,2.00364
2004,3,7,2.01746
2004,3,8,2.05026
2004,3,9,2.08382
2004,3,10,2.10447
2004,3,11,2.11707
2004,3,12,2.11563
2004,3,13,2.11105
2004,3,14,2.10367
2004,3,15,2.09019
2004,3,16,2.06976
2004,3,17,2.04182
2004,3,18,2.00163
2004,3,19,1.95458
2004,3,20,1.91043
2004,3,21,1.87603
2004,3,22,1.85126
2004,3,23,1.83340
2004,3,24,1.82139
2004,3,25,1.80885
2004,3,26,1.79180
2004,3,27,1.77455
2004,3,28,1.75558
2004,3,29,1.72719
2004,3,30,1.68980
2004,3,31,1.63914
2004,4,1,1.57998
2004,4,2,1.51781
2004,4,3,1.45968
2004,4,4,1.41197
2004,4,5,1.36858
2004,4,6,1.33258
2004,4,7,1.30519
2004,4,8,1.28396
2004,4,9,1.26520
2004,4,10,1.25572
2004,4,11,1.24916
