Year,Month,Day,Inflow [GWh]
2003,1,1,15.2350
2003,1,2,15.3338
2003,1,3,15.4358
2003,1,4,15.5679
2003,1,5,15.8283
2003,1,6,16.2185
2003,1,7,16.6333
2003,1,8,17.0262
2003,1,9,17.4349
2003,1,10,18.2161
2003,1,11,18.4940
2003,1,12,19.0712
2003,1,13,19.5736
2003,1,14,19.8485
2003,1,15,19.9179
2003,1,16,19.9560
2003,1,17,20.1061
2003,1,18,20.3229
2003,1,19,20.5019
2003,1,20,20.6517
2003,1,21,20.8421
2003,1,22,21.1075
2003,1,23,21.5926
2003,1,24,22.4881
2003,1,25,23.3415
2003,1,26,23.9804
2003,1,27,24.3711
2003,1,28,24.5237
2003,1,29,24.5059
2003,1,30,24.4963
2003,1,31,24.6642
2003,2,1,25.1862
2003,2,2,25.7625
2003,2,3,26.1958
2003,2,4,26.3786
2003,2,5,27.1345
2003,2,6,28.1266
2003,2,7,29.6439
2003,2,8,30.4124
2003,2,9,30.5899
2003,2,10,30.4232
2003,2,11,30.0769
2003,2,12,29.6158
2003,2,13,29.0655
2003,2,14,28.4389
2003,2,15,27.7562
2003,2,16,27.0457
2003,2,17,26.3472
2003,2,18,25.6648
2003,2,19,24.9861
2003,2,20,24.3061
2003,2,21,23.6359
2003,2,22,23.0187
2003,2,23,22.4404
2003,2,24,21.8972
2003,2,25,21.3823
2003,2,26,20.9088
2003,2,27,20.5042
2003,2,28,20.2370
2003,3,1,20.2275
2003,3,2,20.6249
2003,3,3,21.3446
2003,3,4,22.1526
2003,3,5,22.8381
2003,3,6,23.2821
2003,3,7,23.5609
2003,3,8,23.8183
2003,3,9,24.0358
2003,3,10,24.1854
2003,3,11,24.2980
2003,3,12,24.4454
2003,3,13,24.5359
2003,3,14,24.4070
2003,3,15,24.1774
2003,3,16,23.9028
2003,3,17,23.6023
2003,3,18,23.2537
2003,3,19,22.8608
2003,3,20,22.4423
2003,3,21,21.9762
2003,3,22,21.5254
2003,3,23,21.1030
2003,3,24,20.6927
2003,3,25,20.2581
2003,3,26,19.7025
2003,3,27,19.0730
2003,3,28,18.4139
2003,3,29,17.7424
2003,3,30,17.0628
2003,3,31,16.4133
2003,4,1,15.8242
2003,4,2,15.2841
2003,4,3,14.7307
2003,4,4,14.1923
2003,4,5,13.6939
2003,4,6,13.2408
2003,4,7,12.8245
2003,4,8,12.4580
2003,4,9,12.1094
2003,4,10,11.8122
2003,4,11,11.5696
2003,4,12,11.3619
2003,4,13,11.2197
2003,4,14,11.3856
2003,4,15,11.7623
2003,4,16,12.0238
2003,4,17,12.1406
2003,4,18,12.1663
2003,4,19,12.1622
2003,4,20,12.1360
2003,4,21,12.0669
2003,4,22,11.9442
2003,4,23,11.7658
2003,4,24,11.5783
2003,4,25,11.4182
2003,4,26,11.3896
2003,4,27,11.4409
2003,4,28,11.4302
2003,4,29,11.3299
2003,4,30,11.1439
2003,5,1,10.8869
2003,5,2,10.5919
2003,5,3,10.2676
2003,5,4,9.95577
2003,5,5,9.63851
2003,5,6,9.31248
2003,5,7,8.99361
2003,5,8,8.70000
2003,5,9,8.41259
2003,5,10,8.13817
2003,5,11,7.87302
2003,5,12,7.62154
2003,5,13,7.37485
2003,5,14,7.13282
2003,5,15,6.91538
2003,5,16,6.71327
2003,5,17,6.53807
2003,5,18,6.38927
2003,5,19,6.29541
2003,5,20,6.20277
2003,5,21,6.13457
2003,5,22,6.09646
2003,5,23,6.10975
2003,5,24,6.16747
2003,5,25,6.27255
2003,5,26,6.43861
2003,5,27,6.71145
2003,5,28,7.13741
2003,5,29,7.70184
2003,5,30,8.48676
2003,5,31,9.25410
2003,6,1,9.74656
2003,6,2,9.97922
2003,6,3,10.0763
2003,6,4,10.1493
2003,6,5,10.2400
2003,6,6,10.2863
2003,6,7,10.2848
2003,6,8,10.2472
2003,6,9,10.1733
2003,6,10,10.0463
2003,6,11,9.88014
2003,6,12,9.70748
2003,6,13,9.52260
2003,6,14,9.31645
2003,6,15,9.12357
2003,6,16,8.97672
2003,6,17,8.91566
2003,6,18,8.84216
2003,6,19,8.75870
2003,6,20,8.71742
2003,6,21,8.74780
2003,6,22,8.72408
2003,6,23,8.64769
2003,6,24,8.52184
2003,6,25,8.39233
2003,6,26,8.25637
2003,6,27,8.09664
2003,6,28,7.92930
2003,6,29,7.76764
2003,6,30,7.63662
2003,7,1,7.52824
2003,7,2,7.41192
2003,7,3,7.29450
2003,7,4,7.17283
2003,7,5,7.02848
2003,7,6,6.93297
2003,7,7,6.87949
2003,7,8,6.82344
2003,7,9,6.76132
2003,7,10,6.68419
2003,7,11,6.59822
2003,7,12,6.51059
2003,7,13,6.38743
2003,7,14,6.26206
2003,7,15,6.13444
2003,7,16,5.99579
2003,7,17,5.85068
2003,7,18,5.71893
2003,7,19,5.59812
2003,7,20,5.49957
2003,7,21,5.40520
2003,7,22,5.32176
2003,7,23,5.22105
2003,7,24,5.13087
2003,7,25,5.03666
2003,7,26,4.95351
2003,7,27,4.88280
2003,7,28,4.80879
2003,7,29,4.73031
2003,7,30,4.66706
2003,7,31,4.60587
2003,8,1,4.55186
2003,8,2,4.50622
2003,8,3,4.46499
2003,8,4,4.42183
2003,8,5,4.37428
2003,8,6,4.31707
2003,8,7,4.24856
2003,8,8,4.19426
2003,8,9,4.12075
2003,8,10,4.05350
2003,8,11,3.98945
2003,8,12,3.91027
