Year,Month,Day,Inflow [GWh]
2003,1,1,94.5605
2003,1,2,96.9941
2003,1,3,105.290
2003,1,4,113.426
2003,1,5,121.882
2003,1,6,124.868
2003,1,7,124.001
2003,1,8,121.604
2003,1,9,118.230
2003,1,10,114.302
2003,1,11,110.072
2003,1,12,105.753
2003,1,13,101.450
2003,1,14,97.3229
2003,1,15,93.4176
2003,1,16,89.7993
2003,1,17,86.4393
2003,1,18,83.2956
2003,1,19,80.3485
2003,1,20,77.6269
2003,1,21,75.1628
2003,1,22,72.9660
2003,1,23,71.1407
2003,1,24,69.7309
2003,1,25,68.5670
2003,1,26,67.4222
2003,1,27,66.2264
2003,1,28,65.1334
2003,1,29,64.6126
2003,1,30,64.3606
2003,1,31,64.0470
2003,2,1,63.4808
2003,2,2,62.7518
2003,2,3,61.8972
2003,2,4,61.5240
2003,2,5,61.9459
2003,2,6,62.0750
2003,2,7,61.8271
2003,2,8,61.2724
2003,2,9,60.5472
2003,2,10,59.6923
2003,2,11,58.7644
2003,2,12,57.7471
2003,2,13,56.6523
2003,2,14,55.4986
2003,2,15,54.2882
2003,2,16,53.0634
2003,2,17,51.8349
2003,2,18,50.5883
2003,2,19,49.3555
2003,2,20,48.1293
2003,2,21,46.9435
2003,2,22,45.8254
2003,2,23,44.7163
2003,2,24,43.6955
2003,2,25,42.7576
2003,2,26,41.9387
2003,2,27,41.3070
2003,2,28,40.8079
2003,3,1,40.5352
2003,3,2,41.0319
2003,3,3,43.3344
2003,3,4,46.0707
2003,3,5,48.2493
2003,3,6,50.3142
2003,3,7,53.3079
2003,3,8,56.6754
2003,3,9,59.1354
2003,3,10,61.4278
2003,3,11,64.5634
2003,3,12,69.3785
2003,3,13,75.6760
2003,3,14,81.7897
2003,3,15,85.5760
2003,3,16,87.5546
2003,3,17,88.7410
2003,3,18,90.3006
2003,3,19,93.0847
2003,3,20,97.3160
2003,3,21,102.246
2003,3,22,107.549
2003,3,23,113.954
2003,3,24,122.221
2003,3,25,132.991
2003,3,26,144.137
2003,3,27,155.781
2003,3,28,168.432
2003,3,29,184.223
2003,3,30,199.034
2003,3,31,208.281
2003,4,1,213.039
2003,4,2,212.461
2003,4,3,208.543
2003,4,4,201.307
2003,4,5,191.880
2003,4,6,181.616
2003,4,7,171.303
2003,4,8,160.920
2003,4,9,150.924
2003,4,10,141.944
2003,4,11,134.120
2003,4,12,128.285
2003,4,13,124.577
2003,4,14,122.959
2003,4,15,121.174
2003,4,16,118.076
2003,4,17,114.159
2003,4,18,109.961
2003,4,19,105.608
2003,4,20,101.462
2003,4,21,98.1438
2003,4,22,96.0485
2003,4,23,93.9693
2003,4,24,91.5333
2003,4,25,88.8127
2003,4,26,85.9519
2003,4,27,83.4111
2003,4,28,81.3102
2003,4,29,79.2460
2003,4,30,77.3138
2003,5,1,76.3104
2003,5,2,76.8067
2003,5,3,77.9488
2003,5,4,79.5248
2003,5,5,79.6535
2003,5,6,78.8515
2003,5,7,77.5114
2003,5,8,75.7422
2003,5,9,73.7199
2003,5,10,71.8010
2003,5,11,70.4038
2003,5,12,69.9336
2003,5,13,70.5291
2003,5,14,71.9926
2003,5,15,73.1917
2003,5,16,73.3329
2003,5,17,72.8141
2003,5,18,71.9442
2003,5,19,70.6673
2003,5,20,70.2415
2003,5,21,72.0495
2003,5,22,73.9458
2003,5,23,75.0548
2003,5,24,75.0590
2003,5,25,74.2660
2003,5,26,73.2402
2003,5,27,72.2563
2003,5,28,71.4563
2003,5,29,71.0326
2003,5,30,71.0727
2003,5,31,71.0324
2003,6,1,70.6069
2003,6,2,69.7637
2003,6,3,68.9392
2003,6,4,68.4255
2003,6,5,68.4737
2003,6,6,70.3072
2003,6,7,73.6831
2003,6,8,76.7746
2003,6,9,78.8298
2003,6,10,79.5367
2003,6,11,78.8548
2003,6,12,77.4374
2003,6,13,75.6906
2003,6,14,73.8417
2003,6,15,71.9731
2003,6,16,69.9193
2003,6,17,67.8019
2003,6,18,66.2171
2003,6,19,65.6506
2003,6,20,64.7817
2003,6,21,63.2955
2003,6,22,61.3155
2003,6,23,59.1081
2003,6,24,56.7824
2003,6,25,54.6917
2003,6,26,52.7910
2003,6,27,51.0547
2003,6,28,49.3994
2003,6,29,47.9767
2003,6,30,46.8270
2003,7,1,46.0144
2003,7,2,47.0895
2003,7,3,48.4930
2003,7,4,49.5888
2003,7,5,50.6496
2003,7,6,51.0739
2003,7,7,50.8262
2003,7,8,50.0813
2003,7,9,49.0809
