Year,Month,Day,Inflow [GWh]
2003,1,1,14.1230
2003,1,2,21.4422
2003,1,3,24.1140
2003,1,4,20.0965
2003,1,5,22.1364
2003,1,6,23.1688
2003,1,7,23.5064
2003,1,8,23.4680
2003,1,9,23.2329
2003,1,10,22.8653
2003,1,11,22.4027
2003,1,12,21.8817
2003,1,13,21.3189
2003,1,14,21.3546
2003,1,15,20.2816
2003,1,16,19.9306
2003,1,17,19.6125
2003,1,18,19.2839
2003,1,19,18.9437
2003,1,20,18.5844
2003,1,21,18.2313
2003,1,22,18.3060
2003,1,23,17.5330
2003,1,24,17.2382
2003,1,25,17.0331
2003,1,26,16.8600
2003,1,27,16.6700
2003,1,28,16.6197
2003,1,29,16.9587
2003,1,30,17.2398
2003,1,31,17.3422
2003,2,1,17.2955
2003,2,2,17.1574
2003,2,3,16.9799
2003,2,4,16.7879
2003,2,5,16.6395
2003,2,6,16.4813
2003,2,7,16.2906
2003,2,8,16.0703
2003,2,9,15.8326
2003,2,10,15.5734
2003,2,11,15.3063
2003,2,12,15.0214
2003,2,13,14.7240
2003,2,14,14.4184
2003,2,15,14.0990
2003,2,16,13.7859
2003,2,17,13.4717
2003,2,18,13.1647
2003,2,19,12.8633
2003,2,20,12.5617
2003,2,21,12.2744
2003,2,22,12.0112
2003,2,23,11.7708
2003,2,24,11.5727
2003,2,25,11.4196
2003,2,26,11.3325
2003,2,27,11.3195
2003,2,28,11.3827
2003,3,1,11.5938
2003,3,2,11.9875
2003,3,3,12.5435
2003,3,4,13.2489
2003,3,5,14.0016
2003,3,6,14.6136
2003,3,7,14.9593
2003,3,8,15.1501
2003,3,9,15.2697
2003,3,10,15.3393
2003,3,11,15.3315
2003,3,12,15.2639
2003,3,13,15.2033
2003,3,14,15.1326
2003,3,15,15.0143
2003,3,16,14.8665
2003,3,17,14.6715
2003,3,18,14.4399
2003,3,19,14.1750
2003,3,20,13.8774
2003,3,21,13.5666
2003,3,22,13.2542
2003,3,23,12.8589
2003,3,24,12.3791
