Year,Month,Day,Inflow [GWh]
2003,1,1,117.517
2003,1,2,158.226
2003,1,3,145.900
2003,1,4,167.528
2003,1,5,183.551
2003,1,6,191.427
2003,1,7,192.876
2003,1,8,191.199
2003,1,9,187.886
2003,1,10,183.411
2003,1,11,178.168
2003,1,12,172.449
2003,1,13,166.740
2003,1,14,185.872
2003,1,15,156.821
2003,1,16,153.644
2003,1,17,150.751
2003,1,18,147.785
2003,1,19,144.636
2003,1,20,141.350
2003,1,21,138.067
2003,1,22,134.969
2003,1,23,132.047
2003,1,24,129.663
2003,1,25,127.932
2003,1,26,126.233
2003,1,27,124.387
2003,1,28,122.928
2003,1,29,122.387
2003,1,30,122.024
2003,1,31,121.366
2003,2,1,120.342
2003,2,2,118.962
2003,2,3,118.347
2003,2,4,116.848
2003,2,5,116.923
2003,2,6,116.713
2003,2,7,116.122
2003,2,8,115.177
2003,2,9,114.127
2003,2,10,113.042
2003,2,11,111.781
2003,2,12,110.273
2003,2,13,108.509
2003,2,14,106.507
2003,2,15,104.341
2003,2,16,102.095
2003,2,17,99.7598
2003,2,18,97.3517
2003,2,19,94.9671
2003,2,20,92.5641
2003,2,21,90.2610
2003,2,22,88.1470
2003,2,23,86.2639
2003,2,24,84.6983
2003,2,25,83.4998
2003,2,26,82.6671
2003,2,27,82.1381
2003,2,28,81.9387
2003,3,1,82.3220
2003,3,2,83.5249
2003,3,3,86.2081
2003,3,4,89.2373
2003,3,5,91.5138
2003,3,6,93.2046
2003,3,7,95.0686
2003,3,8,97.3732
2003,3,9,98.9076
2003,3,10,99.4232
2003,3,11,99.0709
2003,3,12,98.1179
2003,3,13,97.5364
2003,3,14,97.3445
2003,3,15,96.5240
2003,3,16,95.1419
2003,3,17,93.3641
2003,3,18,91.3687
2003,3,19,89.2122
2003,3,20,86.9627
2003,3,21,84.5269
2003,3,22,82.1292
2003,3,23,79.4488
2003,3,24,76.3354
2003,3,25,73.0409
2003,3,26,69.7980
2003,3,27,66.7772
2003,3,28,63.8778
2003,3,29,61.2585
2003,3,30,58.8030
2003,3,31,56.5277
2003,4,1,54.4404
2003,4,2,52.4020
2003,4,3,50.7664
2003,4,4,49.3575
2003,4,5,48.1289
2003,4,6,47.0131
2003,4,7,45.9741
2003,4,8,44.9352
2003,4,9,43.9484
2003,4,10,43.0495
2003,4,11,42.2101
2003,4,12,41.5059
2003,4,13,40.7404
2003,4,14,39.8757
2003,4,15,38.7484
2003,4,16,37.4585
2003,4,17,36.0387
2003,4,18,34.5916
2003,4,19,33.2797
2003,4,20,32.1128
2003,4,21,31.0124
2003,4,22,29.9467
2003,4,23,28.9290
2003,4,24,27.9430
2003,4,25,26.9941
2003,4,26,26.0597
2003,4,27,25.2170
2003,4,28,24.4408
2003,4,29,23.7061
2003,4,30,22.9999
2003,5,1,22.3596
2003,5,2,21.7932
2003,5,3,21.3174
2003,5,4,20.8610
2003,5,5,20.3283
2003,5,6,19.7691
2003,5,7,19.1829
2003,5,8,18.6119
2003,5,9,18.1260
2003,5,10,17.6907
2003,5,11,17.3256
2003,5,12,17.0962
2003,5,13,16.9130
2003,5,14,16.7842
2003,5,15,16.7043
2003,5,16,16.5927
2003,5,17,16.4947
2003,5,18,16.4262
2003,5,19,16.3383
2003,5,20,16.2835
2003,5,21,16.4009
2003,5,22,16.5970
2003,5,23,16.7885
2003,5,24,16.9068
2003,5,25,16.9815
2003,5,26,17.0476
2003,5,27,17.1837
2003,5,28,17.3456
2003,5,29,17.4917
2003,5,30,17.5575
2003,5,31,17.5370
2003,6,1,17.4675
2003,6,2,17.3237
2003,6,3,17.1736
2003,6,4,16.9857
2003,6,5,16.7274
2003,6,6,16.5146
2003,6,7,16.2843
2003,6,8,16.1183
2003,6,9,15.8968
2003,6,10,15.6648
2003,6,11,15.4554
2003,6,12,15.2177
2003,6,13,14.9749
2003,6,14,14.7287
2003,6,15,14.5044
2003,6,16,14.2798
2003,6,17,14.0557
2003,6,18,13.8770
2003,6,19,13.7113
2003,6,20,13.5653
2003,6,21,13.4134
2003,6,22,13.2776
2003,6,23,13.0981
2003,6,24,12.9135
2003,6,25,12.7317
2003,6,26,12.5414
2003,6,27,12.3613
2003,6,28,12.1600
2003,6,29,12.0124
2003,6,30,11.7707
2003,7,1,11.6009
2003,7,2,11.4411
2003,7,3,11.3225
2003,7,4,11.2337
2003,7,5,11.1540
2003,7,6,11.0702
2003,7,7,11.0180
2003,7,8,10.9434
2003,7,9,10.8688
2003,7,10,10.7663
2003,7,11,10.6604
2003,7,12,10.5276
2003,7,13,10.3854
2003,7,14,10.2097
2003,7,15,10.0260
2003,7,16,9.80434
2003,7,17,9.58630
2003,7,18,9.41225
2003,7,19,9.21498
2003,7,20,9.00803
2003,7,21,8.80081
2003,7,22,8.60405
2003,7,23,8.41463
2003,7,24,8.22674
2003,7,25,8.07703
2003,7,26,7.97549
2003,7,27,7.85643
2003,7,28,7.77845
2003,7,29,7.69065
2003,7,30,7.58481
2003,7,31,7.52689
2003,8,1,7.46765
2003,8,2,7.37556
2003,8,3,7.28841
2003,8,4,7.16297
2003,8,5,7.04115
2003,8,6,6.91080
2003,8,7,6.76709
2003,8,8,6.62067
2003,8,9,6.48896
2003,8,10,6.34256
2003,8,11,6.20840
2003,8,12,6.07742
2003,8,13,5.94093
2003,8,14,5.81535
2003,8,15,5.71824
2003,8,16,5.60073
2003,8,17,5.50462
2003,8,18,5.40494
2003,8,19,5.29555
2003,8,20,5.21759
2003,8,21,5.12683
2003,8,22,5.03868
2003,8,23,4.94904
2003,8,24,4.86137
2003,8,25,4.77398
2003,8,26,4.69163
2003,8,27,4.59337
2003,8,28,4.52432
2003,8,29,4.44451
2003,8,30,4.36629
2003,8,31,4.32971
2003,9,1,4.28981
2003,9,2,4.27305
2003,9,3,4.24606
2003,9,4,4.23146
2003,9,5,4.20654
2003,9,6,4.18037
2003,9,7,4.15457
2003,9,8,4.12767
2003,9,9,4.11872
2003,9,10,4.11493
2003,9,11,4.13025
2003,9,12,4.16598
2003,9,13,4.28520
2003,9,14,4.39467
2003,9,15,4.49199
2003,9,16,4.58229
2003,9,17,4.66674
2003,9,18,4.71808
2003,9,19,4.74350
2003,9,20,4.77089
2003,9,21,4.77266
2003,9,22,4.75398
2003,9,23,4.74538
2003,9,24,4.73039
2003,9,25,4.72348
2003,9,26,4.72182
2003,9,27,4.71000
2003,9,28,4.69726
2003,9,29,4.69722
2003,9,30,4.68326
2003,10,1,4.68098
2003,10,2,4.67889
2003,10,3,4.66877
2003,10,4,4.66955
2003,10,5,4.67874
2003,10,6,4.97638
2003,10,7,5.43694
2003,10,8,5.99462
2003,10,9,6.77944
2003,10,10,7.71681
2003,10,11,8.55044
2003,10,12,9.16599
2003,10,13,9.61277
2003,10,14,9.92565
2003,10,15,10.1323
2003,10,16,10.2611
2003,10,17,10.3521
2003,10,18,10.3778
2003,10,19,10.3833
2003,10,20,10.3877
2003,10,21,10.3971
2003,10,22,10.4616
2003,10,23,10.5569
2003,10,24,10.6459
2003,10,25,10.7286
2003,10,26,10.7945
2003,10,27,10.8643
2003,10,28,10.9039
2003,10,29,10.9293
2003,10,30,10.9393
2003,10,31,10.9542
2003,11,1,10.9764
2003,11,2,11.0248
2003,11,3,11.0937
2003,11,4,11.1534
2003,11,5,11.1988
2003,11,6,11.2327
2003,11,7,11.2466
2003,11,8,11.2467
2003,11,9,11.2403
2003,11,10,11.2000
2003,11,11,11.1638
2003,11,12,11.1245
2003,11,13,11.0715
2003,11,14,11.0474
2003,11,15,11.0328
2003,11,16,11.0186
2003,11,17,11.0070
2003,11,18,11.0375
2003,11,19,11.0800
2003,11,20,11.1345
2003,11,21,11.1781
2003,11,22,11.2060
2003,11,23,11.2211
2003,11,24,11.2317
2003,11,25,11.2348
2003,11,26,11.2327
2003,11,27,11.2235
2003,11,28,11.2225
2003,11,29,11.3279
2003,11,30,11.5815
2003,12,1,11.8497
2003,12,2,12.1051
2003,12,3,12.3180
2003,12,4,12.4989
2003,12,5,12.6428
2003,12,6,12.7744
2003,12,7,12.8723
2003,12,8,12.9698
2003,12,9,13.0435
2003,12,10,13.0918
2003,12,11,13.1399
2003,12,12,13.1550
2003,12,13,13.1969
2003,12,14,13.2640
2003,12,15,13.5124
2003,12,16,13.8698
2003,12,17,14.2191
2003,12,18,14.5800
2003,12,19,14.8754
2003,12,20,15.1562
2003,12,21,15.4129
2003,12,22,15.7293
2003,12,23,16.1134
2003,12,24,16.4826
2003,12,25,16.8116
2003,12,26,17.0877
2003,12,27,17.3572
2003,12,28,17.6343
2003,12,29,17.9952
2003,12,30,18.3602
2003,12,31,18.6867
2004,1,1,18.9740
2004,1,2,19.2320
2004,1,3,19.4396
2004,1,4,19.6109
2004,1,5,20.2256
2004,1,6,19.8843
2004,1,7,28.7140
2004,1,8,20.3530
2004,1,9,20.7898
2004,1,10,22.1043
2004,1,11,22.9624
2004,1,12,25.0179
2004,1,13,29.2411
2004,1,14,38.6274
2004,1,15,48.5299
2004,1,16,55.5669
2004,1,17,60.9328
2004,1,18,65.9787
2004,1,19,69.4901
2004,1,20,74.4159
2004,1,21,74.8500
2004,1,22,77.0666
2004,1,23,78.1573
2004,1,24,78.4721
2004,1,25,78.2805
2004,1,26,77.8639
2004,1,27,77.2423
2004,1,28,76.4712
2004,1,29,75.5547
2004,1,30,74.5159
2004,1,31,73.3889
2004,2,1,85.7108
2004,2,2,72.9374
2004,2,3,75.7276
2004,2,4,80.0381
2004,2,5,83.5445
2004,2,6,85.6363
2004,2,7,86.6812
2004,2,8,87.2539
2004,2,9,87.8956
2004,2,10,88.4131
2004,2,11,88.6734
2004,2,12,89.2214
2004,2,13,89.6163
2004,2,14,89.7349
2004,2,15,89.8704
2004,2,16,89.9576
2004,2,17,89.7933
2004,2,18,89.3667
2004,2,19,88.6659
2004,2,20,87.7047
2004,2,21,86.5080
2004,2,22,85.0772
2004,2,23,83.5881
2004,2,24,82.1510
2004,2,25,80.7354
2004,2,26,79.3031
2004,2,27,77.8708
2004,2,28,76.4599
2004,2,29,75.0642
2004,3,1,73.7014
2004,3,2,72.3681
2004,3,3,71.0790
2004,3,4,69.8670
2004,3,5,68.7829
2004,3,6,67.8187
2004,3,7,66.9996
2004,3,8,66.3406
2004,3,9,65.7559
2004,3,10,65.2006
2004,3,11,64.6781
2004,3,12,64.1681
2004,3,13,63.8177
2004,3,14,63.8495
2004,3,15,64.5619
2004,3,16,65.5520
2004,3,17,66.1689
2004,3,18,66.1278
2004,3,19,65.4647
2004,3,20,64.5891
2004,3,21,63.7721
2004,3,22,63.0837
2004,3,23,62.5303
2004,3,24,62.0529
2004,3,25,61.7919
2004,3,26,61.6938
2004,3,27,61.5875
2004,3,28,61.3906
2004,3,29,61.0598
2004,3,30,60.7102
2004,3,31,60.1746
2004,4,1,59.2119
2004,4,2,57.8965
2004,4,3,56.3101
2004,4,4,54.6993
2004,4,5,53.2841
2004,4,6,52.0659
2004,4,7,51.1289
2004,4,8,50.4278
2004,4,9,49.8609
2004,4,10,49.5031
2004,4,11,49.3096
2004,4,12,49.1609
2004,4,13,49.0168
2004,4,14,48.8246
2004,4,15,48.3863
2004,4,16,47.6755
2004,4,17,46.6933
2004,4,18,45.6738
2004,4,19,44.7280
2004,4,20,43.8657
2004,4,21,43.0014
2004,4,22,42.0321
2004,4,23,40.9839
2004,4,24,40.1086
