Year,Month,Day,Inflow [GWh]
2003,1,1,20.0166
2003,1,2,20.0658
2003,1,3,20.0867
2003,1,4,19.9294
2003,1,5,19.7335
2003,1,6,19.7102
2003,1,7,19.5773
2003,1,8,19.4431
2003,1,9,19.2755
2003,1,10,19.0279
2003,1,11,18.7830
2003,1,12,18.8423
2003,1,13,19.4267
2003,1,14,19.6930
2003,1,15,19.6612
2003,1,16,19.4556
2003,1,17,19.1450
2003,1,18,18.7867
2003,1,19,18.5440
2003,1,20,18.5520
2003,1,21,18.5287
2003,1,22,18.4279
2003,1,23,18.5124
2003,1,24,18.6262
2003,1,25,19.0455
2003,1,26,21.0684
2003,1,27,23.4626
2003,1,28,24.5337
2003,1,29,24.5953
2003,1,30,24.3427
2003,1,31,24.2704
2003,2,1,24.7746
2003,2,2,25.7090
2003,2,3,26.6248
2003,2,4,27.0942
2003,2,5,28.1233
2003,2,6,30.9748
2003,2,7,32.2617
2003,2,8,32.0927
2003,2,9,31.2580
2003,2,10,30.0693
2003,2,11,28.7802
2003,2,12,27.5369
2003,2,13,26.3479
2003,2,14,25.1949
2003,2,15,24.0819
2003,2,16,23.0239
2003,2,17,22.1325
2003,2,18,21.5289
2003,2,19,21.0474
2003,2,20,20.5278
2003,2,21,20.0037
2003,2,22,19.4757
2003,2,23,18.9103
2003,2,24,18.3604
2003,2,25,17.7760
2003,2,26,17.1928
2003,2,27,16.6020
2003,2,28,16.0016
2003,3,1,15.4052
2003,3,2,14.8139
2003,3,3,14.2597
2003,3,4,13.7596
2003,3,5,13.4612
2003,3,6,13.2127
2003,3,7,12.8859
2003,3,8,12.5598
2003,3,9,12.2786
2003,3,10,12.0127
2003,3,11,11.7461
2003,3,12,11.4667
2003,3,13,11.1511
2003,3,14,10.8204
2003,3,15,10.5169
2003,3,16,10.2497
2003,3,17,10.0033
2003,3,18,9.79432
2003,3,19,9.58705
2003,3,20,9.37753
2003,3,21,9.15365
2003,3,22,8.92432
2003,3,23,8.70621
2003,3,24,8.50947
2003,3,25,8.30888
2003,3,26,8.08403
2003,3,27,7.84631
2003,3,28,7.60246
2003,3,29,7.38101
2003,3,30,7.16880
2003,3,31,6.94915
2003,4,1,6.76027
2003,4,2,6.56859
2003,4,3,6.39213
2003,4,4,6.21676
2003,4,5,6.05449
2003,4,6,5.92060
2003,4,7,5.81198
2003,4,8,5.73672
2003,4,9,5.69099
2003,4,10,5.66495
2003,4,11,5.65174
2003,4,12,5.65350
2003,4,13,5.64109
2003,4,14,5.61911
2003,4,15,5.58169
2003,4,16,5.51968
2003,4,17,5.45213
2003,4,18,5.38997
2003,4,19,5.34462
2003,4,20,5.29769
2003,4,21,5.25151
2003,4,22,5.20849
2003,4,23,5.16511
2003,4,24,5.12294
2003,4,25,5.08294
2003,4,26,5.02322
2003,4,27,4.95952
2003,4,28,4.88475
2003,4,29,4.79857
2003,4,30,4.69566
2003,5,1,4.56979
2003,5,2,4.43508
2003,5,3,4.30790
2003,5,4,4.16820
2003,5,5,4.03241
2003,5,6,3.89889
2003,5,7,3.77093
2003,5,8,3.64653
2003,5,9,3.52176
2003,5,10,3.40432
2003,5,11,3.29148
2003,5,12,3.18477
2003,5,13,3.07940
2003,5,14,2.97444
2003,5,15,2.87278
2003,5,16,2.77776
2003,5,17,2.67961
2003,5,18,2.59160
2003,5,19,2.50978
2003,5,20,2.43072
2003,5,21,2.36097
2003,5,22,2.29808
2003,5,23,2.24772
2003,5,24,2.22302
2003,5,25,2.23533
2003,5,26,2.26792
2003,5,27,2.29432
2003,5,28,2.31980
2003,5,29,2.34991
2003,5,30,2.37924
2003,5,31,2.41009
2003,6,1,2.46250
2003,6,2,2.52379
2003,6,3,2.57298
2003,6,4,2.60178
2003,6,5,2.60921
2003,6,6,2.61271
2003,6,7,2.60313
2003,6,8,2.59503
2003,6,9,2.57724
2003,6,10,2.55222
2003,6,11,2.51954
2003,6,12,2.48599
2003,6,13,2.44755
2003,6,14,2.40497
2003,6,15,2.36476
2003,6,16,2.32326
2003,6,17,2.28417
2003,6,18,2.25479
2003,6,19,2.23359
2003,6,20,2.22901
2003,6,21,2.24645
2003,6,22,2.25393
2003,6,23,2.24394
2003,6,24,2.22995
2003,6,25,2.20533
2003,6,26,2.17783
2003,6,27,2.14832
2003,6,28,2.11852
2003,6,29,2.08540
2003,6,30,2.04402
2003,7,1,2.00415
2003,7,2,1.96219
2003,7,3,1.92053
2003,7,4,1.87745
2003,7,5,1.82975
2003,7,6,1.77917
2003,7,7,1.73109
2003,7,8,1.68723
2003,7,9,1.64396
2003,7,10,1.59953
2003,7,11,1.55850
2003,7,12,1.51920
2003,7,13,1.47820
2003,7,14,1.43761
2003,7,15,1.39425
2003,7,16,1.36194
2003,7,17,1.31815
2003,7,18,1.27941
2003,7,19,1.24226
2003,7,20,1.20771
2003,7,21,1.17855
2003,7,22,1.14642
2003,7,23,1.11687
2003,7,24,1.08679
2003,7,25,1.05698
2003,7,26,1.03231
2003,7,27,1.00597
2003,7,28,0.982109
2003,7,29,0.955368
2003,7,30,0.938512
2003,7,31,0.918277
2003,8,1,0.902416
2003,8,2,0.889743
2003,8,3,0.879769
2003,8,4,0.872852
2003,8,5,0.864231
2003,8,6,0.853982
2003,8,7,0.843430
2003,8,8,0.833842
2003,8,9,0.825329
2003,8,10,0.816727
2003,8,11,0.805674
2003,8,12,0.794267
2003,8,13,0.783637
2003,8,14,0.772887
2003,8,15,0.762306
2003,8,16,0.749947
2003,8,17,0.740742
2003,8,18,0.730076
2003,8,19,0.717470
2003,8,20,0.706793
2003,8,21,0.695334
2003,8,22,0.683448
2003,8,23,0.670593
2003,8,24,0.661556
2003,8,25,0.649632
2003,8,26,0.637112
2003,8,27,0.627730
2003,8,28,0.618628
2003,8,29,0.609253
2003,8,30,0.599479
2003,8,31,0.586589
2003,9,1,0.574279
2003,9,2,0.567201
2003,9,3,0.556465
2003,9,4,0.548003
2003,9,5,0.537847
2003,9,6,0.530074
2003,9,7,0.519192
2003,9,8,0.513606
2003,9,9,0.512233
2003,9,10,0.516433
2003,9,11,0.523197
2003,9,12,0.541781
2003,9,13,0.566285
2003,9,14,0.582314
2003,9,15,0.607915
2003,9,16,0.625260
2003,9,17,0.643707
2003,9,18,0.656007
2003,9,19,0.670388
2003,9,20,0.679912
2003,9,21,0.683938
2003,9,22,0.688207
2003,9,23,0.693255
2003,9,24,0.694140
2003,9,25,0.693965
2003,9,26,0.691116
2003,9,27,0.696454
2003,9,28,0.703192
2003,9,29,0.707007
2003,9,30,0.710377
2003,10,1,0.716400
2003,10,2,0.720283
2003,10,3,0.725521
2003,10,4,0.726642
2003,10,5,0.727883
2003,10,6,0.726103
2003,10,7,0.733422
2003,10,8,0.738941
2003,10,9,0.757453
2003,10,10,0.774715
2003,10,11,0.794178
2003,10,12,0.810350
2003,10,13,0.823959
2003,10,14,0.834080
2003,10,15,0.839669
2003,10,16,0.927975
2003,10,17,1.35064
2003,10,18,1.79356
2003,10,19,2.33943
2003,10,20,3.45888
2003,10,21,4.40104
2003,10,22,4.89695
2003,10,23,5.13375
2003,10,24,5.36823
2003,10,25,6.71093
2003,10,26,7.83482
2003,10,27,8.21791
2003,10,28,8.64406
2003,10,29,8.88036
2003,10,30,9.54589
2003,10,31,11.5197
2003,11,1,12.4316
2003,11,2,12.4070
2003,11,3,12.1246
2003,11,4,11.8905
2003,11,5,11.6212
2003,11,6,11.2332
2003,11,7,10.8173
2003,11,8,10.4032
2003,11,9,9.95775
2003,11,10,9.49922
2003,11,11,9.03887
2003,11,12,8.64808
2003,11,13,8.41957
2003,11,14,8.26714
2003,11,15,8.11943
2003,11,16,7.94540
2003,11,17,7.74978
2003,11,18,7.54132
2003,11,19,7.32190
2003,11,20,7.09646
2003,11,21,6.85456
2003,11,22,6.60913
2003,11,23,6.38076
2003,11,24,6.15976
2003,11,25,5.94792
2003,11,26,5.74912
2003,11,27,5.56527
2003,11,28,5.40617
2003,11,29,5.30220
2003,11,30,5.27162
2003,12,1,5.31012
2003,12,2,5.37510
2003,12,3,5.41274
2003,12,4,5.42176
2003,12,5,5.41238
2003,12,6,5.37961
2003,12,7,5.33744
2003,12,8,5.31462
2003,12,9,5.32108
2003,12,10,5.34768
2003,12,11,5.38329
2003,12,12,5.40923
2003,12,13,5.45074
2003,12,14,5.48988
2003,12,15,5.52289
2003,12,16,5.58011
2003,12,17,5.65506
2003,12,18,5.70015
2003,12,19,5.71828
2003,12,20,5.71441
2003,12,21,5.69142
2003,12,22,5.66523
2003,12,23,5.78952
2003,12,24,6.61993
2003,12,25,7.63596
2003,12,26,8.42351
2003,12,27,8.91185
2003,12,28,9.18966
2003,12,29,9.36601
2003,12,30,9.54292
2003,12,31,9.89621
2004,1,1,10.3552
2004,1,2,10.8058
2004,1,3,11.2015
2004,1,4,11.7840
2004,1,5,12.4214
2004,1,6,12.8440
2004,1,7,13.0562
2004,1,8,13.0963
2004,1,9,13.0204
2004,1,10,12.8747
2004,1,11,12.8190
2004,1,12,12.9098
2004,1,13,12.9591
2004,1,14,12.9998
2004,1,15,13.0793
2004,1,16,13.1230
2004,1,17,13.0799
