Year,Month,Day,Inflow [GWh]
2003,1,1,159.544
2003,1,2,165.491
2003,1,3,171.333
2003,1,4,177.393
2003,1,5,180.931
2003,1,6,185.752
2003,1,7,190.631
2003,1,8,196.956
2003,1,9,203.222
2003,1,10,207.641
2003,1,11,208.394
2003,1,12,206.331
2003,1,13,202.406
2003,1,14,197.329
2003,1,15,191.724
2003,1,16,186.193
2003,1,17,180.983
2003,1,18,176.367
2003,1,19,174.633
2003,1,20,177.276
2003,1,21,186.534
2003,1,22,199.678
2003,1,23,211.152
2003,1,24,216.762
2003,1,25,217.687
2003,1,26,215.953
2003,1,27,213.039
2003,1,28,211.101
2003,1,29,209.897
2003,1,30,208.264
2003,1,31,207.220
2003,2,1,206.441
2003,2,2,204.765
2003,2,3,203.324
2003,2,4,203.642
2003,2,5,208.476
2003,2,6,211.555
2003,2,7,211.874
2003,2,8,210.513
2003,2,9,208.310
2003,2,10,205.919
2003,2,11,203.303
2003,2,12,200.440
2003,2,13,197.661
2003,2,14,194.717
2003,2,15,191.470
2003,2,16,187.915
2003,2,17,184.109
2003,2,18,180.098
2003,2,19,176.469
2003,2,20,174.336
2003,2,21,173.760
2003,2,22,174.523
2003,2,23,176.367
2003,2,24,179.228
2003,2,25,183.280
2003,2,26,192.533
2003,2,27,208.851
2003,2,28,224.869
2003,3,1,236.060
2003,3,2,244.444
2003,3,3,250.235
2003,3,4,254.543
2003,3,5,256.652
2003,3,6,255.638
2003,3,7,252.802
2003,3,8,248.449
2003,3,9,242.855
2003,3,10,236.313
2003,3,11,228.859
2003,3,12,220.803
2003,3,13,212.588
2003,3,14,204.378
2003,3,15,196.562
2003,3,16,189.499
2003,3,17,183.067
2003,3,18,176.648
2003,3,19,170.349
2003,3,20,164.237
2003,3,21,158.355
2003,3,22,152.681
2003,3,23,147.471
2003,3,24,142.682
2003,3,25,138.302
2003,3,26,134.361
2003,3,27,130.969
2003,3,28,128.867
2003,3,29,129.046
2003,3,30,131.139
2003,3,31,134.718
2003,4,1,138.175
2003,4,2,140.238
2003,4,3,141.177
2003,4,4,141.238
2003,4,5,140.372
2003,4,6,138.567
2003,4,7,135.948
2003,4,8,132.781
2003,4,9,129.419
2003,4,10,126.278
2003,4,11,123.689
2003,4,12,121.554
2003,4,13,119.555
2003,4,14,117.492
2003,4,15,115.574
2003,4,16,114.168
2003,4,17,113.149
2003,4,18,111.845
2003,4,19,110.513
2003,4,20,109.765
2003,4,21,109.691
2003,4,22,109.701
2003,4,23,109.411
2003,4,24,109.037
2003,4,25,108.337
2003,4,26,107.612
2003,4,27,106.803
2003,4,28,105.653
2003,4,29,104.326
2003,4,30,103.037
2003,5,1,101.955
2003,5,2,100.664
2003,5,3,99.0009
2003,5,4,97.0813
2003,5,5,94.9441
2003,5,6,93.1467
2003,5,7,92.6040
2003,5,8,94.0556
2003,5,9,95.6585
2003,5,10,96.3937
2003,5,11,96.4344
2003,5,12,95.8503
2003,5,13,95.0508
2003,5,14,93.9877
2003,5,15,92.7015
2003,5,16,91.3578
2003,5,17,90.0817
2003,5,18,88.9935
2003,5,19,87.8373
2003,5,20,86.4158
2003,5,21,84.9101
2003,5,22,83.3094
2003,5,23,81.3863
2003,5,24,79.3729
2003,5,25,77.4937
2003,5,26,75.8110
2003,5,27,74.1956
2003,5,28,72.5709
2003,5,29,70.7840
2003,5,30,68.9670
2003,5,31,67.2034
2003,6,1,65.5094
2003,6,2,63.8879
2003,6,3,62.3187
2003,6,4,60.9559
2003,6,5,59.8087
2003,6,6,58.7513
2003,6,7,57.5709
2003,6,8,56.4956
2003,6,9,55.3275
2003,6,10,54.1894
2003,6,11,52.9469
2003,6,12,51.7778
2003,6,13,50.4849
2003,6,14,49.1406
2003,6,15,47.8680
2003,6,16,46.6974
2003,6,17,45.5097
2003,6,18,44.4657
2003,6,19,43.4115
2003,6,20,42.3800
2003,6,21,41.2601
2003,6,22,40.0824
2003,6,23,38.9524
2003,6,24,37.8741
2003,6,25,36.8729
2003,6,26,35.9424
2003,6,27,35.0258
2003,6,28,34.2080
2003,6,29,33.3577
2003,6,30,32.5957
2003,7,1,31.9170
2003,7,2,31.2059
2003,7,3,30.5395
2003,7,4,29.8524
2003,7,5,29.1768
2003,7,6,28.5586
2003,7,7,27.9148
2003,7,8,27.2541
2003,7,9,26.6716
2003,7,10,26.0388
2003,7,11,25.4579
2003,7,12,24.8197
2003,7,13,24.1913
2003,7,14,23.6190
2003,7,15,23.0809
2003,7,16,22.6922
2003,7,17,22.3226
2003,7,18,21.9044
2003,7,19,21.4995
2003,7,20,21.1217
2003,7,21,20.7147
2003,7,22,20.3199
2003,7,23,19.9510
2003,7,24,19.5617
2003,7,25,19.2204
2003,7,26,18.8832
2003,7,27,18.5477
2003,7,28,18.2169
2003,7,29,17.8843
2003,7,30,17.6746
2003,7,31,17.3207
2003,8,1,17.0352
2003,8,2,16.7139
2003,8,3,16.4198
2003,8,4,16.0908
2003,8,5,15.7871
2003,8,6,15.4684
2003,8,7,15.1521
2003,8,8,14.8362
2003,8,9,14.5437
2003,8,10,14.2373
2003,8,11,13.9810
2003,8,12,13.6516
2003,8,13,13.4423
2003,8,14,13.1844
2003,8,15,12.9353
2003,8,16,12.7384
2003,8,17,12.5925
2003,8,18,12.4069
2003,8,19,12.2506
2003,8,20,12.1063
2003,8,21,11.9661
2003,8,22,11.8308
2003,8,23,11.7376
2003,8,24,11.5938
2003,8,25,11.4899
2003,8,26,11.3462
2003,8,27,11.2263
2003,8,28,11.1339
2003,8,29,11.0458
2003,8,30,10.9862
2003,8,31,10.8749
2003,9,1,10.8002
2003,9,2,10.7796
2003,9,3,10.7616
2003,9,4,10.8138
2003,9,5,10.9114
2003,9,6,10.9915
2003,9,7,11.0786
2003,9,8,11.1947
2003,9,9,11.2737
2003,9,10,11.3871
2003,9,11,11.4943
2003,9,12,11.5621
2003,9,13,11.6246
2003,9,14,11.6781
2003,9,15,11.6681
2003,9,16,11.6252
2003,9,17,11.6017
2003,9,18,11.5045
2003,9,19,11.4176
2003,9,20,11.3316
2003,9,21,11.2248
2003,9,22,11.1285
2003,9,23,11.0819
2003,9,24,11.0134
2003,9,25,10.8952
2003,9,26,10.8224
