Year,Month,Day,Inflow [GWh]
2003,1,1,13.5097
2003,1,2,13.4074
2003,1,3,13.3062
2003,1,4,13.2086
2003,1,5,13.1017
2003,1,6,12.9975
2003,1,7,12.8850
2003,1,8,13.4063
2003,1,9,12.6584
2003,1,10,12.5439
2003,1,11,13.5571
2003,1,12,14.1988
2003,1,13,14.4656
2003,1,14,12.9436
2003,1,15,15.0978
2003,1,16,16.9239
2003,1,17,20.8025
2003,1,18,37.6297
2003,1,19,13.2384
2003,1,20,11.4678
2003,1,21,37.2992
2003,1,22,24.2992
2003,1,23,15.6849
2003,1,24,12.1791
2003,1,25,12.0439
2003,1,26,33.7017
2003,1,27,10.8776
2003,1,28,10.7436
2003,1,29,10.6904
2003,1,30,10.6334
2003,1,31,10.5694
2003,2,1,10.5062
2003,2,2,10.4790
2003,2,3,10.3774
2003,2,4,10.2822
2003,2,5,10.1996
2003,2,6,10.1219
2003,2,7,10.2085
2003,2,8,10.7932
2003,2,9,11.1640
2003,2,10,15.2610
2003,2,11,9.84302
2003,2,12,12.7302
2003,2,13,14.5294
2003,2,14,10.4639
2003,2,15,10.0110
2003,2,16,28.5514
2003,2,17,21.5790
2003,2,18,60.5329
2003,2,19,12.1489
2003,2,20,9.05326
2003,2,21,8.99765
2003,2,22,9.24568
2003,2,23,8.91966
2003,2,24,8.85520
2003,2,25,10.4949
2003,2,26,9.00353
2003,2,27,8.73345
2003,2,28,8.69393
2003,3,1,8.66078
2003,3,2,8.62338
2003,3,3,8.58387
2003,3,4,8.55620
2003,3,5,8.51115
2003,3,6,8.81662
2003,3,7,9.95156
2003,3,8,8.88993
2003,3,9,8.59580
2003,3,10,12.7620
2003,3,11,11.2213
2003,3,12,9.33663
2003,3,13,10.5818
2003,3,14,51.4412
2003,3,15,8.60758
2003,3,16,9.16689
2003,3,17,8.79875
2003,3,18,13.7830
2003,3,19,8.82009
2003,3,20,9.03832
2003,3,21,9.41923
2003,3,22,60.1706
2003,3,23,32.4724
2003,3,24,10.6787
2003,3,25,10.2468
2003,3,26,52.9483
2003,3,27,44.7718
2003,3,28,12.0002
2003,3,29,13.2606
2003,3,30,13.8563
2003,3,31,15.3322
2003,4,1,16.0785
2003,4,2,16.8066
2003,4,3,17.5129
2003,4,4,17.6153
2003,4,5,17.8429
2003,4,6,17.9363
2003,4,7,17.9887
2003,4,8,17.9844
2003,4,9,20.8619
2003,4,10,61.4641
2003,4,11,30.4995
2003,4,12,18.0248
2003,4,13,18.4051
2003,4,14,19.2453
2003,4,15,20.6637
2003,4,16,22.8045
2003,4,17,26.3087
2003,4,18,30.9330
2003,4,19,36.4023
2003,4,20,43.7227
2003,4,21,53.4508
2003,4,22,63.8355
2003,4,23,72.0033
2003,4,24,76.3264
2003,4,25,77.7230
2003,4,26,77.4672
2003,4,27,76.3460
2003,4,28,74.7227
2003,4,29,73.0664
2003,4,30,71.5892
2003,5,1,70.4650
2003,5,2,70.2026
2003,5,3,70.6000
2003,5,4,70.7969
2003,5,5,70.8007
2003,5,6,71.0930
2003,5,7,72.5148
2003,5,8,74.5434
2003,5,9,76.0002
2003,5,10,77.2857
2003,5,11,79.4376
2003,5,12,82.7767
2003,5,13,86.4136
2003,5,14,90.9640
2003,5,15,96.3540
2003,5,16,100.136
2003,5,17,102.077
2003,5,18,103.738
2003,5,19,107.096
2003,5,20,111.395
2003,5,21,112.405
2003,5,22,110.510
2003,5,23,106.020
2003,5,24,100.163
2003,5,25,94.0105
2003,5,26,87.8479
2003,5,27,82.7281
2003,5,28,78.5884
2003,5,29,75.1692
2003,5,30,72.2957
2003,5,31,70.0127
2003,6,1,68.2113
2003,6,2,66.4557
2003,6,3,64.4600
2003,6,4,62.4213
2003,6,5,60.5721
2003,6,6,58.6458
2003,6,7,56.5778
2003,6,8,54.4218
2003,6,9,52.3670
2003,6,10,50.6098
2003,6,11,49.2709
2003,6,12,47.9474
2003,6,13,46.6160
2003,6,14,45.3454
2003,6,15,44.1240
2003,6,16,42.9918
2003,6,17,41.9331
2003,6,18,40.9129
2003,6,19,39.8379
2003,6,20,38.7893
2003,6,21,37.7112
2003,6,22,36.6980
2003,6,23,35.6452
2003,6,24,34.6055
2003,6,25,33.5453
2003,6,26,32.4930
2003,6,27,31.4181
2003,6,28,30.4711
2003,6,29,29.6202
2003,6,30,28.7921
2003,7,1,27.9315
2003,7,2,27.0198
2003,7,3,26.1294
2003,7,4,25.2826
2003,7,5,24.5147
2003,7,6,23.8400
2003,7,7,23.2509
2003,7,8,22.7837
2003,7,9,22.4144
2003,7,10,22.2185
2003,7,11,22.2020
2003,7,12,22.2559
2003,7,13,22.3000
2003,7,14,22.3048
2003,7,15,22.2271
2003,7,16,22.1022
2003,7,17,21.9385
2003,7,18,21.7156
2003,7,19,21.5009
2003,7,20,21.2736
2003,7,21,21.0225
2003,7,22,20.7478
2003,7,23,20.4745
2003,7,24,20.2214
2003,7,25,19.9728
2003,7,26,19.7471
2003,7,27,19.5092
2003,7,28,19.2744
