Year,Month,Day,Inflow [GWh]
2003,1,1,419.666
2003,1,2,431.574
2003,1,3,461.287
2003,1,4,492.469
2003,1,5,527.611
2003,1,6,543.241
2003,1,7,543.477
2003,1,8,537.014
2003,1,9,527.352
2003,1,10,515.617
2003,1,11,501.822
2003,1,12,486.362
2003,1,13,470.093
2003,1,14,454.099
2003,1,15,437.921
2003,1,16,423.019
2003,1,17,409.080
2003,1,18,396.019
2003,1,19,384.049
2003,1,20,374.089
2003,1,21,367.702
2003,1,22,369.222
2003,1,23,373.617
2003,1,24,377.397
2003,1,25,378.772
2003,1,26,377.492
2003,1,27,374.584
2003,1,28,371.314
2003,1,29,368.113
2003,1,30,366.309
2003,1,31,365.882
2003,2,1,364.618
2003,2,2,361.566
2003,2,3,359.960
2003,2,4,378.787
2003,2,5,412.591
2003,2,6,430.598
2003,2,7,434.958
2003,2,8,432.190
2003,2,9,426.468
2003,2,10,419.301
2003,2,11,411.299
2003,2,12,402.308
2003,2,13,392.646
2003,2,14,382.432
2003,2,15,371.767
2003,2,16,360.807
2003,2,17,349.799
2003,2,18,338.870
2003,2,19,328.053
2003,2,20,318.195
2003,2,21,309.612
2003,2,22,301.938
2003,2,23,294.769
2003,2,24,287.982
2003,2,25,281.374
2003,2,26,274.811
2003,2,27,268.632
2003,2,28,263.384
2003,3,1,259.165
2003,3,2,256.932
2003,3,3,257.781
2003,3,4,260.463
2003,3,5,262.896
2003,3,6,265.148
2003,3,7,268.506
2003,3,8,270.465
2003,3,9,270.415
2003,3,10,268.786
2003,3,11,265.811
2003,3,12,261.754
2003,3,13,257.734
2003,3,14,253.890
2003,3,15,249.874
2003,3,16,246.146
2003,3,17,242.404
2003,3,18,238.136
2003,3,19,234.129
2003,3,20,230.322
2003,3,21,227.230
2003,3,22,225.384
2003,3,23,224.879
2003,3,24,225.815
2003,3,25,229.035
2003,3,26,232.294
2003,3,27,234.098
2003,3,28,233.717
2003,3,29,231.627
2003,3,30,227.254
2003,3,31,221.777
2003,4,1,216.888
2003,4,2,213.022
2003,4,3,209.645
2003,4,4,206.026
2003,4,5,201.865
2003,4,6,196.947
2003,4,7,191.674
2003,4,8,186.085
2003,4,9,180.247
2003,4,10,174.841
2003,4,11,171.020
2003,4,12,169.136
2003,4,13,169.922
2003,4,14,170.907
2003,4,15,171.332
2003,4,16,170.147
2003,4,17,167.685
2003,4,18,164.103
2003,4,19,159.736
2003,4,20,155.653
2003,4,21,152.975
2003,4,22,150.593
2003,4,23,147.942
2003,4,24,144.924
2003,4,25,141.493
2003,4,26,137.745
2003,4,27,134.161
2003,4,28,130.743
2003,4,29,127.343
2003,4,30,124.170
2003,5,1,122.166
2003,5,2,120.970
2003,5,3,119.721
2003,5,4,118.257
2003,5,5,116.287
2003,5,6,114.134
2003,5,7,112.284
2003,5,8,110.822
2003,5,9,109.043
2003,5,10,107.178
2003,5,11,105.206
2003,5,12,103.272
2003,5,13,101.648
2003,5,14,99.9870
2003,5,15,98.1639
2003,5,16,96.1997
2003,5,17,94.1523
2003,5,18,92.2340
2003,5,19,90.2755
2003,5,20,88.6121
2003,5,21,87.4172
2003,5,22,86.3822
2003,5,23,85.3046
2003,5,24,84.0717
2003,5,25,82.8972
2003,5,26,81.9914
2003,5,27,81.4131
2003,5,28,80.9265
2003,5,29,80.4062
2003,5,30,79.5863
2003,5,31,78.5853
2003,6,1,77.5898
2003,6,2,76.6569
2003,6,3,75.6842
2003,6,4,74.6972
2003,6,5,73.9632
2003,6,6,73.4415
2003,6,7,72.9190
2003,6,8,72.3077
2003,6,9,71.7261
2003,6,10,71.0080
2003,6,11,70.2637
2003,6,12,69.2132
2003,6,13,68.1356
2003,6,14,66.9763
2003,6,15,65.8583
2003,6,16,64.6813
2003,6,17,63.5535
2003,6,18,62.5958
2003,6,19,61.6581
2003,6,20,60.6662
2003,6,21,59.4745
2003,6,22,58.0023
2003,6,23,56.6219
2003,6,24,55.2017
2003,6,25,53.8931
2003,6,26,52.6356
2003,6,27,51.3996
2003,6,28,50.2434
2003,6,29,49.0320
2003,6,30,47.9409
2003,7,1,46.9362
2003,7,2,46.0199
2003,7,3,45.1727
2003,7,4,44.4033
2003,7,5,43.6640
2003,7,6,42.9680
2003,7,7,42.3804
2003,7,8,41.9013
2003,7,9,41.4917
2003,7,10,41.1137
2003,7,11,40.8900
2003,7,12,40.7801
2003,7,13,40.5176
2003,7,14,40.5711
2003,7,15,40.8064
2003,7,16,40.9294
2003,7,17,41.6179
2003,7,18,42.6077
2003,7,19,42.9836
2003,7,20,43.6766
2003,7,21,44.8590
2003,7,22,45.4159
2003,7,23,46.6315
2003,7,24,48.2193
2003,7,25,48.9021
2003,7,26,49.2885
2003,7,27,49.5243
2003,7,28,52.6009
2003,7,29,56.6476
2003,7,30,57.8664
2003,7,31,59.5628
2003,8,1,61.9215
2003,8,2,62.1972
2003,8,3,61.0875
2003,8,4,59.2656
2003,8,5,56.9624
2003,8,6,54.4793
2003,8,7,52.0062
2003,8,8,49.8415
2003,8,9,47.9435
2003,8,10,46.3135
2003,8,11,44.8801
2003,8,12,43.4398
2003,8,13,41.9476
2003,8,14,40.3939
2003,8,15,38.9139
2003,8,16,37.4286
2003,8,17,36.0914
2003,8,18,34.8310
2003,8,19,33.6395
2003,8,20,32.4687
2003,8,21,31.3935
2003,8,22,30.3419
2003,8,23,29.3398
2003,8,24,28.4121
2003,8,25,27.5129
2003,8,26,26.6741
2003,8,27,25.9456
2003,8,28,25.2560
2003,8,29,24.6236
2003,8,30,24.0516
2003,8,31,23.5424
2003,9,1,23.0785
2003,9,2,22.6630
2003,9,3,22.2616
2003,9,4,21.8564
2003,9,5,21.5070
2003,9,6,21.2023
2003,9,7,20.9293
2003,9,8,20.7748
2003,9,9,20.7545
2003,9,10,21.0507
2003,9,11,21.3888
2003,9,12,21.6657
2003,9,13,21.9076
2003,9,14,22.0468
2003,9,15,22.1458
2003,9,16,22.1021
2003,9,17,21.9564
2003,9,18,21.8116
2003,9,19,21.6083
2003,9,20,21.3306
2003,9,21,21.0741
2003,9,22,20.8183
2003,9,23,20.5672
2003,9,24,20.3445
2003,9,25,20.1430
2003,9,26,19.9198
2003,9,27,19.7638
2003,9,28,19.6048
2003,9,29,19.5581
2003,9,30,19.5533
2003,10,1,19.6492
2003,10,2,20.0368
2003,10,3,20.6096
2003,10,4,21.4800
2003,10,5,22.5291
2003,10,6,23.7222
2003,10,7,24.7985
2003,10,8,25.9987
2003,10,9,27.4663
2003,10,10,28.9940
2003,10,11,30.3348
2003,10,12,31.5062
2003,10,13,32.7555
2003,10,14,34.2079
2003,10,15,35.7591
2003,10,16,37.0548
2003,10,17,38.1495
2003,10,18,39.1281
2003,10,19,39.9797
2003,10,20,41.1768
2003,10,21,44.2471
2003,10,22,48.2272
2003,10,23,51.5033
2003,10,24,54.2782
2003,10,25,56.5688
2003,10,26,58.3241
2003,10,27,59.9030
2003,10,28,61.6251
2003,10,29,63.5219
2003,10,30,66.3711
2003,10,31,72.2172
2003,11,1,84.6447
2003,11,2,98.2957
2003,11,3,108.198
2003,11,4,115.199
2003,11,5,120.286
2003,11,6,123.987
2003,11,7,126.491
2003,11,8,127.893
2003,11,9,128.666
2003,11,10,129.398
2003,11,11,130.195
2003,11,12,130.927
2003,11,13,131.824
2003,11,14,133.663
2003,11,15,135.193
2003,11,16,136.263
2003,11,17,139.992
2003,11,18,147.056
2003,11,19,152.510
2003,11,20,155.862
2003,11,21,157.637
2003,11,22,158.388
2003,11,23,158.781
2003,11,24,160.400
2003,11,25,165.149
2003,11,26,169.183
2003,11,27,173.706
2003,11,28,183.938
2003,11,29,193.397
2003,11,30,201.128
2003,12,1,217.592
2003,12,2,284.487
2003,12,3,377.146
2003,12,4,461.104
2003,12,5,486.048
2003,12,6,479.997
2003,12,7,463.439
2003,12,8,443.334
2003,12,9,422.658
2003,12,10,402.346
2003,12,11,383.193
2003,12,12,365.831
2003,12,13,350.977
2003,12,14,338.097
2003,12,15,326.974
2003,12,16,316.925
2003,12,17,307.130
2003,12,18,297.909
2003,12,19,289.768
2003,12,20,283.034
2003,12,21,277.048
2003,12,22,273.649
2003,12,23,271.964
2003,12,24,269.580
2003,12,25,266.644
2003,12,26,263.099
2003,12,27,259.714
2003,12,28,257.723
2003,12,29,258.820
2003,12,30,261.720
2003,12,31,264.651
2004,1,1,265.804
2004,1,2,266.816
2004,1,3,269.081
2004,1,4,268.793
2004,1,5,266.276
2004,1,6,262.383
2004,1,7,257.671
2004,1,8,252.630
2004,1,9,248.706
2004,1,10,250.314
2004,1,11,257.854
2004,1,12,271.128
2004,1,13,302.704
2004,1,14,366.830
2004,1,15,417.103
2004,1,16,441.645
2004,1,17,462.990
2004,1,18,504.378
2004,1,19,531.410
2004,1,20,536.319
2004,1,21,537.772
2004,1,22,533.568
2004,1,23,524.972
2004,1,24,519.298
2004,1,25,517.660
2004,1,26,513.398
2004,1,27,514.599
2004,1,28,514.878
2004,1,29,509.261
2004,1,30,499.679
2004,1,31,487.194
2004,2,1,475.042
2004,2,2,465.372
2004,2,3,456.496
2004,2,4,446.452
2004,2,5,434.494
2004,2,6,421.296
2004,2,7,408.199
2004,2,8,395.881
2004,2,9,383.960
2004,2,10,371.768
2004,2,11,359.278
2004,2,12,347.012
2004,2,13,335.449
2004,2,14,324.552
2004,2,15,314.148
2004,2,16,304.289
2004,2,17,294.692
2004,2,18,285.496
2004,2,19,276.733
2004,2,20,268.471
2004,2,21,261.095
2004,2,22,256.834
2004,2,23,259.103
2004,2,24,265.625
2004,2,25,269.264
2004,2,26,270.324
2004,2,27,269.696
2004,2,28,267.881
2004,2,29,265.234
2004,3,1,261.956
2004,3,2,258.292
2004,3,3,254.128
2004,3,4,249.580
2004,3,5,245.870
2004,3,6,243.927
2004,3,7,243.700
2004,3,8,243.781
2004,3,9,243.194
2004,3,10,241.717
2004,3,11,239.550
2004,3,12,236.896
2004,3,13,235.503
2004,3,14,238.617
2004,3,15,243.621
2004,3,16,247.761
2004,3,17,250.058
2004,3,18,251.390
2004,3,19,253.570
2004,3,20,257.991
2004,3,21,266.268
2004,3,22,277.451
2004,3,23,284.558
2004,3,24,285.219
2004,3,25,282.857
2004,3,26,279.327
2004,3,27,275.798
2004,3,28,272.301
2004,3,29,271.026
2004,3,30,272.399
2004,3,31,271.497
2004,4,1,274.636
2004,4,2,287.563
2004,4,3,309.786
2004,4,4,323.731
2004,4,5,330.566
2004,4,6,335.571
2004,4,7,334.355
2004,4,8,328.997
2004,4,9,321.702
2004,4,10,313.195
2004,4,11,303.632
2004,4,12,293.934
2004,4,13,285.433
2004,4,14,278.819
2004,4,15,273.181
2004,4,16,269.736
2004,4,17,269.419
2004,4,18,273.086
2004,4,19,281.704
2004,4,20,287.844
2004,4,21,295.142
2004,4,22,311.694
2004,4,23,334.701
2004,4,24,346.576
2004,4,25,347.503
2004,4,26,339.098
2004,4,27,325.689
2004,4,28,310.862
2004,4,29,298.787
2004,4,30,295.959
2004,5,1,301.480
2004,5,2,302.772
2004,5,3,300.132
2004,5,4,297.074
2004,5,5,296.273
2004,5,6,299.895
2004,5,7,302.195
2004,5,8,302.164
2004,5,9,300.677
2004,5,10,297.187
2004,5,11,293.013
2004,5,12,288.670
2004,5,13,285.085
2004,5,14,282.533
2004,5,15,280.250
2004,5,16,276.886
2004,5,17,275.571
2004,5,18,274.810
2004,5,19,269.478
2004,5,20,265.812
2004,5,21,263.258
2004,5,22,257.508
2004,5,23,252.926
2004,5,24,252.202
2004,5,25,248.694
2004,5,26,241.775
2004,5,27,234.131
2004,5,28,229.751
2004,5,29,225.917
2004,5,30,221.046
2004,5,31,218.251
2004,6,1,215.946
2004,6,2,212.512
2004,6,3,209.906
2004,6,4,210.215
2004,6,5,208.692
2004,6,6,206.732
2004,6,7,206.498
2004,6,8,205.258
2004,6,9,202.452
2004,6,10,201.594
2004,6,11,198.781
2004,6,12,194.965
2004,6,13,191.107
2004,6,14,185.556
2004,6,15,180.264
2004,6,16,176.413
2004,6,17,171.510
2004,6,18,167.370
2004,6,19,164.139
2004,6,20,159.592
2004,6,21,155.294
2004,6,22,151.812
2004,6,23,152.003
2004,6,24,154.178
2004,6,25,151.909
2004,6,26,149.080
2004,6,27,146.912
2004,6,28,143.145
2004,6,29,141.501
2004,6,30,139.483
2004,7,1,135.400
2004,7,2,132.158
2004,7,3,129.468
2004,7,4,125.683
2004,7,5,120.547
2004,7,6,116.714
2004,7,7,114.592
2004,7,8,112.356
2004,7,9,121.647
2004,7,10,131.706
2004,7,11,131.246
2004,7,12,128.816
2004,7,13,125.862
2004,7,14,121.848
2004,7,15,118.564
2004,7,16,116.327
2004,7,17,113.309
2004,7,18,112.005
2004,7,19,112.184
2004,7,20,110.988
2004,7,21,114.665
2004,7,22,117.581
2004,7,23,115.538
2004,7,24,114.622
2004,7,25,116.709
2004,7,26,114.996
2004,7,27,113.425
2004,7,28,111.940
2004,7,29,108.855
2004,7,30,106.734
2004,7,31,105.234
2004,8,1,102.432
2004,8,2,99.6720
2004,8,3,96.9411
2004,8,4,95.0604
2004,8,5,94.1315
2004,8,6,97.2296
2004,8,7,100.199
2004,8,8,104.689
2004,8,9,105.849
2004,8,10,104.306
2004,8,11,105.075
2004,8,12,106.308
2004,8,13,105.590
2004,8,14,104.434
2004,8,15,102.346
2004,8,16,99.0070
2004,8,17,97.0179
2004,8,18,97.4832
2004,8,19,97.6123
2004,8,20,99.0753
2004,8,21,101.824
2004,8,22,102.417
2004,8,23,102.719
2004,8,24,104.629
2004,8,25,109.114
2004,8,26,110.986
2004,8,27,111.161
2004,8,28,109.740
2004,8,29,107.137
2004,8,30,104.155
2004,8,31,100.925
2004,9,1,97.7995
2004,9,2,94.6247
2004,9,3,91.8577
2004,9,4,89.0545
2004,9,5,86.5904
2004,9,6,84.2424
2004,9,7,82.0564
2004,9,8,79.9631
2004,9,9,77.9554
2004,9,10,76.1047
2004,9,11,74.4354
2004,9,12,72.9933
2004,9,13,71.7942
2004,9,14,70.9820
2004,9,15,70.5715
2004,9,16,70.4940
2004,9,17,70.3926
2004,9,18,70.0686
2004,9,19,69.5909
2004,9,20,68.9853
2004,9,21,68.3343
2004,9,22,67.6820
2004,9,23,67.0179
2004,9,24,66.4509
2004,9,25,65.9091
2004,9,26,65.5156
2004,9,27,65.1606
2004,9,28,64.8596
2004,9,29,64.4964
