Year,Month,Day,Inflow [GWh]
2003,1,1,14.4127
2003,1,2,14.9823
2003,1,3,15.6550
2003,1,4,16.1164
2003,1,5,16.2602
2003,1,6,16.2043
2003,1,7,16.0419
2003,1,8,15.8084
2003,1,9,15.5226
2003,1,10,15.2047
2003,1,11,14.8670
2003,1,12,14.5179
2003,1,13,14.2660
2003,1,14,14.2527
2003,1,15,14.3260
2003,1,16,14.3835
2003,1,17,14.4152
2003,1,18,14.5370
2003,1,19,14.7196
2003,1,20,14.9812
2003,1,21,15.3401
2003,1,22,15.6745
2003,1,23,15.8744
2003,1,24,15.9291
2003,1,25,16.0182
2003,1,26,16.2986
2003,1,27,16.5754
2003,1,28,16.8292
2003,1,29,16.9708
2003,1,30,16.9096
2003,1,31,16.7080
2003,2,1,16.4460
2003,2,2,16.2274
2003,2,3,16.0701
2003,2,4,15.8968
2003,2,5,15.6683
2003,2,6,15.4076
2003,2,7,15.3593
2003,2,8,15.7344
2003,2,9,16.3771
2003,2,10,16.7986
2003,2,11,17.0167
2003,2,12,17.1732
2003,2,13,17.1513
2003,2,14,16.9857
2003,2,15,16.7191
2003,2,16,16.3771
2003,2,17,15.9794
2003,2,18,15.5458
2003,2,19,15.0861
2003,2,20,14.6181
2003,2,21,14.1545
2003,2,22,13.6964
2003,2,23,13.2610
2003,2,24,12.8485
2003,2,25,12.4552
2003,2,26,12.0740
2003,2,27,11.7083
2003,2,28,11.3651
2003,3,1,11.0776
2003,3,2,10.8878
2003,3,3,10.7586
2003,3,4,10.6461
2003,3,5,10.5909
2003,3,6,10.5893
2003,3,7,10.5817
2003,3,8,10.6013
2003,3,9,10.7259
2003,3,10,10.9750
2003,3,11,11.2357
2003,3,12,11.4831
2003,3,13,11.5841
2003,3,14,11.5523
2003,3,15,11.4353
2003,3,16,11.2600
2003,3,17,11.0420
2003,3,18,10.7860
2003,3,19,10.5037
2003,3,20,10.2021
2003,3,21,9.90116
2003,3,22,9.60110
2003,3,23,9.29591
2003,3,24,8.97371
2003,3,25,8.65537
2003,3,26,8.34652
2003,3,27,8.04427
2003,3,28,7.75149
2003,3,29,7.47319
2003,3,30,7.20577
2003,3,31,6.94694
2003,4,1,6.71354
2003,4,2,6.51822
2003,4,3,6.36103
2003,4,4,6.22054
2003,4,5,6.08343
2003,4,6,5.95009
2003,4,7,5.81825
2003,4,8,5.68457
2003,4,9,5.55576
2003,4,10,5.43207
2003,4,11,5.31449
2003,4,12,5.20175
2003,4,13,5.09460
2003,4,14,4.98854
2003,4,15,4.87646
2003,4,16,4.74243
2003,4,17,4.58868
2003,4,18,4.41710
2003,4,19,4.24593
2003,4,20,4.08591
2003,4,21,3.94896
2003,4,22,3.82442
2003,4,23,3.70722
2003,4,24,3.60771
2003,4,25,3.53092
2003,4,26,3.46760
2003,4,27,3.41234
2003,4,28,3.37224
2003,4,29,3.35227
2003,4,30,3.35557
2003,5,1,3.39099
2003,5,2,3.46919
2003,5,3,3.60154
2003,5,4,3.78407
2003,5,5,3.98682
2003,5,6,4.19285
2003,5,7,4.37228
2003,5,8,4.54068
2003,5,9,4.73168
2003,5,10,4.90000
2003,5,11,5.04781
2003,5,12,5.19321
2003,5,13,5.35251
2003,5,14,5.48293
2003,5,15,5.56449
2003,5,16,5.60079
2003,5,17,5.66056
2003,5,18,5.80465
2003,5,19,6.04857
2003,5,20,6.35249
2003,5,21,6.63161
2003,5,22,6.85496
2003,5,23,7.03893
2003,5,24,7.22101
2003,5,25,7.38791
2003,5,26,7.51947
2003,5,27,7.58773
2003,5,28,7.59592
2003,5,29,7.55534
2003,5,30,7.48443
2003,5,31,7.38835
2003,6,1,7.26881
2003,6,2,7.12363
2003,6,3,6.97708
2003,6,4,6.83039
2003,6,5,6.69612
2003,6,6,6.57780
2003,6,7,6.45076
2003,6,8,6.34430
2003,6,9,6.26353
2003,6,10,6.22823
2003,6,11,6.22748
2003,6,12,6.24116
2003,6,13,6.25004
2003,6,14,6.25230
2003,6,15,6.22883
2003,6,16,6.18218
2003,6,17,6.13079
2003,6,18,6.08240
2003,6,19,6.02851
2003,6,20,5.96963
2003,6,21,5.90928
2003,6,22,5.85185
2003,6,23,5.81390
2003,6,24,5.76876
2003,6,25,5.71151
2003,6,26,5.64402
2003,6,27,5.57034
2003,6,28,5.51259
2003,6,29,5.47689
2003,6,30,5.44715
2003,7,1,5.43405
2003,7,2,5.43595
2003,7,3,5.43151
2003,7,4,5.42206
2003,7,5,5.40316
2003,7,6,5.39205
2003,7,7,5.37852
2003,7,8,5.35987
2003,7,9,5.34465
2003,7,10,5.32330
2003,7,11,5.28872
2003,7,12,5.24855
2003,7,13,5.19570
2003,7,14,5.12756
2003,7,15,5.03910
2003,7,16,4.92646
2003,7,17,4.82098
2003,7,18,4.72226
2003,7,19,4.63255
2003,7,20,4.55427
2003,7,21,4.50297
2003,7,22,4.48856
2003,7,23,4.50248
2003,7,24,4.52670
2003,7,25,4.56162
2003,7,26,4.62850
2003,7,27,4.68789
2003,7,28,4.72028
2003,7,29,4.75409
2003,7,30,4.81789
2003,7,31,4.90045
2003,8,1,4.97987
2003,8,2,5.03088
2003,8,3,5.05710
2003,8,4,5.05423
2003,8,5,5.02305
2003,8,6,4.96800
2003,8,7,4.89890
2003,8,8,4.81292
2003,8,9,4.71684
2003,8,10,4.61147
2003,8,11,4.51315
2003,8,12,4.42862
2003,8,13,4.35197
2003,8,14,4.27093
2003,8,15,4.19858
2003,8,16,4.13613
2003,8,17,4.07808
2003,8,18,4.02413
2003,8,19,3.97246
2003,8,20,3.92960
2003,8,21,3.89119
2003,8,22,3.86325
2003,8,23,3.83754
2003,8,24,3.80587
2003,8,25,3.77228
2003,8,26,3.74093
2003,8,27,3.71116
2003,8,28,3.68518
2003,8,29,3.65768
2003,8,30,3.62802
2003,8,31,3.60444
2003,9,1,3.58581
2003,9,2,3.56746
2003,9,3,3.55052
2003,9,4,3.52639
2003,9,5,3.49971
2003,9,6,3.47407
2003,9,7,3.44616
2003,9,8,3.42462
2003,9,9,3.40610
2003,9,10,3.39906
2003,9,11,3.39854
2003,9,12,3.40250
2003,9,13,3.40534
