Year,Month,Day,Inflow [GWh]
2003,1,1,32.2242
2003,1,2,33.0415
2003,1,3,33.4060
2003,1,4,33.6284
2003,1,5,33.8830
2003,1,6,34.9055
2003,1,7,37.7085
2003,1,8,43.9356
2003,1,9,51.1328
2003,1,10,62.6016
2003,1,11,63.7509
2003,1,12,61.1920
2003,1,13,57.4668
2003,1,14,53.5172
2003,1,15,49.7866
2003,1,16,46.5281
2003,1,17,43.8400
2003,1,18,41.6784
2003,1,19,40.0633
2003,1,20,38.6283
2003,1,21,37.2062
2003,1,22,40.1691
2003,1,23,38.6808
2003,1,24,41.0690
2003,1,25,42.6418
2003,1,26,43.3935
2003,1,27,43.4656
2003,1,28,43.1638
2003,1,29,43.2106
2003,1,30,43.9237
2003,1,31,44.3683
2003,2,1,44.5055
2003,2,2,44.1675
2003,2,3,43.4155
2003,2,4,43.3907
2003,2,5,49.8485
2003,2,6,54.1357
2003,2,7,54.5324
2003,2,8,53.6719
2003,2,9,52.1512
2003,2,10,50.2869
2003,2,11,48.1948
2003,2,12,46.0083
2003,2,13,43.8317
2003,2,14,41.7168
2003,2,15,39.6744
2003,2,16,37.7381
2003,2,17,35.9197
2003,2,18,34.2237
2003,2,19,32.6343
2003,2,20,31.1569
2003,2,21,29.7833
2003,2,22,28.5435
2003,2,23,27.4157
2003,2,24,26.4231
2003,2,25,25.5224
2003,2,26,24.7026
2003,2,27,24.0236
2003,2,28,23.5512
2003,3,1,23.4130
2003,3,2,23.7385
2003,3,3,24.8873
2003,3,4,27.2504
2003,3,5,29.5675
2003,3,6,31.0709
2003,3,7,31.7273
2003,3,8,31.7075
2003,3,9,31.2245
2003,3,10,30.4357
2003,3,11,29.5047
2003,3,12,28.3239
2003,3,13,27.0858
2003,3,14,25.9456
2003,3,15,24.8891
2003,3,16,23.9204
2003,3,17,23.0020
2003,3,18,22.1196
2003,3,19,21.2720
2003,3,20,20.4355
2003,3,21,19.6415
2003,3,22,18.8536
2003,3,23,18.0959
2003,3,24,17.3119
2003,3,25,16.4848
2003,3,26,15.6502
2003,3,27,14.8387
2003,3,28,14.0593
2003,3,29,13.3243
2003,3,30,12.6315
2003,3,31,11.9967
2003,4,1,11.4133
2003,4,2,10.8724
2003,4,3,10.3614
2003,4,4,9.92122
2003,4,5,9.52992
2003,4,6,9.15766
2003,4,7,8.84118
2003,4,8,8.54967
2003,4,9,8.26090
2003,4,10,8.00977
2003,4,11,7.79882
2003,4,12,7.66624
2003,4,13,7.55048
2003,4,14,7.45716
2003,4,15,7.35164
2003,4,16,7.26523
2003,4,17,7.15818
2003,4,18,7.02840
2003,4,19,6.88342
2003,4,20,6.73544
2003,4,21,6.58891
2003,4,22,6.44416
2003,4,23,6.29245
2003,4,24,6.14610
2003,4,25,6.00418
2003,4,26,5.83393
2003,4,27,5.68311
2003,4,28,5.54770
2003,4,29,5.41158
2003,4,30,5.27686
2003,5,1,5.15044
2003,5,2,5.00864
2003,5,3,4.86599
2003,5,4,4.71765
2003,5,5,4.56873
2003,5,6,4.41877
2003,5,7,4.28870
2003,5,8,4.14756
2003,5,9,4.01639
2003,5,10,3.89745
2003,5,11,3.79987
2003,5,12,3.71065
2003,5,13,3.62035
2003,5,14,3.52637
2003,5,15,3.44414
2003,5,16,3.36505
2003,5,17,3.28979
2003,5,18,3.20449
2003,5,19,3.13745
2003,5,20,3.06270
2003,5,21,3.00771
2003,5,22,2.96097
2003,5,23,2.90671
2003,5,24,2.85164
2003,5,25,2.80565
2003,5,26,2.76690
2003,5,27,2.71888
2003,5,28,2.68044
2003,5,29,2.63274
2003,5,30,2.59351
2003,5,31,2.54684
2003,6,1,2.50416
2003,6,2,2.46365
2003,6,3,2.42458
2003,6,4,2.37988
2003,6,5,2.32730
2003,6,6,2.27888
2003,6,7,2.23908
2003,6,8,2.18879
2003,6,9,2.15453
2003,6,10,2.11465
2003,6,11,2.07257
2003,6,12,2.03053
2003,6,13,1.99229
2003,6,14,1.95410
2003,6,15,1.91703
2003,6,16,1.88377
2003,6,17,1.83190
2003,6,18,1.80390
2003,6,19,1.77064
2003,6,20,1.74165
2003,6,21,1.70727
2003,6,22,1.67759
2003,6,23,1.62932
2003,6,24,1.58882
2003,6,25,1.55670
2003,6,26,1.51820
2003,6,27,1.48413
2003,6,28,1.44553
2003,6,29,1.42060
2003,6,30,1.39020
2003,7,1,1.36643
2003,7,2,1.34055
2003,7,3,1.31448
2003,7,4,1.29988
2003,7,5,1.27301
2003,7,6,1.24244
2003,7,7,1.22511
2003,7,8,1.21465
2003,7,9,1.18369
2003,7,10,1.16154
2003,7,11,1.13755
2003,7,12,1.11649
2003,7,13,1.09874
2003,7,14,1.07608
2003,7,15,1.04860
2003,7,16,1.03953
2003,7,17,1.00589
2003,7,18,0.989688
2003,7,19,0.969196
2003,7,20,0.958967
2003,7,21,0.927725
2003,7,22,0.907107
2003,7,23,0.886068
2003,7,24,0.876615
2003,7,25,0.853910
2003,7,26,0.844081
2003,7,27,0.823436
2003,7,28,0.806423
2003,7,29,0.796924
2003,7,30,0.790050
2003,7,31,0.774265
2003,8,1,0.766873
2003,8,2,0.752768
2003,8,3,0.732608
2003,8,4,0.722255
2003,8,5,0.714091
2003,8,6,0.704896
2003,8,7,0.690657
2003,8,8,0.677453
2003,8,9,0.668380
2003,8,10,0.658816
2003,8,11,0.647361
2003,8,12,0.636173
2003,8,13,0.624625
2003,8,14,0.610287
2003,8,15,0.601890
2003,8,16,0.593917
2003,8,17,0.580491
2003,8,18,0.580491
2003,8,19,0.565196
2003,8,20,0.558831
2003,8,21,0.547420
2003,8,22,0.537149
2003,8,23,0.534181
2003,8,24,0.524976
2003,8,25,0.521478
2003,8,26,0.509102
2003,8,27,0.507463
2003,8,28,0.491877
2003,8,29,0.494236
2003,8,30,0.491877
2003,8,31,0.476944
2003,9,1,0.470768
2003,9,2,0.468661
2003,9,3,0.468661
2003,9,4,0.462646
2003,9,5,0.456174
2003,9,6,0.451079
2003,9,7,0.441579
2003,9,8,0.439940
2003,9,9,0.439940
2003,9,10,0.437461
2003,9,11,0.435404
2003,9,12,0.433924
2003,9,13,0.440146
2003,9,14,0.430487
2003,9,15,0.431074
2003,9,16,0.431074
2003,9,17,0.423637
2003,9,18,0.423637
2003,9,19,0.423637
2003,9,20,0.421634
2003,9,21,0.418198
2003,9,22,0.413661
2003,9,23,0.413661
2003,9,24,0.413661
2003,9,25,0.413661
2003,9,26,0.415768
2003,9,27,0.412182
2003,9,28,0.406502
