Year,Month,Day,Inflow [GWh]
2003,1,1,0.600839
2003,1,2,0.619966
2003,1,3,0.974775
2003,1,4,0.658866
2003,1,5,0.676891
2003,1,6,0.697796
2003,1,7,0.718331
2003,1,8,0.777878
2003,1,9,0.761173
2003,1,10,0.781756
2003,1,11,0.801552
2003,1,12,0.819803
2003,1,13,0.835279
2003,1,14,0.849249
2003,1,15,0.904246
2003,1,16,0.873261
2003,1,17,0.884740
2003,1,18,0.896219
2003,1,19,0.906812
2003,1,20,0.917524
2003,1,21,0.926849
2003,1,22,1.11959
2003,1,23,0.945897
2003,1,24,0.964860
2003,1,25,0.992456
2003,1,26,1.02883
2003,1,27,1.06590
2003,1,28,1.11108
2003,1,29,1.17080
2003,1,30,1.24293
2003,1,31,1.31343
2003,2,1,1.37454
2003,2,2,1.42526
2003,2,3,1.46475
2003,2,4,1.49680
2003,2,5,1.77499
2003,2,6,1.59670
2003,2,7,1.64569
2003,2,8,1.68494
2003,2,9,1.71278
2003,2,10,1.73218
2003,2,11,1.74639
2003,2,12,1.75689
2003,2,13,1.76262
2003,2,14,1.76630
2003,2,15,1.76543
2003,2,16,1.76217
2003,2,17,1.75734
2003,2,18,1.74952
2003,2,19,1.74154
2003,2,20,1.73056
2003,2,21,1.72179
2003,2,22,1.71536
2003,2,23,1.71445
2003,2,24,1.71834
2003,2,25,1.72765
2003,2,26,1.73940
2003,2,27,1.75422
2003,2,28,1.77428
2003,3,1,1.80627
2003,3,2,1.87050
2003,3,3,1.98642
2003,3,4,2.14570
2003,3,5,2.33687
2003,3,6,2.54975
2003,3,7,2.75927
2003,3,8,2.97012
2003,3,9,3.20839
2003,3,10,3.49471
2003,3,11,3.83757
2003,3,12,4.13081
2003,3,13,4.34897
2003,3,14,4.47359
2003,3,15,4.52315
2003,3,16,4.52146
2003,3,17,4.48295
2003,3,18,4.39293
2003,3,19,4.27832
2003,3,20,4.14804
2003,3,21,4.01176
2003,3,22,3.86596
2003,3,23,3.70725
2003,3,24,3.53357
2003,3,25,3.33934
2003,3,26,3.13440
2003,3,27,2.93122
2003,3,28,2.73268
2003,3,29,2.54152
2003,3,30,2.36095
2003,3,31,2.19851
2003,4,1,2.05383
2003,4,2,1.91752
2003,4,3,1.79314
2003,4,4,1.68468
2003,4,5,1.59175
2003,4,6,1.50922
2003,4,7,1.43654
2003,4,8,1.37144
2003,4,9,1.31334
2003,4,10,1.25828
2003,4,11,1.20339
2003,4,12,1.15803
2003,4,13,1.11518
2003,4,14,1.07209
2003,4,15,1.03172
2003,4,16,0.990412
2003,4,17,0.952281
2003,4,18,0.914764
2003,4,19,0.879347
2003,4,20,0.844227
2003,4,21,0.809898
2003,4,22,0.775491
2003,4,23,0.741987
2003,4,24,0.712527
2003,4,25,0.684382
2003,4,26,0.657935
2003,4,27,0.634875
2003,4,28,0.612940
2003,4,29,0.591439
2003,4,30,0.571065
2003,5,1,0.550016
2003,5,2,0.531486
2003,5,3,0.512890
2003,5,4,0.495302
2003,5,5,0.478288
2003,5,6,0.461688
2003,5,7,0.445084
2003,5,8,0.429127
2003,5,9,0.413421
2003,5,10,0.399897
2003,5,11,0.386877
2003,5,12,0.375747
2003,5,13,0.364367
2003,5,14,0.353770
2003,5,15,0.344421
2003,5,16,0.337270
2003,5,17,0.330540
2003,5,18,0.321905
2003,5,19,0.315131
2003,5,20,0.308478
2003,5,21,0.303164
2003,5,22,0.298843
2003,5,23,0.294169
2003,5,24,0.289488
2003,5,25,0.283745
2003,5,26,0.279445
2003,5,27,0.274307
2003,5,28,0.269535
2003,5,29,0.265855
2003,5,30,0.258766
2003,5,31,0.254252
2003,6,1,0.248749
2003,6,2,0.244982
2003,6,3,0.241483
2003,6,4,0.236239
2003,6,5,0.231886
2003,6,6,0.227388
2003,6,7,0.222910
2003,6,8,0.218561
2003,6,9,0.213226
2003,6,10,0.209740
2003,6,11,0.205006
2003,6,12,0.200550
2003,6,13,0.195761
2003,6,14,0.189624
2003,6,15,0.186140
2003,6,16,0.182673
2003,6,17,0.178861
2003,6,18,0.174592
2003,6,19,0.172636
2003,6,20,0.169086
2003,6,21,0.166330
2003,6,22,0.162165
2003,6,23,0.159987
2003,6,24,0.156278
2003,6,25,0.152383
2003,6,26,0.149811
2003,6,27,0.146936
2003,6,28,0.143603
2003,6,29,0.140711
2003,6,30,0.138562
2003,7,1,0.135764
2003,7,2,0.132665
2003,7,3,0.129516
2003,7,4,0.128159
2003,7,5,0.125807
2003,7,6,0.124071
