Year,Month,Day,Inflow [GWh]
2003,1,1,3.24961
2003,1,2,3.41720
2003,1,3,3.51217
2003,1,4,3.53699
2003,1,5,3.51987
2003,1,6,3.47656
2003,1,7,3.41402
2003,1,8,3.33678
2003,1,9,3.25057
2003,1,10,3.15775
2003,1,11,3.06148
2003,1,12,2.96405
2003,1,13,2.86831
2003,1,14,2.77540
2003,1,15,2.68752
2003,1,16,2.60638
2003,1,17,2.53904
2003,1,18,2.50342
2003,1,19,2.49010
2003,1,20,2.49911
2003,1,21,2.54895
2003,1,22,2.59086
2003,1,23,2.60120
2003,1,24,2.59345
2003,1,25,2.57799
2003,1,26,2.56528
2003,1,27,2.54612
2003,1,28,2.52256
2003,1,29,2.49573
2003,1,30,2.46771
2003,1,31,2.43822
2003,2,1,2.40702
2003,2,2,2.37752
2003,2,3,2.35154
2003,2,4,2.32727
2003,2,5,2.30048
2003,2,6,2.26914
2003,2,7,2.23646
2003,2,8,2.20225
2003,2,9,2.17265
2003,2,10,2.14971
2003,2,11,2.13851
2003,2,12,2.13075
2003,2,13,2.11745
2003,2,14,2.09945
2003,2,15,2.07479
2003,2,16,2.04565
2003,2,17,2.01128
2003,2,18,1.97434
2003,2,19,1.93375
2003,2,20,1.89239
2003,2,21,1.85179
2003,2,22,1.80925
2003,2,23,1.76691
2003,2,24,1.72594
2003,2,25,1.68758
2003,2,26,1.65097
2003,2,27,1.61765
2003,2,28,1.59017
2003,3,1,1.60530
2003,3,2,1.64810
2003,3,3,1.68665
2003,3,4,1.73421
2003,3,5,1.78910
2003,3,6,1.83285
2003,3,7,1.86470
2003,3,8,1.92857
2003,3,9,2.07813
2003,3,10,2.22787
2003,3,11,2.34543
2003,3,12,2.42337
2003,3,13,2.45057
2003,3,14,2.44541
2003,3,15,2.42058
2003,3,16,2.38208
2003,3,17,2.33270
2003,3,18,2.27300
2003,3,19,2.20803
2003,3,20,2.14118
2003,3,21,2.07515
2003,3,22,2.01060
2003,3,23,1.94638
2003,3,24,1.88483
2003,3,25,1.82398
2003,3,26,1.76736
2003,3,27,1.71081
2003,3,28,1.65645
2003,3,29,1.60688
2003,3,30,1.55871
2003,3,31,1.51401
2003,4,1,1.47487
2003,4,2,1.43902
2003,4,3,1.40858
2003,4,4,1.38294
2003,4,5,1.35884
2003,4,6,1.33257
2003,4,7,1.30888
2003,4,8,1.28485
2003,4,9,1.25960
2003,4,10,1.23768
2003,4,11,1.21905
2003,4,12,1.20189
2003,4,13,1.18926
2003,4,14,1.17976
2003,4,15,1.17145
2003,4,16,1.15944
2003,4,17,1.14446
2003,4,18,1.12148
2003,4,19,1.09400
2003,4,20,1.06715
2003,4,21,1.04496
2003,4,22,1.02442
