Year,Month,Day,Inflow [GWh]
2003,1,1,164.778
2003,1,2,166.510
2003,1,3,166.441
2003,1,4,165.168
2003,1,5,163.368
2003,1,6,161.281
2003,1,7,160.934
2003,1,8,163.174
2003,1,9,168.110
2003,1,10,176.135
2003,1,11,180.631
2003,1,12,181.557
2003,1,13,179.785
2003,1,14,176.563
2003,1,15,172.540
2003,1,16,168.082
2003,1,17,163.412
2003,1,18,158.940
2003,1,19,155.412
2003,1,20,152.117
2003,1,21,148.686
2003,1,22,146.028
2003,1,23,144.617
2003,1,24,144.554
2003,1,25,149.581
2003,1,26,156.705
2003,1,27,160.042
2003,1,28,159.811
2003,1,29,157.609
2003,1,30,154.577
2003,1,31,151.283
2003,2,1,148.219
2003,2,2,145.851
2003,2,3,143.353
2003,2,4,140.664
2003,2,5,139.933
2003,2,6,140.081
2003,2,7,139.043
2003,2,8,137.029
2003,2,9,134.503
2003,2,10,132.008
2003,2,11,129.441
2003,2,12,126.849
2003,2,13,124.292
2003,2,14,121.818
2003,2,15,119.426
2003,2,16,117.029
2003,2,17,114.569
2003,2,18,112.115
2003,2,19,109.657
2003,2,20,107.194
2003,2,21,104.924
2003,2,22,102.846
2003,2,23,101.091
2003,2,24,99.5066
2003,2,25,98.0115
2003,2,26,96.3445
2003,2,27,94.5645
2003,2,28,92.6361
2003,3,1,90.8085
2003,3,2,89.4202
2003,3,3,88.7069
2003,3,4,88.9675
2003,3,5,89.9126
2003,3,6,90.9351
2003,3,7,92.1099
2003,3,8,93.7556
2003,3,9,95.3328
2003,3,10,96.9497
2003,3,11,98.8111
2003,3,12,100.435
2003,3,13,102.102
2003,3,14,103.842
2003,3,15,105.452
2003,3,16,107.179
2003,3,17,109.205
2003,3,18,111.221
2003,3,19,112.399
2003,3,20,112.529
2003,3,21,112.185
2003,3,22,111.789
2003,3,23,111.664
2003,3,24,111.898
2003,3,25,112.934
2003,3,26,114.939
2003,3,27,118.006
2003,3,28,121.328
2003,3,29,124.618
2003,3,30,127.120
2003,3,31,129.628
2003,4,1,132.800
2003,4,2,136.693
2003,4,3,138.984
2003,4,4,139.391
2003,4,5,138.898
2003,4,6,137.474
2003,4,7,135.412
2003,4,8,132.733
2003,4,9,129.406
2003,4,10,126.015
2003,4,11,122.809
2003,4,12,120.147
2003,4,13,118.112
2003,4,14,117.399
2003,4,15,118.744
2003,4,16,122.669
2003,4,17,130.273
2003,4,18,140.563
2003,4,19,150.586
2003,4,20,156.715
2003,4,21,160.958
2003,4,22,165.411
2003,4,23,170.513
2003,4,24,176.473
2003,4,25,184.789
2003,4,26,194.295
2003,4,27,203.239
2003,4,28,209.989
2003,4,29,216.537
2003,4,30,224.126
2003,5,1,232.666
2003,5,2,226.451
2003,5,3,217.702
2003,5,4,208.193
2003,5,5,195.013
2003,5,6,179.302
2003,5,7,163.099
2003,5,8,147.762
2003,5,9,134.187
2003,5,10,122.953
2003,5,11,114.444
2003,5,12,108.404
2003,5,13,103.720
2003,5,14,100.906
2003,5,15,99.4544
2003,5,16,97.7673
2003,5,17,95.5081
2003,5,18,92.7600
2003,5,19,89.6340
2003,5,20,86.5901
2003,5,21,84.6433
2003,5,22,83.0751
2003,5,23,81.2398
2003,5,24,79.0189
2003,5,25,76.4437
2003,5,26,73.8348
2003,5,27,71.4569
2003,5,28,69.4027
2003,5,29,67.7258
2003,5,30,66.6872
2003,5,31,66.5643
2003,6,1,66.9117
2003,6,2,67.0977
2003,6,3,67.9927
2003,6,4,69.5146
2003,6,5,70.4528
2003,6,6,70.5433
2003,6,7,70.2455
2003,6,8,73.5920
2003,6,9,78.9651
2003,6,10,82.6217
2003,6,11,83.6743
2003,6,12,83.2205
2003,6,13,81.9268
2003,6,14,80.6736
2003,6,15,80.1076
2003,6,16,79.5257
2003,6,17,78.3699
2003,6,18,78.1527
2003,6,19,81.0104
2003,6,20,82.4703
2003,6,21,81.6773
2003,6,22,79.6735
2003,6,23,76.9992
2003,6,24,74.1447
2003,6,25,71.6585
2003,6,26,69.4846
2003,6,27,67.6891
2003,6,28,66.5591
2003,6,29,66.9614
2003,6,30,68.0570
2003,7,1,68.1733
2003,7,2,69.1452
2003,7,3,70.9938
2003,7,4,75.5174
2003,7,5,82.7616
2003,7,6,85.6349
2003,7,7,85.6334
2003,7,8,84.8469
2003,7,9,84.0181
2003,7,10,83.1591
2003,7,11,81.4947
2003,7,12,79.7819
2003,7,13,78.6428
2003,7,14,85.5819
2003,7,15,92.3069
2003,7,16,90.9329
2003,7,17,87.4900
2003,7,18,84.4758
2003,7,19,81.6326
2003,7,20,78.4389
2003,7,21,75.1182
2003,7,22,71.8762
2003,7,23,69.1523
2003,7,24,67.7486
2003,7,25,68.5288
2003,7,26,69.4929
2003,7,27,68.9615
2003,7,28,67.8110
2003,7,29,67.4247
2003,7,30,67.7944
2003,7,31,67.3517
2003,8,1,67.3606
2003,8,2,67.1777
2003,8,3,66.5021
2003,8,4,65.9634
2003,8,5,65.6081
2003,8,6,65.4895
2003,8,7,65.5960
2003,8,8,84.7992
2003,8,9,96.4185
2003,8,10,97.2659
2003,8,11,93.8089
2003,8,12,90.2352
2003,8,13,89.9974
2003,8,14,90.3544
2003,8,15,88.8401
2003,8,16,86.3512
2003,8,17,83.2378
2003,8,18,79.2141
2003,8,19,75.0624
2003,8,20,71.1500
2003,8,21,67.7173
2003,8,22,65.4070
2003,8,23,63.8298
2003,8,24,62.5938
2003,8,25,61.9010
2003,8,26,61.6584
2003,8,27,61.4829
2003,8,28,60.9766
2003,8,29,60.7490
2003,8,30,61.7512
2003,8,31,66.3450
2003,9,1,75.6166
2003,9,2,79.8738
2003,9,3,80.8001
2003,9,4,80.6415
2003,9,5,79.4517
2003,9,6,77.5502
2003,9,7,75.1977
2003,9,8,72.7317
2003,9,9,70.4060
2003,9,10,68.6447
2003,9,11,67.2479
2003,9,12,65.7881
2003,9,13,64.1672
2003,9,14,62.4147
2003,9,15,60.5811
2003,9,16,58.6433
2003,9,17,56.6494
2003,9,18,54.6692
2003,9,19,52.7509
2003,9,20,50.8651
2003,9,21,49.0107
2003,9,22,47.2061
2003,9,23,45.4971
2003,9,24,44.0728
2003,9,25,43.1192
2003,9,26,42.3278
2003,9,27,41.5175
2003,9,28,40.6888
2003,9,29,39.8617
2003,9,30,39.0855
2003,10,1,38.3889
2003,10,2,37.7514
2003,10,3,37.1578
2003,10,4,36.6516
2003,10,5,37.2455
2003,10,6,40.9547
2003,10,7,44.5022
2003,10,8,46.7776
2003,10,9,48.1662
2003,10,10,48.9583
2003,10,11,49.6790
2003,10,12,50.2142
2003,10,13,50.4543
2003,10,14,50.4631
2003,10,15,50.4079
2003,10,16,50.1594
2003,10,17,49.8699
2003,10,18,49.6567
2003,10,19,49.6234
2003,10,20,49.7516
2003,10,21,49.7878
2003,10,22,49.8278
2003,10,23,50.6764
2003,10,24,52.1645
2003,10,25,53.4281
2003,10,26,54.2736
2003,10,27,54.8859
2003,10,28,55.7240
2003,10,29,56.2354
2003,10,30,56.6760
2003,10,31,57.1583
2003,11,1,60.7623
2003,11,2,73.2819
2003,11,3,82.8691
2003,11,4,88.1687
2003,11,5,90.6780
2003,11,6,91.5957
2003,11,7,91.6158
2003,11,8,91.3636
2003,11,9,93.6749
2003,11,10,97.1359
2003,11,11,98.7698
2003,11,12,99.0845
2003,11,13,98.6532
2003,11,14,97.7588
2003,11,15,96.5137
2003,11,16,95.0646
2003,11,17,93.5650
2003,11,18,92.2126
2003,11,19,90.9051
2003,11,20,89.4819
2003,11,21,87.9912
2003,11,22,86.4784
2003,11,23,85.0299
2003,11,24,83.7020
2003,11,25,82.6857
2003,11,26,82.0501
2003,11,27,82.5946
2003,11,28,87.8396
2003,11,29,98.3433
2003,11,30,106.088
2003,12,1,110.523
2003,12,2,113.594
2003,12,3,117.690
2003,12,4,122.583
2003,12,5,126.422
2003,12,6,128.450
2003,12,7,129.000
2003,12,8,128.751
2003,12,9,127.896
2003,12,10,127.260
2003,12,11,127.070
2003,12,12,127.027
2003,12,13,126.920
2003,12,14,126.385
2003,12,15,125.114
2003,12,16,123.558
2003,12,17,121.753
2003,12,18,119.699
2003,12,19,117.442
2003,12,20,115.126
2003,12,21,112.855
2003,12,22,110.862
2003,12,23,109.487
2003,12,24,108.806
2003,12,25,108.147
2003,12,26,107.077
2003,12,27,105.703
2003,12,28,109.450
2003,12,29,103.229
2003,12,30,103.770
2003,12,31,105.767
2004,1,1,108.151
2004,1,2,110.564
2004,1,3,112.062
2004,1,4,112.879
2004,1,5,112.885
2004,1,6,112.265
2004,1,7,111.306
2004,1,8,110.045
2004,1,9,108.604
2004,1,10,107.246
2004,1,11,105.838
2004,1,12,104.221
2004,1,13,102.472
2004,1,14,100.683
2004,1,15,98.8762
2004,1,16,97.1634
2004,1,17,95.4658
2004,1,18,93.8149
2004,1,19,92.6586
2004,1,20,92.3311
2004,1,21,92.3069
2004,1,22,92.3130
2004,1,23,91.9510
2004,1,24,91.1746
2004,1,25,90.2970
2004,1,26,89.1851
2004,1,27,88.1304
2004,1,28,87.5155
2004,1,29,87.4198
2004,1,30,87.3868
2004,1,31,87.2151
2004,2,1,86.7333
2004,2,2,86.1277
2004,2,3,85.5160
2004,2,4,84.9094
2004,2,5,84.1238
2004,2,6,83.2785
2004,2,7,82.5353
2004,2,8,81.9961
2004,2,9,81.4565
2004,2,10,80.8678
2004,2,11,80.2761
2004,2,12,79.7469
2004,2,13,79.1257
2004,2,14,78.3499
2004,2,15,77.3897
2004,2,16,76.4057
2004,2,17,75.3821
2004,2,18,74.2863
2004,2,19,73.3371
2004,2,20,73.4180
2004,2,21,74.4132
2004,2,22,75.7287
2004,2,23,77.6965
2004,2,24,81.2248
2004,2,25,84.8352
2004,2,26,87.3038
2004,2,27,89.7736
2004,2,28,92.2351
2004,2,29,94.6286
2004,3,1,96.4049
2004,3,2,97.5509
2004,3,3,98.0572
2004,3,4,97.8382
2004,3,5,97.0907
2004,3,6,96.3281
2004,3,7,96.4119
2004,3,8,100.317
2004,3,9,104.769
2004,3,10,108.028
2004,3,11,110.502
2004,3,12,114.544
2004,3,13,117.211
2004,3,14,118.056
2004,3,15,119.213
2004,3,16,121.423
2004,3,17,123.577
2004,3,18,125.229
2004,3,19,126.452
2004,3,20,128.066
2004,3,21,130.614
2004,3,22,134.577
2004,3,23,139.067
2004,3,24,142.640
2004,3,25,144.958
2004,3,26,146.285
2004,3,27,146.421
2004,3,28,145.401
2004,3,29,142.946
2004,3,30,140.383
2004,3,31,138.697
2004,4,1,137.795
2004,4,2,138.903
2004,4,3,143.369
2004,4,4,150.498
2004,4,5,158.778
2004,4,6,168.384
2004,4,7,174.440
2004,4,8,175.463
2004,4,9,174.088
2004,4,10,173.494
2004,4,11,174.180
2004,4,12,176.289
2004,4,13,182.130
2004,4,14,188.033
2004,4,15,192.527
2004,4,16,198.876
2004,4,17,211.438
2004,4,18,229.338
2004,4,19,246.807
2004,4,20,268.577
2004,4,21,289.253
2004,4,22,304.253
2004,4,23,314.055
2004,4,24,322.179
2004,4,25,324.511
2004,4,26,318.139
2004,4,27,314.732
2004,4,28,316.923
2004,4,29,322.081
2004,4,30,328.464
2004,5,1,336.714
2004,5,2,342.335
2004,5,3,344.510
2004,5,4,343.728
2004,5,5,352.133
2004,5,6,384.029
2004,5,7,410.609
2004,5,8,414.071
2004,5,9,408.064
2004,5,10,396.392
2004,5,11,382.262
2004,5,12,369.376
2004,5,13,360.000
2004,5,14,353.487
2004,5,15,343.499
2004,5,16,330.166
2004,5,17,311.876
2004,5,18,289.312
2004,5,19,266.728
2004,5,20,248.257
2004,5,21,233.536
2004,5,22,227.163
2004,5,23,227.196
2004,5,24,225.460
2004,5,25,221.090
2004,5,26,216.375
2004,5,27,211.142
2004,5,28,213.066
2004,5,29,225.091
2004,5,30,228.360
2004,5,31,228.699
2004,6,1,231.370
2004,6,2,243.758
2004,6,3,263.760
2004,6,4,282.575
2004,6,5,299.777
2004,6,6,314.079
2004,6,7,329.847
2004,6,8,335.948
2004,6,9,315.535
2004,6,10,285.943
2004,6,11,261.104
2004,6,12,242.511
2004,6,13,229.217
2004,6,14,217.342
2004,6,15,203.578
2004,6,16,189.239
2004,6,17,175.643
2004,6,18,163.404
2004,6,19,152.197
2004,6,20,144.907
2004,6,21,144.967
2004,6,22,145.796
2004,6,23,143.987
2004,6,24,142.425
2004,6,25,142.425
2004,6,26,147.265
2004,6,27,149.606
2004,6,28,150.278
2004,6,29,149.916
2004,6,30,152.086
2004,7,1,151.222
2004,7,2,153.454
2004,7,3,157.357
2004,7,4,155.038
2004,7,5,151.285
2004,7,6,147.845
2004,7,7,152.876
2004,7,8,158.236
2004,7,9,166.737
2004,7,10,178.020
2004,7,11,190.708
2004,7,12,198.868
2004,7,13,196.008
2004,7,14,187.213
2004,7,15,175.274
2004,7,16,163.877
2004,7,17,154.407
2004,7,18,148.121
2004,7,19,142.742
2004,7,20,136.992
2004,7,21,134.371
2004,7,22,132.003
2004,7,23,134.352
2004,7,24,145.214
2004,7,25,163.713
2004,7,26,165.079
2004,7,27,161.463
2004,7,28,157.601
2004,7,29,150.004
2004,7,30,140.927
2004,7,31,131.352
2004,8,1,122.242
2004,8,2,114.354
2004,8,3,108.602
2004,8,4,109.418
2004,8,5,111.341
2004,8,6,108.836
2004,8,7,105.395
2004,8,8,101.942
2004,8,9,98.4259
2004,8,10,94.8306
2004,8,11,91.1272
2004,8,12,87.5922
2004,8,13,84.4466
2004,8,14,82.1372
2004,8,15,80.3545
2004,8,16,78.3247
2004,8,17,76.0495
2004,8,18,73.6321
2004,8,19,71.0902
2004,8,20,68.5423
2004,8,21,67.5743
2004,8,22,69.7795
2004,8,23,70.9134
2004,8,24,70.6023
2004,8,25,69.5382
2004,8,26,70.8809
2004,8,27,75.7313
2004,8,28,77.4916
