Year,Month,Day,Inflow [GWh]
2003,1,1,5.44541
2003,1,2,5.50203
2003,1,3,5.56579
2003,1,4,5.62575
2003,1,5,5.73514
2003,1,6,5.98972
2003,1,7,6.28076
2003,1,8,6.57766
2003,1,9,6.88645
2003,1,10,7.32794
2003,1,11,8.04823
2003,1,12,8.62749
2003,1,13,9.01546
2003,1,14,9.22179
2003,1,15,9.29196
2003,1,16,9.32601
2003,1,17,9.37670
2003,1,18,9.42026
2003,1,19,9.45985
2003,1,20,9.48722
2003,1,21,9.48955
2003,1,22,9.49444
2003,1,23,9.52753
2003,1,24,9.54634
2003,1,25,9.54074
2003,1,26,9.51105
2003,1,27,9.44993
2003,1,28,9.37235
2003,1,29,9.26813
2003,1,30,9.17580
2003,1,31,9.19254
2003,2,1,9.28582
2003,2,2,9.37278
2003,2,3,9.40745
2003,2,4,9.38885
2003,2,5,9.54074
2003,2,6,10.2257
2003,2,7,10.7922
2003,2,8,11.0556
2003,2,9,11.1111
2003,2,10,11.0524
2003,2,11,10.9381
2003,2,12,10.7797
2003,2,13,10.5810
2003,2,14,10.3566
2003,2,15,10.1107
2003,2,16,9.84487
2003,2,17,9.57119
2003,2,18,9.29923
2003,2,19,9.02850
2003,2,20,8.76067
2003,2,21,8.50202
2003,2,22,8.25888
2003,2,23,8.03193
2003,2,24,7.82494
2003,2,25,7.63063
2003,2,26,7.44172
2003,2,27,7.25152
2003,2,28,7.06116
2003,3,1,6.87461
2003,3,2,6.68851
2003,3,3,6.51494
2003,3,4,6.34897
2003,3,5,6.20344
2003,3,6,6.06915
2003,3,7,5.93866
2003,3,8,5.82783
2003,3,9,5.71208
2003,3,10,5.60743
2003,3,11,5.51735
2003,3,12,5.42902
2003,3,13,5.34448
2003,3,14,5.26881
2003,3,15,5.20250
2003,3,16,5.15615
2003,3,17,5.11363
2003,3,18,5.06731
2003,3,19,5.02479
2003,3,20,4.97846
2003,3,21,4.94416
2003,3,22,4.91684
2003,3,23,4.89300
2003,3,24,4.86189
2003,3,25,4.81254
2003,3,26,4.73433
2003,3,27,4.63787
2003,3,28,4.52684
2003,3,29,4.40661
2003,3,30,4.27749
2003,3,31,4.14994
2003,4,1,4.03129
2003,4,2,3.91992
2003,4,3,3.81235
2003,4,4,3.70160
2003,4,5,3.62290
2003,4,6,3.54594
2003,4,7,3.47613
2003,4,8,3.40139
2003,4,9,3.34746
2003,4,10,3.29065
2003,4,11,3.23415
