Year,Month,Day,Inflow [GWh]
2003,1,1,0.760489
2003,1,2,1.35039
2003,1,3,0.761936
2003,1,4,0.751785
2003,1,5,0.748767
2003,1,6,0.745473
2003,1,7,0.742342
2003,1,8,0.739151
2003,1,9,0.735892
2003,1,10,0.737804
2003,1,11,0.751881
2003,1,12,1.61244
2003,1,13,1.12323
2003,1,14,1.72621
2003,1,15,0.749648
2003,1,16,0.731403
2003,1,17,0.765940
2003,1,18,0.812726
2003,1,19,0.858449
2003,1,20,0.900412
2003,1,21,0.936784
2003,1,22,0.965167
2003,1,23,0.989074
2003,1,24,1.00866
2003,1,25,1.02536
2003,1,26,1.03906
2003,1,27,1.05052
2003,1,28,1.06459
2003,1,29,1.08992
2003,1,30,1.12364
2003,1,31,1.15515
2003,2,1,1.18062
2003,2,2,1.20061
2003,2,3,1.21533
2003,2,4,1.22533
2003,2,5,1.39249
2003,2,6,2.07945
2003,2,7,1.54706
2003,2,8,1.23713
2003,2,9,1.23446
2003,2,10,1.23306
2003,2,11,1.23120
2003,2,12,1.22807
2003,2,13,1.22429
2003,2,14,1.21964
2003,2,15,1.21520
2003,2,16,1.20916
2003,2,17,1.20363
2003,2,18,1.19681
2003,2,19,1.18982
2003,2,20,1.18184
2003,2,21,1.17547
2003,2,22,1.16966
2003,2,23,1.16513
2003,2,24,1.16078
2003,2,25,1.15725
2003,2,26,1.15377
2003,2,27,1.15003
2003,2,28,1.14580
2003,3,1,1.14157
2003,3,2,1.13609
2003,3,3,1.13096
2003,3,4,1.12509
2003,3,5,1.11864
2003,3,6,1.11151
2003,3,7,1.10436
2003,3,8,1.09700
2003,3,9,1.09012
2003,3,10,1.08610
2003,3,11,1.09052
2003,3,12,1.11655
2003,3,13,1.16921
2003,3,14,1.22627
2003,3,15,1.27696
2003,3,16,1.31981
2003,3,17,1.35644
2003,3,18,1.38553
2003,3,19,1.41116
2003,3,20,1.43228
2003,3,21,1.44883
2003,3,22,1.45957
2003,3,23,1.46364
2003,3,24,1.46377
2003,3,25,1.46252
2003,3,26,1.45932
2003,3,27,1.45211
2003,3,28,1.43744
2003,3,29,1.41484
2003,3,30,1.38430
2003,3,31,1.35485
2003,4,1,1.32649
2003,4,2,1.30161
2003,4,3,1.27717
2003,4,4,1.25354
2003,4,5,1.23560
2003,4,6,1.21969
2003,4,7,1.20685
2003,4,8,1.19476
2003,4,9,1.18211
2003,4,10,1.17124
2003,4,11,1.16633
2003,4,12,1.17942
2003,4,13,1.21429
2003,4,14,1.24998
2003,4,15,1.27793
2003,4,16,1.29022
2003,4,17,1.28847
2003,4,18,1.28202
2003,4,19,1.26931
2003,4,20,1.24810
2003,4,21,1.21877
2003,4,22,1.18470
2003,4,23,1.14791
2003,4,24,1.10915
2003,4,25,1.07052
2003,4,26,1.03412
2003,4,27,0.997729
2003,4,28,0.965229
2003,4,29,0.935177
2003,4,30,0.907022
2003,5,1,0.880766
2003,5,2,0.857375
2003,5,3,0.834226
2003,5,4,0.814900
2003,5,5,0.798223
2003,5,6,0.780549
2003,5,7,0.758630
2003,5,8,0.739049
2003,5,9,0.719312
2003,5,10,0.697726
2003,5,11,0.678350
2003,5,12,0.660692
2003,5,13,0.644489
2003,5,14,0.627742
2003,5,15,0.612889
2003,5,16,0.602185
2003,5,17,0.596114
2003,5,18,0.590920
2003,5,19,0.591649
2003,5,20,0.592409
2003,5,21,0.598357
2003,5,22,0.607086
2003,5,23,0.614095
2003,5,24,0.621605
2003,5,25,0.623998
2003,5,26,0.622442
2003,5,27,0.617459
2003,5,28,0.611054
2003,5,29,0.604231
2003,5,30,0.595800
2003,5,31,0.585604
2003,6,1,0.574989
2003,6,2,0.564619
2003,6,3,0.554483
2003,6,4,0.544204
2003,6,5,0.531214
2003,6,6,0.517626
2003,6,7,0.506627
2003,6,8,0.496463
2003,6,9,0.485926
2003,6,10,0.476026
2003,6,11,0.465454
2003,6,12,0.455588
2003,6,13,0.446897
2003,6,14,0.437720
2003,6,15,0.430232
2003,6,16,0.421461
2003,6,17,0.414254
2003,6,18,0.406671
2003,6,19,0.399543
2003,6,20,0.393401
2003,6,21,0.388271
2003,6,22,0.383606
2003,6,23,0.378933
2003,6,24,0.376709
2003,6,25,0.375490
2003,6,26,0.376099
2003,6,27,0.376708
2003,6,28,0.377144
2003,6,29,0.377787
2003,6,30,0.376213
2003,7,1,0.375410
2003,7,2,0.375089
2003,7,3,0.376135
2003,7,4,0.380175
2003,7,5,0.382622
2003,7,6,0.387859
2003,7,7,0.390223
2003,7,8,0.394905
2003,7,9,0.397927
2003,7,10,0.403995
2003,7,11,0.410817
2003,7,12,0.416570
2003,7,13,0.421657
2003,7,14,0.426967
2003,7,15,0.431547
2003,7,16,0.433900
2003,7,17,0.435425
2003,7,18,0.434719
2003,7,19,0.432764
2003,7,20,0.430854
2003,7,21,0.428247
2003,7,22,0.424489
2003,7,23,0.421563
2003,7,24,0.419291
2003,7,25,0.416451
2003,7,26,0.414503
2003,7,27,0.412750
2003,7,28,0.410937
2003,7,29,0.408033
2003,7,30,0.403565
2003,7,31,0.400157
2003,8,1,0.396345
2003,8,2,0.391944
2003,8,3,0.386824
2003,8,4,0.381335
2003,8,5,0.375653
2003,8,6,0.369991
2003,8,7,0.364463
2003,8,8,0.358674
2003,8,9,0.352657
2003,8,10,0.348036
2003,8,11,0.342170
2003,8,12,0.337594
