Year,Month,Day,Inflow [GWh]
2003,1,1,4.49230
2003,1,2,4.32710
2003,1,3,4.28428
2003,1,4,4.25685
2003,1,5,4.23037
2003,1,6,4.20446
2003,1,7,4.17853
2003,1,8,4.15410
2003,1,9,4.19896
2003,1,10,4.10037
2003,1,11,4.69859
2003,1,12,8.32343
2003,1,13,9.32281
2003,1,14,17.5878
2003,1,15,10.0388
2003,1,16,11.0500
2003,1,17,4.05282
2003,1,18,4.19179
2003,1,19,4.36732
2003,1,20,4.55267
2003,1,21,4.73460
2003,1,22,4.89525
2003,1,23,5.03454
2003,1,24,5.14818
2003,1,25,5.24614
2003,1,26,5.33307
2003,1,27,5.44846
2003,1,28,5.58322
2003,1,29,5.75670
2003,1,30,5.94838
2003,1,31,6.11769
2003,2,1,6.25107
2003,2,2,6.34751
2003,2,3,6.41681
2003,2,4,6.46606
2003,2,5,6.61194
2003,2,6,7.25265
2003,2,7,6.49483
2003,2,8,6.48297
2003,2,9,6.46568
2003,2,10,6.44327
2003,2,11,6.41989
2003,2,12,6.38902
2003,2,13,6.35560
2003,2,14,6.31856
2003,2,15,6.28336
2003,2,16,6.24433
2003,2,17,6.20529
2003,2,18,6.16802
2003,2,19,6.12195
2003,2,20,6.07861
2003,2,21,6.04156
2003,2,22,5.99172
2003,2,23,5.95264
2003,2,24,5.91376
2003,2,25,5.87496
2003,2,26,5.83896
2003,2,27,5.79869
2003,2,28,5.76154
2003,3,1,5.72046
2003,3,2,5.67786
2003,3,3,5.63175
2003,3,4,5.58734
2003,3,5,5.53961
2003,3,6,5.49156
2003,3,7,5.44021
2003,3,8,5.38792
2003,3,9,5.33882
2003,3,10,5.29280
2003,3,11,5.27025
2003,3,12,5.37114
2003,3,13,5.67936
2003,3,14,6.03880
2003,3,15,6.44206
2003,3,16,6.91092
2003,3,17,7.40552
2003,3,18,7.90140
2003,3,19,8.41343
2003,3,20,8.98367
2003,3,21,9.46336
2003,3,22,9.78780
2003,3,23,9.97979
2003,3,24,10.1340
2003,3,25,10.3607
2003,3,26,10.6622
2003,3,27,10.9344
2003,3,28,11.1759
2003,3,29,11.3200
2003,3,30,11.3095
2003,3,31,11.2930
2003,4,1,11.2714
2003,4,2,11.1979
2003,4,3,11.0874
2003,4,4,10.9454
2003,4,5,10.8082
2003,4,6,10.6574
2003,4,7,10.5007
2003,4,8,10.3377
2003,4,9,10.1675
2003,4,10,10.0147
2003,4,11,9.90818
2003,4,12,9.88859
2003,4,13,10.0151
2003,4,14,10.2132
2003,4,15,10.4053
2003,4,16,10.5077
2003,4,17,10.4932
2003,4,18,10.4405
2003,4,19,10.3423
2003,4,20,10.1525
2003,4,21,9.88112
2003,4,22,9.54185
2003,4,23,9.16004
2003,4,24,8.77290
2003,4,25,8.38065
2003,4,26,8.02013
2003,4,27,7.67707
