Year,Month,Day,Inflow [GWh]
2003,1,1,8.71697
2003,1,2,9.12923
2003,1,3,9.29188
2003,1,4,9.60483
2003,1,5,10.2590
2003,1,6,11.2542
2003,1,7,12.4099
2003,1,8,15.1168
2003,1,9,17.6753
2003,1,10,25.5029
2003,1,11,29.9325
2003,1,12,28.4532
2003,1,13,25.5672
2003,1,14,22.4816
2003,1,15,19.6795
2003,1,16,17.3492
2003,1,17,15.4802
2003,1,18,13.9646
2003,1,19,12.8378
2003,1,20,11.9786
2003,1,21,11.2268
2003,1,22,10.5936
2003,1,23,10.2313
2003,1,24,10.1230
2003,1,25,9.98817
2003,1,26,9.79009
2003,1,27,9.53239
2003,1,28,9.21593
2003,1,29,8.90389
2003,1,30,8.70508
2003,1,31,8.66354
2003,2,1,8.70906
2003,2,2,8.63261
2003,2,3,8.43820
2003,2,4,8.21202
2003,2,5,9.60437
2003,2,6,12.2269
2003,2,7,12.4339
2003,2,8,11.9929
2003,2,9,11.3411
2003,2,10,10.6125
2003,2,11,9.89050
2003,2,12,9.21204
2003,2,13,8.59039
2003,2,14,8.02435
2003,2,15,7.51219
2003,2,16,7.05124
2003,2,17,6.63183
2003,2,18,6.25792
2003,2,19,5.91543
2003,2,20,5.61068
2003,2,21,5.33183
2003,2,22,5.07656
2003,2,23,4.84243
2003,2,24,4.62593
2003,2,25,4.42548
2003,2,26,4.23816
2003,2,27,4.06102
2003,2,28,3.89429
2003,3,1,3.74552
2003,3,2,3.62201
2003,3,3,3.52443
2003,3,4,3.48306
2003,3,5,3.50808
2003,3,6,3.57289
2003,3,7,3.66438
2003,3,8,3.78915
2003,3,9,3.92026
2003,3,10,4.04673
2003,3,11,4.17285
2003,3,12,4.46827
2003,3,13,5.02145
2003,3,14,5.58639
2003,3,15,5.89743
2003,3,16,5.99244
2003,3,17,5.98964
2003,3,18,5.95865
2003,3,19,5.95327
2003,3,20,6.03089
2003,3,21,6.24226
2003,3,22,6.42191
2003,3,23,6.45999
2003,3,24,6.40481
2003,3,25,6.37205
2003,3,26,6.65971
2003,3,27,7.46242
2003,3,28,8.84101
2003,3,29,10.3953
2003,3,30,11.7138
2003,3,31,12.7367
2003,4,1,13.5193
2003,4,2,13.8557
2003,4,3,13.6539
2003,4,4,13.3247
2003,4,5,12.9136
2003,4,6,12.3890
2003,4,7,11.7425
2003,4,8,11.0316
2003,4,9,10.3147
2003,4,10,9.71119
2003,4,11,9.45749
2003,4,12,9.56891
2003,4,13,9.59662
2003,4,14,9.61086
2003,4,15,9.50798
2003,4,16,9.33993
2003,4,17,9.18453
2003,4,18,8.99996
2003,4,19,8.77909
2003,4,20,8.51591
2003,4,21,8.21345
2003,4,22,8.08240
2003,4,23,8.39919
2003,4,24,8.70702
2003,4,25,8.92466
2003,4,26,8.93160
2003,4,27,8.79274
2003,4,28,8.59214
2003,4,29,8.35132
2003,4,30,8.01647
2003,5,1,7.61292
2003,5,2,7.16728
2003,5,3,6.72708
2003,5,4,6.31009
2003,5,5,5.91972
2003,5,6,5.54307
2003,5,7,5.19807
2003,5,8,4.88532
2003,5,9,4.59965
2003,5,10,4.35296
2003,5,11,4.13754
2003,5,12,3.95926
2003,5,13,3.78367
2003,5,14,3.61110
2003,5,15,3.46190
2003,5,16,3.32847
2003,5,17,3.20212
2003,5,18,3.08138
2003,5,19,2.96504
2003,5,20,2.84930
2003,5,21,2.74711
2003,5,22,2.66984
2003,5,23,2.62379
2003,5,24,2.59573
2003,5,25,2.57351
2003,5,26,2.55466
2003,5,27,2.55136
2003,5,28,2.54874
2003,5,29,2.54443
2003,5,30,2.52720
2003,5,31,2.51290
2003,6,1,2.49692
2003,6,2,2.48149
2003,6,3,2.46813
2003,6,4,2.45408
2003,6,5,2.44441
2003,6,6,2.42322
2003,6,7,2.39718
2003,6,8,2.36376
2003,6,9,2.33334
2003,6,10,2.32292
2003,6,11,2.34379
2003,6,12,2.34498
2003,6,13,2.32119
2003,6,14,2.28533
2003,6,15,2.23739
2003,6,16,2.19592
2003,6,17,2.15598
2003,6,18,2.11096
2003,6,19,2.08771
2003,6,20,2.11526
2003,6,21,2.13903
2003,6,22,2.14898
2003,6,23,2.15001
2003,6,24,2.13874
2003,6,25,2.11949
2003,6,26,2.08947
2003,6,27,2.05946
2003,6,28,2.03221
2003,6,29,2.01495
2003,6,30,1.99424
2003,7,1,1.97630
2003,7,2,1.94891
2003,7,3,1.91659
2003,7,4,1.87998
2003,7,5,1.84620
2003,7,6,1.81827
2003,7,7,1.79111
2003,7,8,1.76688
