Year,Month,Day,Inflow [GWh]
2003,1,1,4.98639
2003,1,2,5.02601
2003,1,3,5.06624
2003,1,4,5.09618
2003,1,5,5.22157
2003,1,6,5.52516
2003,1,7,5.81412
2003,1,8,6.10834
2003,1,9,6.36224
2003,1,10,6.58517
2003,1,11,6.85405
2003,1,12,7.03627
2003,1,13,7.16491
2003,1,14,7.22145
2003,1,15,7.21234
2003,1,16,7.20515
2003,1,17,7.22817
2003,1,18,7.29172
2003,1,19,7.39786
2003,1,20,7.52018
2003,1,21,7.64550
2003,1,22,7.75216
2003,1,23,7.93705
2003,1,24,8.18112
2003,1,25,8.51416
2003,1,26,8.95181
2003,1,27,9.29513
2003,1,28,9.42544
2003,1,29,9.37709
2003,1,30,9.29567
2003,1,31,9.31587
2003,2,1,9.40135
2003,2,2,9.46519
2003,2,3,9.45859
2003,2,4,9.39664
2003,2,5,9.63602
2003,2,6,10.6694
2003,2,7,11.3573
2003,2,8,11.5054
2003,2,9,11.3944
2003,2,10,11.1750
2003,2,11,10.8878
2003,2,12,10.5658
2003,2,13,10.2318
2003,2,14,9.87554
2003,2,15,9.50817
2003,2,16,9.15444
2003,2,17,8.82005
2003,2,18,8.49601
2003,2,19,8.17987
2003,2,20,7.86578
2003,2,21,7.56323
2003,2,22,7.28218
2003,2,23,7.01678
2003,2,24,6.77737
2003,2,25,6.55003
2003,2,26,6.33658
2003,2,27,6.12976
2003,2,28,5.92927
2003,3,1,5.74174
2003,3,2,5.56329
2003,3,3,5.39841
2003,3,4,5.24894
2003,3,5,5.13120
2003,3,6,5.02676
2003,3,7,4.91357
2003,3,8,4.81444
2003,3,9,4.72815
2003,3,10,4.65560
2003,3,11,4.60950
2003,3,12,4.57245
2003,3,13,4.51127
2003,3,14,4.43227
2003,3,15,4.36448
2003,3,16,4.31026
2003,3,17,4.26394
2003,3,18,4.21911
2003,3,19,4.15980
2003,3,20,4.10198
2003,3,21,4.04843
2003,3,22,4.00452
2003,3,23,3.95337
2003,3,24,3.89918
2003,3,25,3.83171
2003,3,26,3.73978
2003,3,27,3.63274
2003,3,28,3.51360
2003,3,29,3.39009
2003,3,30,3.26613
2003,3,31,3.13898
