Year,Month,Day,Inflow [GWh]
2003,1,1,102.062
2003,1,2,101.314
2003,1,3,100.482
2003,1,4,99.7742
2003,1,5,98.7653
2003,1,6,102.629
2003,1,7,100.864
2003,1,8,96.1993
2003,1,9,95.3805
2003,1,10,103.888
2003,1,11,117.392
2003,1,12,95.0670
2003,1,13,97.6686
2003,1,14,101.894
2003,1,15,110.569
2003,1,16,125.696
2003,1,17,141.852
2003,1,18,169.194
2003,1,19,189.614
2003,1,20,199.372
2003,1,21,208.062
2003,1,22,218.389
2003,1,23,223.746
2003,1,24,223.930
2003,1,25,228.439
2003,1,26,233.410
2003,1,27,238.876
2003,1,28,243.366
2003,1,29,244.380
2003,1,30,240.517
2003,1,31,233.877
2003,2,1,228.232
2003,2,2,218.370
2003,2,3,211.537
2003,2,4,205.056
2003,2,5,198.629
2003,2,6,192.232
2003,2,7,188.565
2003,2,8,213.551
2003,2,9,184.426
2003,2,10,185.370
2003,2,11,187.958
2003,2,12,209.573
2003,2,13,199.783
2003,2,14,186.416
2003,2,15,206.906
2003,2,16,224.637
2003,2,17,181.417
2003,2,18,188.818
2003,2,19,172.481
2003,2,20,169.008
2003,2,21,165.220
2003,2,22,161.384
2003,2,23,157.647
2003,2,24,154.310
2003,2,25,151.446
2003,2,26,149.920
2003,2,27,148.291
2003,2,28,146.257
2003,3,1,143.843
2003,3,2,141.160
2003,3,3,138.403
2003,3,4,135.555
2003,3,5,132.712
2003,3,6,130.152
2003,3,7,128.446
2003,3,8,127.557
2003,3,9,127.463
2003,3,10,129.197
2003,3,11,136.801
2003,3,12,146.442
2003,3,13,152.802
2003,3,14,157.819
2003,3,15,163.487
2003,3,16,167.454
2003,3,17,171.290
2003,3,18,177.521
2003,3,19,186.660
2003,3,20,193.239
2003,3,21,195.477
2003,3,22,198.900
2003,3,23,216.162
2003,3,24,236.884
2003,3,25,250.971
2003,3,26,264.020
2003,3,27,289.691
2003,3,28,311.501
2003,3,29,323.829
2003,3,30,334.904
2003,3,31,340.049
2003,4,1,337.756
2003,4,2,336.398
2003,4,3,334.720
2003,4,4,329.698
2003,4,5,326.740
2003,4,6,321.507
2003,4,7,313.623
2003,4,8,304.795
2003,4,9,297.094
2003,4,10,292.273
2003,4,11,290.274
2003,4,12,287.595
2003,4,13,285.624
2003,4,14,288.889
2003,4,15,298.727
2003,4,16,317.232
2003,4,17,349.337
2003,4,18,392.326
2003,4,19,442.866
2003,4,20,502.090
2003,4,21,562.262
2003,4,22,623.016
2003,4,23,673.551
2003,4,24,713.200
2003,4,25,736.323
2003,4,26,749.033
2003,4,27,738.095
2003,4,28,715.426
2003,4,29,695.501
2003,4,30,682.884
2003,5,1,680.090
2003,5,2,676.710
2003,5,3,668.448
2003,5,4,652.026
2003,5,5,636.775
2003,5,6,654.006
2003,5,7,700.473
2003,5,8,733.511
2003,5,9,755.516
2003,5,10,793.160
2003,5,11,826.094
2003,5,12,863.551
2003,5,13,918.012
2003,5,14,960.681
2003,5,15,993.743
2003,5,16,998.891
2003,5,17,990.179
2003,5,18,981.940
2003,5,19,990.558
2003,5,20,1033.46
2003,5,21,1057.73
2003,5,22,1068.75
2003,5,23,1056.56
2003,5,24,1021.07
2003,5,25,987.810
2003,5,26,949.678
2003,5,27,901.666
2003,5,28,841.980
2003,5,29,775.367
2003,5,30,711.794
2003,5,31,657.043
2003,6,1,607.356
2003,6,2,559.202
2003,6,3,513.394
2003,6,4,472.792
2003,6,5,439.078
2003,6,6,412.921
2003,6,7,391.586
2003,6,8,372.301
2003,6,9,355.160
2003,6,10,340.627
2003,6,11,327.529
2003,6,12,315.321
2003,6,13,304.518
2003,6,14,294.577
2003,6,15,284.922
2003,6,16,275.322
2003,6,17,265.640
2003,6,18,255.787
2003,6,19,246.045
2003,6,20,237.480
2003,6,21,230.636
2003,6,22,224.733
2003,6,23,219.341
2003,6,24,216.147
2003,6,25,216.342
2003,6,26,215.628
2003,6,27,212.940
2003,6,28,208.534
2003,6,29,203.359
2003,6,30,198.469
2003,7,1,194.024
2003,7,2,190.004
2003,7,3,187.238
2003,7,4,184.484
2003,7,5,181.551
2003,7,6,179.172
2003,7,7,176.826
2003,7,8,174.617
2003,7,9,173.747
2003,7,10,174.010
2003,7,11,174.437
2003,7,12,175.356
2003,7,13,175.596
2003,7,14,174.024
2003,7,15,170.966
2003,7,16,167.293
2003,7,17,163.075
2003,7,18,159.730
2003,7,19,156.534
2003,7,20,155.498
2003,7,21,154.925
2003,7,22,154.032
2003,7,23,154.058
2003,7,24,153.783
2003,7,25,152.782
2003,7,26,152.458
2003,7,27,153.529
2003,7,28,156.305
2003,7,29,158.937
2003,7,30,159.484
2003,7,31,158.169
2003,8,1,155.829
2003,8,2,153.812
2003,8,3,152.850
2003,8,4,151.887
2003,8,5,150.802
2003,8,6,149.415
2003,8,7,147.480
2003,8,8,145.121
2003,8,9,142.273
2003,8,10,138.910
2003,8,11,135.278
2003,8,12,131.849
2003,8,13,128.806
2003,8,14,129.711
2003,8,15,143.775
2003,8,16,163.852
2003,8,17,179.020
2003,8,18,187.206
2003,8,19,190.204
2003,8,20,192.530
2003,8,21,196.319
2003,8,22,202.525
2003,8,23,210.996
2003,8,24,218.898
2003,8,25,222.714
2003,8,26,223.739
2003,8,27,225.109
2003,8,28,225.873
2003,8,29,225.216
2003,8,30,223.263
2003,8,31,220.068
2003,9,1,216.227
2003,9,2,211.811
2003,9,3,207.169
2003,9,4,203.402
2003,9,5,200.701
2003,9,6,197.705
2003,9,7,194.219
2003,9,8,191.389
2003,9,9,190.172
2003,9,10,190.379
2003,9,11,190.593
2003,9,12,189.832
2003,9,13,188.470
2003,9,14,186.453
2003,9,15,184.710
2003,9,16,185.688
2003,9,17,188.337
2003,9,18,191.421
2003,9,19,198.351
2003,9,20,204.772
2003,9,21,210.084
2003,9,22,216.850
2003,9,23,233.835
2003,9,24,250.134
2003,9,25,275.303
2003,9,26,332.731
2003,9,27,381.561
2003,9,28,392.342
2003,9,29,385.851
2003,9,30,373.708
2003,10,1,365.839
2003,10,2,359.667
2003,10,3,353.519
2003,10,4,350.333
2003,10,5,347.276
2003,10,6,342.866
2003,10,7,337.772
2003,10,8,332.306
2003,10,9,327.189
2003,10,10,322.549
2003,10,11,320.848
2003,10,12,321.306
2003,10,13,320.412
2003,10,14,316.317
2003,10,15,309.696
2003,10,16,301.782
2003,10,17,294.823
2003,10,18,290.036
2003,10,19,284.747
2003,10,20,278.195
2003,10,21,270.808
2003,10,22,263.033
2003,10,23,255.140
2003,10,24,247.789
2003,10,25,240.525
2003,10,26,234.339
2003,10,27,230.064
2003,10,28,226.437
2003,10,29,229.845
2003,10,30,233.050
2003,10,31,233.925
2003,11,1,232.888
2003,11,2,230.704
2003,11,3,228.504
2003,11,4,227.356
2003,11,5,226.527
2003,11,6,226.655
2003,11,7,227.733
2003,11,8,229.804
2003,11,9,230.287
2003,11,10,228.962
2003,11,11,226.247
2003,11,12,223.573
2003,11,13,221.434
2003,11,14,218.621
2003,11,15,215.015
2003,11,16,211.720
2003,11,17,208.197
2003,11,18,204.589
2003,11,19,203.572
2003,11,20,201.008
2003,11,21,200.374
2003,11,22,200.634
2003,11,23,197.963
2003,11,24,195.447
2003,11,25,192.668
2003,11,26,190.018
2003,11,27,188.559
2003,11,28,188.771
2003,11,29,189.901
2003,11,30,188.877
2003,12,1,190.944
2003,12,2,191.999
2003,12,3,193.020
2003,12,4,196.765
2003,12,5,194.225
2003,12,6,195.944
2003,12,7,196.987
2003,12,8,200.057
2003,12,9,203.875
2003,12,10,206.726
2003,12,11,216.896
2003,12,12,226.662
2003,12,13,231.330
2003,12,14,238.446
2003,12,15,237.786
2003,12,16,238.041
2003,12,17,239.040
2003,12,18,260.760
2003,12,19,294.453
2003,12,20,320.248
2003,12,21,326.394
2003,12,22,322.287
2003,12,23,314.024
2003,12,24,310.844
2003,12,25,307.613
2003,12,26,305.672
