Year,Month,Day,Inflow [GWh]
2003,1,1,6.75191
2003,1,2,11.0992
2003,1,3,10.9742
2003,1,4,7.37124
2003,1,5,7.83565
2003,1,6,8.19907
2003,1,7,8.44405
2003,1,8,8.60377
2003,1,9,8.69345
2003,1,10,8.74674
2003,1,11,8.76071
2003,1,12,9.27940
2003,1,13,8.73749
2003,1,14,9.02708
2003,1,15,22.2345
2003,1,16,8.83253
2003,1,17,8.99664
2003,1,18,9.14848
2003,1,19,9.27301
2003,1,20,9.36445
2003,1,21,9.41920
2003,1,22,9.45455
2003,1,23,9.46512
2003,1,24,9.47315
2003,1,25,9.48471
2003,1,26,9.49566
2003,1,27,9.50479
2003,1,28,9.71414
2003,1,29,9.61595
2003,1,30,9.75254
2003,1,31,9.87655
2003,2,1,9.96776
2003,2,2,10.0256
2003,2,3,10.0525
2003,2,4,10.0595
2003,2,5,10.0525
2003,2,6,10.0526
2003,2,7,10.0512
2003,2,8,9.98868
2003,2,9,9.94784
2003,2,10,9.90281
2003,2,11,9.85257
2003,2,12,9.79475
2003,2,13,9.72676
2003,2,14,9.65378
2003,2,15,9.57432
2003,2,16,9.49520
2003,2,17,9.41155
2003,2,18,9.32901
2003,2,19,9.24695
2003,2,20,9.16481
2003,2,21,9.09620
2003,2,22,9.05153
2003,2,23,9.02890
2003,2,24,9.02183
2003,2,25,9.02748
2003,2,26,9.04556
2003,2,27,9.08170
2003,2,28,9.12772
2003,3,1,9.19874
2003,3,2,9.31365
2003,3,3,9.45857
2003,3,4,9.59344
2003,3,5,9.70265
2003,3,6,9.79426
2003,3,7,9.86103
2003,3,8,9.90454
2003,3,9,9.95049
2003,3,10,10.0767
2003,3,11,10.3675
2003,3,12,10.9010
2003,3,13,11.7737
2003,3,14,12.5477
2003,3,15,13.0896
2003,3,16,13.4724
2003,3,17,13.7589
2003,3,18,14.0284
2003,3,19,14.2554
2003,3,20,14.4947
2003,3,21,14.6949
2003,3,22,14.7471
2003,3,23,14.6426
2003,3,24,14.4280
2003,3,25,14.1833
2003,3,26,14.0433
2003,3,27,14.0665
2003,3,28,14.1267
2003,3,29,14.0388
2003,3,30,13.9617
2003,3,31,13.8052
2003,4,1,13.5204
2003,4,2,13.1959
2003,4,3,12.8674
2003,4,4,12.6000
2003,4,5,12.3938
2003,4,6,12.2344
2003,4,7,12.0421
2003,4,8,11.8078
2003,4,9,11.5438
2003,4,10,11.2625
2003,4,11,11.2312
2003,4,12,11.7592
2003,4,13,12.2579
2003,4,14,12.6519
2003,4,15,12.7108
2003,4,16,12.5308
2003,4,17,12.2137
2003,4,18,11.8305
2003,4,19,11.4513
2003,4,20,11.0304
2003,4,21,10.5584
2003,4,22,10.0658
2003,4,23,9.59954
2003,4,24,9.22097
2003,4,25,8.90928
2003,4,26,8.62327
2003,4,27,8.35632
2003,4,28,8.13562
2003,4,29,7.93857
2003,4,30,7.72109
2003,5,1,7.48546
2003,5,2,7.25171
2003,5,3,7.03540
2003,5,4,6.83750
2003,5,5,6.64213
2003,5,6,6.42942
2003,5,7,6.19150
2003,5,8,5.96623
2003,5,9,5.74824
2003,5,10,5.55838
2003,5,11,5.39414
2003,5,12,5.25649
2003,5,13,5.13811
2003,5,14,5.02701
2003,5,15,4.96436
2003,5,16,4.93494
2003,5,17,4.92445
