Year,Month,Day,Inflow [GWh]
2003,1,1,279.663
2003,1,2,287.034
2003,1,3,324.322
2003,1,4,353.015
2003,1,5,355.511
2003,1,6,356.981
2003,1,7,356.446
2003,1,8,361.232
2003,1,9,364.522
2003,1,10,362.287
2003,1,11,349.998
2003,1,12,330.729
2003,1,13,308.228
2003,1,14,285.120
2003,1,15,262.935
2003,1,16,242.409
2003,1,17,223.853
2003,1,18,207.758
2003,1,19,203.784
2003,1,20,210.074
2003,1,21,235.670
2003,1,22,263.263
2003,1,23,280.483
2003,1,24,281.423
2003,1,25,274.215
2003,1,26,262.595
2003,1,27,248.612
2003,1,28,233.655
2003,1,29,218.598
2003,1,30,204.173
2003,1,31,190.757
2003,2,1,178.408
2003,2,2,167.098
2003,2,3,156.861
2003,2,4,147.838
2003,2,5,140.082
2003,2,6,133.001
2003,2,7,126.604
2003,2,8,120.918
2003,2,9,115.791
2003,2,10,111.121
2003,2,11,106.761
2003,2,12,102.785
2003,2,13,99.0896
2003,2,14,95.4820
2003,2,15,92.0298
2003,2,16,88.7434
2003,2,17,85.5753
2003,2,18,82.6565
2003,2,19,80.8796
2003,2,20,81.1322
2003,2,21,82.4855
2003,2,22,84.0816
2003,2,23,87.2120
2003,2,24,90.1749
2003,2,25,93.9684
2003,2,26,100.648
2003,2,27,108.309
2003,2,28,115.323
2003,3,1,120.787
2003,3,2,126.950
2003,3,3,130.913
2003,3,4,132.033
2003,3,5,131.080
2003,3,6,129.052
2003,3,7,126.301
2003,3,8,122.924
2003,3,9,118.851
2003,3,10,114.175
2003,3,11,109.013
2003,3,12,103.607
2003,3,13,98.2825
2003,3,14,93.0279
2003,3,15,88.2112
2003,3,16,83.6841
2003,3,17,79.5966
2003,3,18,75.7602
2003,3,19,72.0705
2003,3,20,68.5096
2003,3,21,64.9237
2003,3,22,61.4247
2003,3,23,58.3367
2003,3,24,55.6514
2003,3,25,53.4123
2003,3,26,51.6777
2003,3,27,50.4664
2003,3,28,50.2705
2003,3,29,50.6015
2003,3,30,51.6978
2003,3,31,54.1569
2003,4,1,56.3171
2003,4,2,57.3591
2003,4,3,57.5783
2003,4,4,57.1985
2003,4,5,56.3913
2003,4,6,55.2566
2003,4,7,53.6820
2003,4,8,51.7026
2003,4,9,49.5636
2003,4,10,47.6245
2003,4,11,46.0073
2003,4,12,44.5978
2003,4,13,43.5602
2003,4,14,42.8443
2003,4,15,42.3325
2003,4,16,41.9770
2003,4,17,41.7503
2003,4,18,41.6485
2003,4,19,42.0385
2003,4,20,43.8584
2003,4,21,47.1596
2003,4,22,49.8748
2003,4,23,51.7101
2003,4,24,53.2203
2003,4,25,54.3799
2003,4,26,56.6523
2003,4,27,59.1225
2003,4,28,60.5436
2003,4,29,61.8434
2003,4,30,63.3271
2003,5,1,64.8090
2003,5,2,65.3500
2003,5,3,65.1788
2003,5,4,64.4445
2003,5,5,63.3510
2003,5,6,62.0584
2003,5,7,60.6640
2003,5,8,59.0502
2003,5,9,57.2973
2003,5,10,55.3637
2003,5,11,53.4073
2003,5,12,51.4179
2003,5,13,49.4677
2003,5,14,47.4828
2003,5,15,45.4964
2003,5,16,43.5495
2003,5,17,41.7751
2003,5,18,40.1351
2003,5,19,38.6835
2003,5,20,37.1984
2003,5,21,35.6870
2003,5,22,34.1764
2003,5,23,32.6269
2003,5,24,31.2212
2003,5,25,29.9187
2003,5,26,28.6996
2003,5,27,27.4925
2003,5,28,26.3014
2003,5,29,25.1408
2003,5,30,24.0796
2003,5,31,23.1752
2003,6,1,22.2523
2003,6,2,21.5416
2003,6,3,20.8514
2003,6,4,20.2624
2003,6,5,19.6493
2003,6,6,19.0839
2003,6,7,18.4994
2003,6,8,17.9111
2003,6,9,17.3929
2003,6,10,16.8468
2003,6,11,16.4026
2003,6,12,15.8824
2003,6,13,15.3677
2003,6,14,14.8909
2003,6,15,14.4538
2003,6,16,14.0580
2003,6,17,13.6884
2003,6,18,13.3106
2003,6,19,12.8905
2003,6,20,12.4493
2003,6,21,11.9920
2003,6,22,11.5954
2003,6,23,11.2328
2003,6,24,10.9162
2003,6,25,10.6121
2003,6,26,10.3050
2003,6,27,10.0121
2003,6,28,9.73862
2003,6,29,9.49666
2003,6,30,9.34990
2003,7,1,9.19342
2003,7,2,9.02398
2003,7,3,8.86546
2003,7,4,8.69477
2003,7,5,8.50015
2003,7,6,8.38880
2003,7,7,8.20931
2003,7,8,8.05204
2003,7,9,7.87131
2003,7,10,7.69218
2003,7,11,7.51074
2003,7,12,7.34728
2003,7,13,7.20865
2003,7,14,7.06221
2003,7,15,7.00139
2003,7,16,6.91436
2003,7,17,6.78766
2003,7,18,6.67345
2003,7,19,6.54789
2003,7,20,6.42958
2003,7,21,6.32293
2003,7,22,6.23517
2003,7,23,6.14197
2003,7,24,6.00680
2003,7,25,5.93443
2003,7,26,5.85041
2003,7,27,5.76975
2003,7,28,5.67729
2003,7,29,5.58837
2003,7,30,5.46635
2003,7,31,5.37242
2003,8,1,5.26196
2003,8,2,5.13344
