Year,Month,Day,Inflow [GWh]
2003,1,1,48.0264
2003,1,2,48.9124
2003,1,3,52.6342
2003,1,4,50.9539
2003,1,5,52.4106
2003,1,6,53.8896
2003,1,7,55.3311
2003,1,8,58.3460
2003,1,9,57.8373
2003,1,10,72.5305
2003,1,11,59.6606
2003,1,12,60.2819
2003,1,13,60.6224
2003,1,14,60.7153
2003,1,15,60.6922
2003,1,16,60.4321
2003,1,17,60.1922
2003,1,18,59.9362
2003,1,19,59.6456
2003,1,20,59.2970
2003,1,21,58.9043
2003,1,22,58.5302
2003,1,23,58.1639
2003,1,24,58.0159
2003,1,25,58.0973
2003,1,26,58.3688
2003,1,27,58.6614
2003,1,28,58.8510
2003,1,29,58.9687
2003,1,30,59.1600
2003,1,31,59.2962
2003,2,1,59.3532
2003,2,2,59.3075
2003,2,3,59.1291
2003,2,4,58.8519
2003,2,5,63.1089
2003,2,6,59.4527
2003,2,7,59.2997
2003,2,8,59.6036
2003,2,9,59.6840
2003,2,10,59.5935
2003,2,11,59.3735
2003,2,12,59.0557
2003,2,13,58.6432
2003,2,14,58.1485
2003,2,15,57.6065
2003,2,16,57.0085
2003,2,17,56.3817
2003,2,18,55.6858
2003,2,19,55.0037
2003,2,20,54.3300
2003,2,21,53.6510
2003,2,22,52.9946
2003,2,23,52.3847
2003,2,24,51.7851
2003,2,25,51.2117
2003,2,26,51.1583
2003,2,27,51.4949
2003,2,28,50.1088
2003,3,1,50.3336
2003,3,2,50.2967
2003,3,3,49.2426
2003,3,4,49.8538
2003,3,5,50.9926
2003,3,6,52.4921
2003,3,7,54.0733
2003,3,8,55.6677
2003,3,9,57.3434
2003,3,10,59.3143
2003,3,11,61.8876
2003,3,12,65.0759
2003,3,13,69.3415
2003,3,14,74.8056
2003,3,15,79.1824
2003,3,16,82.4536
2003,3,17,85.3009
2003,3,18,88.1761
2003,3,19,90.9939
2003,3,20,93.4029
2003,3,21,95.4703
2003,3,22,96.6099
2003,3,23,96.6057
2003,3,24,95.6527
2003,3,25,94.2607
2003,3,26,93.1059
2003,3,27,93.0388
2003,3,28,94.4046
2003,3,29,97.6005
2003,3,30,103.289
2003,3,31,112.403
2003,4,1,125.125
2003,4,2,133.942
2003,4,3,139.225
2003,4,4,145.355
2003,4,5,150.534
2003,4,6,152.138
2003,4,7,149.256
