Year,Month,Day,Inflow [GWh]
2003,1,1,41.3138
2003,1,2,43.3610
2003,1,3,46.7014
2003,1,4,47.2457
2003,1,5,49.3204
2003,1,6,51.6470
2003,1,7,54.0369
2003,1,8,56.7477
2003,1,9,59.0603
2003,1,10,79.0793
2003,1,11,68.4751
2003,1,12,71.2686
2003,1,13,72.6445
2003,1,14,73.0556
2003,1,15,72.7077
2003,1,16,72.1483
2003,1,17,71.8348
2003,1,18,71.5987
2003,1,19,71.4990
2003,1,20,71.5050
2003,1,21,71.4768
2003,1,22,71.6954
2003,1,23,72.9926
2003,1,24,75.9435
2003,1,25,78.6972
2003,1,26,80.4278
2003,1,27,81.3260
2003,1,28,81.5219
2003,1,29,81.3836
2003,1,30,81.4753
2003,1,31,81.9535
2003,2,1,82.5232
2003,2,2,82.7156
2003,2,3,82.3591
2003,2,4,81.5633
2003,2,5,91.7361
2003,2,6,81.9384
2003,2,7,82.6437
2003,2,8,82.6036
2003,2,9,81.9816
2003,2,10,80.9286
2003,2,11,79.5633
2003,2,12,77.9983
2003,2,13,76.3028
2003,2,14,74.4910
2003,2,15,72.5858
2003,2,16,70.6422
2003,2,17,68.7015
2003,2,18,66.7551
2003,2,19,64.8422
2003,2,20,63.0308
2003,2,21,61.2690
2003,2,22,59.6407
2003,2,23,58.2173
2003,2,24,56.9688
2003,2,25,55.8763
2003,2,26,54.9352
2003,2,27,53.9948
2003,2,28,53.4078
2003,3,1,52.9305
2003,3,2,52.6067
2003,3,3,52.2815
2003,3,4,51.8093
2003,3,5,51.2806
2003,3,6,50.7429
2003,3,7,50.1549
2003,3,8,49.6202
2003,3,9,48.9653
2003,3,10,48.2989
2003,3,11,47.7122
2003,3,12,47.1857
2003,3,13,46.6160
2003,3,14,46.1404
2003,3,15,45.7410
2003,3,16,45.3803
2003,3,17,44.9861
2003,3,18,44.5835
2003,3,19,44.1029
2003,3,20,43.6028
2003,3,21,43.0189
2003,3,22,42.4527
2003,3,23,41.8728
2003,3,24,41.2194
2003,3,25,40.3346
2003,3,26,39.2118
2003,3,27,37.9433
2003,3,28,36.6162
2003,3,29,35.2812
2003,3,30,33.9481
2003,3,31,32.6745
2003,4,1,31.4648
2003,4,2,30.3536
2003,4,3,29.2459
2003,4,4,28.1799
2003,4,5,27.3105
2003,4,6,26.5547
2003,4,7,25.8491
2003,4,8,25.2122
2003,4,9,24.6041
2003,4,10,24.0278
2003,4,11,23.4130
2003,4,12,22.8592
2003,4,13,22.3983
2003,4,14,22.2463
2003,4,15,22.2056
2003,4,16,22.1843
2003,4,17,22.2351
2003,4,18,22.3213
2003,4,19,22.4094
2003,4,20,22.4155
2003,4,21,22.2787
2003,4,22,22.1546
2003,4,23,22.0893
2003,4,24,22.0772
2003,4,25,22.1373
2003,4,26,22.1623
2003,4,27,22.0517
2003,4,28,21.8315
2003,4,29,21.5584
2003,4,30,21.1696
2003,5,1,20.6852
2003,5,2,20.1248
2003,5,3,19.5335
2003,5,4,18.9728
2003,5,5,18.4350
2003,5,6,17.8600
2003,5,7,17.2843
2003,5,8,16.7455
2003,5,9,16.2331
2003,5,10,15.8024
2003,5,11,15.3800
2003,5,12,15.0603
2003,5,13,14.7094
2003,5,14,14.3617
2003,5,15,14.1131
2003,5,16,13.8609
2003,5,17,13.6624
2003,5,18,13.4623
2003,5,19,13.2410
2003,5,20,12.9974
2003,5,21,12.8152
2003,5,22,12.7046
2003,5,23,12.7493
2003,5,24,12.9970
2003,5,25,13.2824
2003,5,26,13.6442
2003,5,27,14.0712
2003,5,28,14.5487
2003,5,29,15.0093
2003,5,30,15.5018
2003,5,31,15.9264
2003,6,1,16.2492
2003,6,2,16.4926
2003,6,3,16.7804
2003,6,4,17.1261
2003,6,5,17.4427
2003,6,6,17.6923
2003,6,7,17.7985
2003,6,8,17.8464
2003,6,9,17.9012
2003,6,10,17.8470
2003,6,11,17.7402
2003,6,12,17.5600
2003,6,13,17.3639
2003,6,14,17.1257
2003,6,15,16.8516
2003,6,16,16.5571
2003,6,17,16.2456
2003,6,18,15.9317
2003,6,19,15.6824
2003,6,20,15.4848
2003,6,21,15.2641
2003,6,22,15.0108
2003,6,23,14.7225
2003,6,24,14.4410
2003,6,25,14.1748
2003,6,26,13.8899
2003,6,27,13.5744
2003,6,28,13.2864
2003,6,29,13.0095
2003,6,30,12.7393
2003,7,1,12.4331
2003,7,2,12.1738
2003,7,3,11.9217
2003,7,4,11.6690
2003,7,5,11.4603
2003,7,6,11.3186
2003,7,7,11.1908
2003,7,8,11.0819
2003,7,9,10.9771
2003,7,10,10.8873
2003,7,11,10.8186
2003,7,12,10.7173
