Year,Month,Day,Inflow [GWh]
2003,1,1,65.9727
2003,1,2,65.4869
2003,1,3,65.0305
2003,1,4,64.5503
2003,1,5,64.0544
2003,1,6,65.0867
2003,1,7,65.1254
2003,1,8,65.5932
2003,1,9,62.8691
2003,1,10,61.5400
2003,1,11,82.5076
2003,1,12,79.8771
2003,1,13,60.7667
2003,1,14,86.1413
2003,1,15,73.7561
2003,1,16,64.9424
2003,1,17,97.9106
2003,1,18,67.7232
2003,1,19,61.1046
2003,1,20,62.3694
2003,1,21,90.0043
2003,1,22,66.9260
2003,1,23,65.8401
2003,1,24,75.9534
2003,1,25,79.0630
2003,1,26,75.2035
2003,1,27,69.7086
2003,1,28,70.9480
2003,1,29,71.4176
2003,1,30,71.9189
2003,1,31,72.1396
2003,2,1,72.1447
2003,2,2,71.9650
2003,2,3,73.2504
2003,2,4,71.3239
2003,2,5,70.9644
2003,2,6,70.5524
2003,2,7,70.0820
2003,2,8,96.0635
2003,2,9,80.2444
2003,2,10,74.8015
2003,2,11,69.3714
2003,2,12,77.9227
2003,2,13,79.4792
2003,2,14,67.0533
2003,2,15,78.4499
2003,2,16,141.471
2003,2,17,77.7271
2003,2,18,101.857
2003,2,19,65.4072
2003,2,20,65.2436
2003,2,21,65.0718
2003,2,22,64.4559
2003,2,23,69.0333
2003,2,24,64.0199
2003,2,25,110.299
2003,2,26,63.6007
2003,2,27,63.2076
2003,2,28,63.0414
2003,3,1,62.7900
2003,3,2,62.4704
2003,3,3,62.0738
2003,3,4,61.6390
2003,3,5,61.1869
2003,3,6,60.7513
2003,3,7,61.2568
2003,3,8,66.2754
2003,3,9,59.3282
2003,3,10,59.9328
2003,3,11,59.2304
2003,3,12,59.9518
2003,3,13,63.0621
2003,3,14,70.0407
2003,3,15,64.0552
2003,3,16,66.2952
2003,3,17,68.7976
2003,3,18,72.3428
2003,3,19,77.4108
2003,3,20,82.5382
2003,3,21,86.4196
2003,3,22,89.4466
2003,3,23,93.4713
2003,3,24,99.5839
2003,3,25,106.711
2003,3,26,114.481
2003,3,27,125.177
2003,3,28,138.164
2003,3,29,149.005
2003,3,30,158.957
2003,3,31,167.103
2003,4,1,171.419
2003,4,2,173.491
2003,4,3,175.150
2003,4,4,175.355
2003,4,5,174.886
2003,4,6,173.694
2003,4,7,171.558
2003,4,8,168.685
2003,4,9,165.827
2003,4,10,163.999
2003,4,11,158.867
2003,4,12,156.155
2003,4,13,153.920
2003,4,14,152.722
2003,4,15,152.905
2003,4,16,155.563
2003,4,17,163.403
2003,4,18,175.463
2003,4,19,193.504
2003,4,20,222.559
2003,4,21,263.044
2003,4,22,307.625
2003,4,23,342.311
2003,4,24,359.277
2003,4,25,362.734
2003,4,26,359.679
2003,4,27,354.202
2003,4,28,347.418
2003,4,29,341.082
2003,4,30,336.198
2003,5,1,331.588
2003,5,2,327.559
2003,5,3,322.931
2003,5,4,318.326
2003,5,5,315.551
2003,5,6,330.238
2003,5,7,361.358
2003,5,8,382.740
2003,5,9,398.596
2003,5,10,415.791
2003,5,11,435.260
2003,5,12,462.767
2003,5,13,512.084
2003,5,14,567.479
2003,5,15,610.899
2003,5,16,630.696
2003,5,17,645.417
2003,5,18,670.022
2003,5,19,713.820
2003,5,20,759.595
2003,5,21,773.287
2003,5,22,762.467
2003,5,23,732.677
2003,5,24,708.223
2003,5,25,693.608
2003,5,26,684.328
2003,5,27,663.609
2003,5,28,632.008
2003,5,29,591.714
2003,5,30,551.388
2003,5,31,517.881
2003,6,1,494.645
2003,6,2,469.758
2003,6,3,440.367
2003,6,4,410.695
2003,6,5,381.887
2003,6,6,355.258
2003,6,7,332.569
2003,6,8,313.064
2003,6,9,295.780
2003,6,10,280.654
2003,6,11,266.761
2003,6,12,252.931
2003,6,13,240.225
2003,6,14,228.869
2003,6,15,218.960
2003,6,16,210.185
2003,6,17,202.304
2003,6,18,194.836
2003,6,19,187.402
2003,6,20,181.076
2003,6,21,177.163
2003,6,22,174.388
2003,6,23,171.409
2003,6,24,168.238
2003,6,25,165.910
2003,6,26,163.055
2003,6,27,159.467
2003,6,28,155.132
2003,6,29,150.804
2003,6,30,146.611
2003,7,1,142.302
2003,7,2,138.066
2003,7,3,134.952
2003,7,4,134.290
2003,7,5,134.014
2003,7,6,132.931
2003,7,7,131.371
2003,7,8,129.701
2003,7,9,127.805
2003,7,10,126.216
2003,7,11,124.461
2003,7,12,122.552
2003,7,13,120.862
2003,7,14,119.371
2003,7,15,117.346
2003,7,16,114.797
2003,7,17,111.972
2003,7,18,108.944
2003,7,19,105.900
2003,7,20,103.076
2003,7,21,100.545
2003,7,22,98.3684
2003,7,23,96.7469
2003,7,24,96.2919
2003,7,25,96.4933
2003,7,26,97.0269
2003,7,27,97.0912
2003,7,28,96.5470
2003,7,29,97.7124
2003,7,30,99.0455
2003,7,31,98.7496
2003,8,1,99.0886
2003,8,2,100.782
2003,8,3,102.999
2003,8,4,103.751
2003,8,5,103.753
2003,8,6,104.327
2003,8,7,104.838
2003,8,8,104.668
2003,8,9,104.634
2003,8,10,104.452
2003,8,11,103.087
2003,8,12,101.292
2003,8,13,100.396
2003,8,14,100.863
2003,8,15,103.637
2003,8,16,107.741
2003,8,17,111.267
2003,8,18,113.255
2003,8,19,114.269
2003,8,20,115.047
2003,8,21,116.696
2003,8,22,118.837
2003,8,23,120.607
2003,8,24,122.545
2003,8,25,124.060
2003,8,26,125.371
2003,8,27,127.154
2003,8,28,129.031
2003,8,29,130.309
2003,8,30,130.915
2003,8,31,130.905
2003,9,1,130.517
2003,9,2,129.745
2003,9,3,128.878
2003,9,4,128.684
2003,9,5,129.086
2003,9,6,129.351
2003,9,7,129.175
2003,9,8,128.404
2003,9,9,127.359
2003,9,10,126.140
2003,9,11,124.661
2003,9,12,122.965
2003,9,13,121.153
2003,9,14,119.292
2003,9,15,118.013
2003,9,16,118.137
2003,9,17,118.873
2003,9,18,119.775
2003,9,19,122.083
2003,9,20,124.386
2003,9,21,127.485
2003,9,22,130.277
2003,9,23,132.193
2003,9,24,135.247
2003,9,25,138.480
2003,9,26,140.925
2003,9,27,142.732
2003,9,28,144.831
2003,9,29,146.265
2003,9,30,146.734
2003,10,1,146.437
2003,10,2,145.544
2003,10,3,144.387
2003,10,4,143.450
2003,10,5,143.019
2003,10,6,143.527
2003,10,7,144.342
2003,10,8,144.652
2003,10,9,144.393
2003,10,10,143.785
2003,10,11,142.878
2003,10,12,141.811
2003,10,13,140.540
2003,10,14,139.093
2003,10,15,137.446
2003,10,16,135.836
2003,10,17,135.309
2003,10,18,135.786
2003,10,19,135.629
2003,10,20,134.692
2003,10,21,133.310
2003,10,22,131.714
2003,10,23,129.859
2003,10,24,128.033
2003,10,25,126.055
2003,10,26,124.060
2003,10,27,124.321
2003,10,28,121.271
2003,10,29,120.961
2003,10,30,120.835
2003,10,31,120.253
2003,11,1,119.408
2003,11,2,118.590
2003,11,3,118.058
2003,11,4,117.861
2003,11,5,118.028
2003,11,6,118.349
2003,11,7,119.170
2003,11,8,120.669
2003,11,9,121.534
2003,11,10,121.906
2003,11,11,121.366
2003,11,12,120.714
2003,11,13,119.913
2003,11,14,118.983
2003,11,15,118.090
2003,11,16,116.763
2003,11,17,115.582
2003,11,18,114.928
2003,11,19,113.578
2003,11,20,111.822
2003,11,21,110.555
2003,11,22,109.739
2003,11,23,108.226
2003,11,24,107.312
2003,11,25,106.432
2003,11,26,105.493
2003,11,27,106.902
2003,11,28,116.998
2003,11,29,103.344
2003,11,30,107.236
2003,12,1,105.552
2003,12,2,102.243
2003,12,3,104.319
2003,12,4,123.939
2003,12,5,103.190
2003,12,6,103.768
2003,12,7,104.252
2003,12,8,104.785
2003,12,9,105.502
2003,12,10,105.955
2003,12,11,107.394
2003,12,12,107.167
2003,12,13,107.785
2003,12,14,108.201
2003,12,15,108.349
2003,12,16,108.345
2003,12,17,116.558
2003,12,18,136.322
2003,12,19,122.852
2003,12,20,111.381
2003,12,21,112.595
2003,12,22,113.309
2003,12,23,113.563
2003,12,24,123.609
2003,12,25,122.025
2003,12,26,112.908
2003,12,27,167.559
2003,12,28,113.856
2003,12,29,114.812
2003,12,30,115.993
2003,12,31,115.337
2004,1,1,115.025
2004,1,2,114.391
2004,1,3,113.526
2004,1,4,112.484
2004,1,5,111.321
2004,1,6,110.439
2004,1,7,110.521
2004,1,8,107.429
2004,1,9,105.989
2004,1,10,104.629
2004,1,11,103.677
2004,1,12,102.113
2004,1,13,100.771
2004,1,14,99.9724
2004,1,15,98.9145
2004,1,16,98.0308
2004,1,17,97.1454
2004,1,18,96.1385
2004,1,19,95.0870
2004,1,20,94.0459
2004,1,21,93.0046
2004,1,22,92.9125
2004,1,23,91.0437
2004,1,24,89.8297
2004,1,25,88.7299
2004,1,26,87.7499
2004,1,27,86.6663
2004,1,28,85.6378
2004,1,29,84.6267
2004,1,30,83.7081
2004,1,31,85.2614
2004,2,1,92.2971
2004,2,2,81.1533
2004,2,3,102.039
2004,2,4,174.808
2004,2,5,85.7599
2004,2,6,84.9262
2004,2,7,86.9063
2004,2,8,88.0609
2004,2,9,88.6329
2004,2,10,88.6693
2004,2,11,88.3174
2004,2,12,118.551
2004,2,13,139.223
2004,2,14,86.2068
2004,2,15,86.2134
2004,2,16,86.0652
2004,2,17,84.4648
2004,2,18,84.1959
2004,2,19,93.8435
2004,2,20,195.022
2004,2,21,85.2679
2004,2,22,86.7419
2004,2,23,88.1145
2004,2,24,89.0003
2004,2,25,89.6659
2004,2,26,89.7309
2004,2,27,89.6911
2004,2,28,89.5048
2004,2,29,89.5466
2004,3,1,89.3555
2004,3,2,88.3842
2004,3,3,87.5502
2004,3,4,86.9375
2004,3,5,86.2508
2004,3,6,87.8583
2004,3,7,86.4704
2004,3,8,83.9826
2004,3,9,89.6709
2004,3,10,90.2728
2004,3,11,82.0770
2004,3,12,81.0842
2004,3,13,80.4173
2004,3,14,80.4554
2004,3,15,87.0415
2004,3,16,83.9602
2004,3,17,87.5091
2004,3,18,83.5250
2004,3,19,94.8712
2004,3,20,90.7058
2004,3,21,89.8900
2004,3,22,89.5876
2004,3,23,90.8824
2004,3,24,91.6882
2004,3,25,91.9814
2004,3,26,91.9133
2004,3,27,92.8477
2004,3,28,91.6229
2004,3,29,90.8876
2004,3,30,94.0339
2004,3,31,90.3941
2004,4,1,90.1586
2004,4,2,92.9810
2004,4,3,103.833
2004,4,4,93.9312
2004,4,5,92.9288
2004,4,6,100.206
2004,4,7,105.471
2004,4,8,97.3581
2004,4,9,97.7596
2004,4,10,100.650
2004,4,11,103.262
2004,4,12,105.075
2004,4,13,106.126
2004,4,14,107.315
2004,4,15,110.789
2004,4,16,117.837
2004,4,17,127.651
2004,4,18,140.788
2004,4,19,157.801
2004,4,20,177.960
2004,4,21,201.339
2004,4,22,224.211
2004,4,23,245.624
2004,4,24,262.704
2004,4,25,275.890
2004,4,26,286.809
2004,4,27,299.951
2004,4,28,315.318
2004,4,29,333.493
2004,4,30,353.957
2004,5,1,374.022
2004,5,2,391.790
2004,5,3,407.292
2004,5,4,445.215
2004,5,5,502.566
2004,5,6,587.499
2004,5,7,692.693
2004,5,8,786.469
2004,5,9,839.984
2004,5,10,834.147
2004,5,11,792.198
2004,5,12,733.812
2004,5,13,668.388
2004,5,14,610.041
2004,5,15,563.575
2004,5,16,525.679
2004,5,17,492.427
2004,5,18,460.628
2004,5,19,440.555
2004,5,20,426.517
2004,5,21,416.487
2004,5,22,407.949
2004,5,23,395.134
2004,5,24,381.676
2004,5,25,363.715
2004,5,26,346.734
2004,5,27,333.504
2004,5,28,321.011
2004,5,29,309.754
2004,5,30,300.480
2004,5,31,290.005
2004,6,1,276.351
2004,6,2,261.983
2004,6,3,248.266
2004,6,4,235.207
2004,6,5,223.997
2004,6,6,217.104
2004,6,7,213.634
2004,6,8,209.093
2004,6,9,203.461
2004,6,10,197.031
2004,6,11,190.578
2004,6,12,185.992
2004,6,13,183.173
2004,6,14,181.562
2004,6,15,186.341
2004,6,16,195.429
2004,6,17,202.209
2004,6,18,204.652
2004,6,19,204.620
2004,6,20,205.424
2004,6,21,206.008
2004,6,22,207.281
2004,6,23,211.928
2004,6,24,215.130
2004,6,25,218.054
2004,6,26,224.255
2004,6,27,231.933
2004,6,28,240.753
2004,6,29,249.515
2004,6,30,258.558
2004,7,1,272.964
2004,7,2,293.361
2004,7,3,302.929
2004,7,4,310.521
2004,7,5,330.846
2004,7,6,340.128
2004,7,7,357.419
2004,7,8,364.426
2004,7,9,357.979
2004,7,10,343.430
2004,7,11,324.855
2004,7,12,305.889
2004,7,13,290.063
2004,7,14,279.507
2004,7,15,270.668
2004,7,16,263.639
2004,7,17,256.322
2004,7,18,247.418
2004,7,19,237.821
2004,7,20,230.933
2004,7,21,239.227
2004,7,22,248.704
2004,7,23,247.532
2004,7,24,241.687
2004,7,25,233.855
2004,7,26,226.548
2004,7,27,220.120
2004,7,28,214.618
2004,7,29,209.239
2004,7,30,202.766
2004,7,31,195.341
2004,8,1,187.418
2004,8,2,179.117
2004,8,3,171.090
2004,8,4,163.740
2004,8,5,157.193
2004,8,6,151.422
2004,8,7,146.156
2004,8,8,141.217
2004,8,9,136.617
2004,8,10,132.011
2004,8,11,127.709
2004,8,12,123.749
2004,8,13,120.060
2004,8,14,116.637
2004,8,15,113.617
2004,8,16,111.045
2004,8,17,108.972
2004,8,18,107.278
2004,8,19,105.945
2004,8,20,105.636
2004,8,21,107.104
2004,8,22,109.368
2004,8,23,112.101
2004,8,24,114.793
2004,8,25,116.842
2004,8,26,118.066
2004,8,27,118.869
2004,8,28,119.605
2004,8,29,120.807
2004,8,30,122.163
2004,8,31,123.484
2004,9,1,125.961
2004,9,2,129.502
2004,9,3,133.036
2004,9,4,135.349
2004,9,5,136.503
2004,9,6,136.821
2004,9,7,137.081
2004,9,8,137.583
2004,9,9,138.092
2004,9,10,139.349
2004,9,11,141.762
2004,9,12,143.864
2004,9,13,144.806
2004,9,14,145.186
2004,9,15,145.616
2004,9,16,146.489
2004,9,17,147.353
2004,9,18,147.978
2004,9,19,149.080
2004,9,20,151.623
2004,9,21,154.709
2004,9,22,159.598
2004,9,23,166.590
2004,9,24,175.105
2004,9,25,184.050
2004,9,26,191.179
2004,9,27,195.703
2004,9,28,198.704
2004,9,29,200.629
2004,9,30,200.975
2004,10,1,200.076
2004,10,2,198.223
2004,10,3,195.773
2004,10,4,193.067
2004,10,5,190.483
2004,10,6,188.933
2004,10,7,187.741
2004,10,8,186.475
2004,10,9,185.053
2004,10,10,183.316
2004,10,11,181.142
2004,10,12,178.696
2004,10,13,176.159
2004,10,14,173.585
2004,10,15,170.845
2004,10,16,167.939
2004,10,17,165.030
2004,10,18,162.283
2004,10,19,159.800
2004,10,20,157.447
2004,10,21,155.074
2004,10,22,153.056
2004,10,23,151.834
2004,10,24,151.248
2004,10,25,150.598
2004,10,26,150.270
2004,10,27,150.427
2004,10,28,150.347
2004,10,29,149.797
2004,10,30,148.854
2004,10,31,147.678
2004,11,1,146.381
2004,11,2,145.164
2004,11,3,144.703
2004,11,4,147.006
2004,11,5,149.261
2004,11,6,150.975
2004,11,7,152.333
2004,11,8,153.875
2004,11,9,155.713
2004,11,10,157.401
2004,11,11,159.568
2004,11,12,161.005
2004,11,13,161.784
2004,11,14,161.761
2004,11,15,161.665
2004,11,16,160.952
2004,11,17,160.157
2004,11,18,158.878
2004,11,19,157.289
2004,11,20,155.426
2004,11,21,153.374
2004,11,22,151.112
2004,11,23,148.847
2004,11,24,149.722
2004,11,25,148.914
2004,11,26,142.196
2004,11,27,140.824
2004,11,28,140.483
2004,11,29,139.194
2004,11,30,139.383
2004,12,1,138.747
2004,12,2,134.217
2004,12,3,132.886
2004,12,4,131.696
2004,12,5,148.884
2004,12,6,131.848
2004,12,7,140.403
2004,12,8,138.842
2004,12,9,130.509
2004,12,10,181.716
2004,12,11,131.736
2004,12,12,129.282
2004,12,13,141.991
2004,12,14,141.467
2004,12,15,138.391
2004,12,16,126.816
2004,12,17,137.867
2004,12,18,128.494
2004,12,19,128.662
2004,12,20,128.624
2004,12,21,128.156
2004,12,22,143.409
2004,12,23,129.132
2004,12,24,129.852
2004,12,25,125.614
2004,12,26,125.154
2004,12,27,123.955
2004,12,28,122.836
2004,12,29,121.879
2004,12,30,120.807
2004,12,31,119.360
2005,1,1,118.775
2005,1,2,146.869
2005,1,3,117.853
2005,1,4,120.818
2005,1,5,117.654
2005,1,6,117.355
2005,1,7,136.134
2005,1,8,120.463
2005,1,9,119.658
2005,1,10,162.410
2005,1,11,129.020
2005,1,12,154.692
2005,1,13,127.928
2005,1,14,127.858
2005,1,15,127.316
2005,1,16,162.123
2005,1,17,130.752
2005,1,18,173.815
2005,1,19,130.963
2005,1,20,125.974
2005,1,21,125.792
2005,1,22,125.632
2005,1,23,124.118
2005,1,24,122.936
2005,1,25,122.218
2005,1,26,119.615
2005,1,27,117.898
2005,1,28,116.089
2005,1,29,114.530
2005,1,30,132.538
2005,1,31,111.200
2005,2,1,110.076
2005,2,2,108.814
2005,2,3,108.235
2005,2,4,107.019
2005,2,5,106.547
2005,2,6,105.476
2005,2,7,104.888
2005,2,8,104.199
2005,2,9,103.415
2005,2,10,109.366
2005,2,11,101.783
2005,2,12,100.901
2005,2,13,100.037
2005,2,14,99.1432
2005,2,15,98.1960
2005,2,16,97.2469
2005,2,17,96.4754
2005,2,18,95.3209
2005,2,19,95.6107
2005,2,20,93.6338
2005,2,21,92.2477
2005,2,22,91.2503
2005,2,23,90.2981
2005,2,24,89.3051
2005,2,25,88.3426
2005,2,26,87.3118
2005,2,27,86.2706
2005,2,28,85.2237
2005,3,1,84.1915
2005,3,2,83.1595
2005,3,3,82.1099
2005,3,4,81.0853
2005,3,5,80.3717
2005,3,6,80.4939
2005,3,7,78.5874
2005,3,8,76.9656
2005,3,9,76.0311
