Year,Month,Day,Inflow [GWh]
2003,1,1,13.6379
2003,1,2,13.5736
2003,1,3,13.4969
2003,1,4,13.4038
2003,1,5,13.2797
2003,1,6,13.1638
2003,1,7,13.0538
2003,1,8,12.9438
2003,1,9,12.8345
2003,1,10,12.7286
2003,1,11,12.6161
2003,1,12,12.4945
2003,1,13,12.3542
2003,1,14,12.1974
2003,1,15,12.0283
2003,1,16,11.8486
2003,1,17,11.6845
2003,1,18,11.5425
2003,1,19,11.4144
2003,1,20,11.2951
2003,1,21,11.1741
2003,1,22,13.9297
2003,1,23,11.2903
2003,1,24,11.6698
2003,1,25,12.1815
2003,1,26,12.7493
2003,1,27,13.2474
2003,1,28,13.6573
2003,1,29,14.0014
2003,1,30,14.2983
2003,1,31,14.5028
2003,2,1,14.6318
2003,2,2,14.6442
2003,2,3,14.5761
2003,2,4,14.4620
2003,2,5,14.3658
2003,2,6,14.2607
2003,2,7,14.1422
2003,2,8,13.9967
2003,2,9,13.8184
2003,2,10,13.6351
2003,2,11,13.4402
2003,2,12,13.2307
2003,2,13,13.0218
2003,2,14,12.8015
2003,2,15,12.5639
2003,2,16,12.3174
2003,2,17,12.0741
2003,2,18,11.8250
2003,2,19,11.5825
2003,2,20,11.3302
2003,2,21,11.0869
2003,2,22,10.8749
2003,2,23,10.6734
2003,2,24,10.5121
2003,2,25,10.3827
2003,2,26,10.2786
2003,2,27,10.2131
2003,2,28,10.2565
2003,3,1,10.4885
2003,3,2,10.7704
2003,3,3,11.0359
2003,3,4,11.2638
2003,3,5,11.3983
2003,3,6,11.4265
2003,3,7,11.3956
2003,3,8,11.3221
2003,3,9,11.2176
2003,3,10,11.0498
2003,3,11,10.8525
2003,3,12,10.5838
2003,3,13,10.2871
2003,3,14,10.0166
2003,3,15,9.76258
2003,3,16,9.53648
2003,3,17,9.30032
2003,3,18,9.04626
2003,3,19,8.79377
2003,3,20,8.53635
2003,3,21,8.25120
2003,3,22,7.99143
2003,3,23,7.72495
2003,3,24,7.43800
2003,3,25,7.14021
2003,3,26,6.83011
2003,3,27,6.52571
2003,3,28,6.22870
2003,3,29,5.93078
2003,3,30,5.65255
2003,3,31,5.39814
2003,4,1,5.15771
2003,4,2,4.94020
2003,4,3,4.75949
2003,4,4,4.66355
2003,4,5,4.62958
2003,4,6,4.58420
2003,4,7,4.55213
2003,4,8,4.50216
2003,4,9,4.44916
2003,4,10,4.39616
2003,4,11,4.35871
2003,4,12,4.35391
2003,4,13,4.38726
2003,4,14,4.42888
2003,4,15,4.44455
2003,4,16,4.44724
2003,4,17,4.42868
2003,4,18,4.37611
2003,4,19,4.31863
2003,4,20,4.26271
2003,4,21,4.20366
2003,4,22,4.14047
2003,4,23,4.07728
2003,4,24,4.00347
2003,4,25,3.93145
2003,4,26,3.83817
2003,4,27,3.75138
2003,4,28,3.66794
2003,4,29,3.59022
2003,4,30,3.51584
2003,5,1,3.44538
2003,5,2,3.37179
2003,5,3,3.29663
2003,5,4,3.21163
2003,5,5,3.12742
2003,5,6,3.04242
2003,5,7,2.95350
2003,5,8,2.87007
2003,5,9,2.78663
2003,5,10,2.70834
2003,5,11,2.64302
2003,5,12,2.58420
2003,5,13,2.53029
2003,5,14,2.48287
2003,5,15,2.43388
2003,5,16,2.38981
2003,5,17,2.35067
2003,5,18,2.31645
2003,5,19,2.25112
2003,5,20,2.20706
2003,5,21,2.16377
2003,5,22,2.14017
2003,5,23,2.10438
2003,5,24,2.08156
2003,5,25,2.05874
2003,5,26,2.03100
2003,5,27,2.01232
2003,5,28,1.98380
2003,5,29,1.96433
2003,5,30,1.94464
2003,5,31,1.91534
2003,6,1,1.89744
2003,6,2,1.87619
2003,6,3,1.85337
2003,6,4,1.83055
2003,6,5,1.80102
