Year,Month,Day,Inflow [GWh]
2003,1,1,17.1566
2003,1,2,17.8771
2003,1,3,38.3694
2003,1,4,19.3029
2003,1,5,20.2224
2003,1,6,20.9715
2003,1,7,23.6372
2003,1,8,21.8915
2003,1,9,22.0347
2003,1,10,22.1299
2003,1,11,22.1584
2003,1,12,22.1587
2003,1,13,22.1167
2003,1,14,22.0369
2003,1,15,22.9814
2003,1,16,21.8530
2003,1,17,21.7788
2003,1,18,21.7075
2003,1,19,21.6324
2003,1,20,21.5253
2003,1,21,21.4012
2003,1,22,21.2577
2003,1,23,21.1336
2003,1,24,21.0330
2003,1,25,20.9831
2003,1,26,20.9709
2003,1,27,20.9527
2003,1,28,21.8319
2003,1,29,21.0654
2003,1,30,21.2462
2003,1,31,21.3984
2003,2,1,21.5075
2003,2,2,21.5556
2003,2,3,21.5570
2003,2,4,21.5145
2003,2,5,21.4471
2003,2,6,21.3685
2003,2,7,21.2822
2003,2,8,21.1775
2003,2,9,21.0356
2003,2,10,20.8765
2003,2,11,20.6973
2003,2,12,20.5129
2003,2,13,20.3078
2003,2,14,20.0932
2003,2,15,19.8633
2003,2,16,19.6357
2003,2,17,19.4038
2003,2,18,19.1502
2003,2,19,18.9290
2003,2,20,18.7027
2003,2,21,18.4609
2003,2,22,18.2346
2003,2,23,18.0496
2003,2,24,17.8711
2003,2,25,17.7148
2003,2,26,17.5739
2003,2,27,17.4542
2003,2,28,17.3451
2003,3,1,17.2504
2003,3,2,17.2130
2003,3,3,17.2660
2003,3,4,17.4671
2003,3,5,17.7701
2003,3,6,18.1234
2003,3,7,18.4459
2003,3,8,18.7787
2003,3,9,19.2072
2003,3,10,19.9415
2003,3,11,21.1338
2003,3,12,22.6415
2003,3,13,24.5952
2003,3,14,26.3114
2003,3,15,27.5018
2003,3,16,28.3055
2003,3,17,28.8999
2003,3,18,29.4340
2003,3,19,29.8959
2003,3,20,30.2295
2003,3,21,30.4389
2003,3,22,30.3977
2003,3,23,30.0614
2003,3,24,29.4466
2003,3,25,28.5873
2003,3,26,27.5790
2003,3,27,26.4995
2003,3,28,25.3381
2003,3,29,24.1512
2003,3,30,23.0453
2003,3,31,22.0261
2003,4,1,21.0552
2003,4,2,20.0715
2003,4,3,19.1343
2003,4,4,18.3208
2003,4,5,17.5925
2003,4,6,16.9537
2003,4,7,16.3913
2003,4,8,15.8846
2003,4,9,15.4148
2003,4,10,14.9613
2003,4,11,14.7056
2003,4,12,14.8653
2003,4,13,14.9475
2003,4,14,14.8740
2003,4,15,14.6355
2003,4,16,14.3251
2003,4,17,13.9438
2003,4,18,13.5298
2003,4,19,13.1339
2003,4,20,12.7069
2003,4,21,12.2717
2003,4,22,11.7847
2003,4,23,11.3329
2003,4,24,10.9322
2003,4,25,10.5697
2003,4,26,10.2192
2003,4,27,9.90189
2003,4,28,9.61343
2003,4,29,9.34804
2003,4,30,9.06174
2003,5,1,8.77972
2003,5,2,8.51681
2003,5,3,8.27957
2003,5,4,8.04674
2003,5,5,7.80575
2003,5,6,7.55472
2003,5,7,7.29574
2003,5,8,7.04592
2003,5,9,6.79611
2003,5,10,6.58366
2003,5,11,6.36474
2003,5,12,6.20161
2003,5,13,6.03593
2003,5,14,5.85993
2003,5,15,5.71935
2003,5,16,5.59383
2003,5,17,5.47902
2003,5,18,5.38520
2003,5,19,5.28074
2003,5,20,5.19226
2003,5,21,5.12187
2003,5,22,5.07475
2003,5,23,5.02241
2003,5,24,4.97400
2003,5,25,4.92416
2003,5,26,4.87480
2003,5,27,4.81412
2003,5,28,4.76637
2003,5,29,4.71668
2003,5,30,4.64952
2003,5,31,4.59199
2003,6,1,4.53725
2003,6,2,4.49510
2003,6,3,4.45079
2003,6,4,4.38680
2003,6,5,4.33345
2003,6,6,4.25701
2003,6,7,4.22515
2003,6,8,4.15211
2003,6,9,4.08685
2003,6,10,4.02765
2003,6,11,4.00904
2003,6,12,3.90206
2003,6,13,3.85588
2003,6,14,3.78720
2003,6,15,3.74192
2003,6,16,3.68669
2003,6,17,3.63044
2003,6,18,3.59528
2003,6,19,3.56587
2003,6,20,3.54631
2003,6,21,3.51690
2003,6,22,3.50130
2003,6,23,3.47702
2003,6,24,3.45184
2003,6,25,3.40746
2003,6,26,3.36866
2003,6,27,3.34694
2003,6,28,3.30735
2003,6,29,3.27899
2003,6,30,3.21414
2003,7,1,3.15453
2003,7,2,3.09445
2003,7,3,3.04234
2003,7,4,2.99237
2003,7,5,2.96965
2003,7,6,2.95251
2003,7,7,2.91343
2003,7,8,2.89273
2003,7,9,2.85125
2003,7,10,2.81430
2003,7,11,2.79545
